model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.956026,19
XGBoost,Accuracy,0.752465,19
RandomForest,AUC_ROC,0.627456,19
RandomForest,Accuracy,0.621571,19
XGBoost,AUC_ROC,0.578721,19
RandomForest,Recall,0.570182,19
Random,AUC_ROC,0.500502,19
XGBoost,Recall,0.318135,19
RandomForest,PR_AUC,0.140648,19
RandomForest,F1-Score,0.093784,19
XGBoost,PR_AUC,0.084121,19
RandomForest,MCC,0.067092,19
XGBoost,F1-Score,0.056450,19
XGBoost,MCC,0.044400,19
Random,PR_AUC,0.044025,19
RandomForest,Precision,0.031732,19
Random,Recall,0.029286,19
XGBoost,Precision,0.022868,19
Random,F1-Score,0.022280,19
Random,Precision,0.015240,19
Random,MCC,0.000386,19
