feature,importance,project,model
VCC_f10_nb_added_line,0.0059983074,arrow,XGBoost
VCC_f11_nb_removed_line,0.013829425,arrow,XGBoost
VCC_f12_diff_line,0.008841074,arrow,XGBoost
VCC_f13_sum_line,0.0063809557,arrow,XGBoost
VCC_f14_nb_added_paren,0.01013491,arrow,XGBoost
VCC_f15_nb_removed_paren,0.007501997,arrow,XGBoost
VCC_f16_diff_paren,0.006272293,arrow,XGBoost
VCC_f17_sum_paren,0.009025445,arrow,XGBoost
VCC_f18_nb_added_bool,0.018658796,arrow,XGBoost
VCC_f19_nb_removed_bool,0.039923023,arrow,XGBoost
VCC_f1_sum_file_change,0.014337992,arrow,XGBoost
VCC_f20_diff_bool,0.001628407,arrow,XGBoost
VCC_f21_sum_bool,0.018177457,arrow,XGBoost
VCC_f22_nb_added_assignement,0.004720028,arrow,XGBoost
VCC_f23_nb_removed_assignement,0.0075457995,arrow,XGBoost
VCC_f24_diff_assignement,0.0020269158,arrow,XGBoost
VCC_f25_sum_assignement,0.0061799143,arrow,XGBoost
VCC_f26_nb_added_function,0.005405511,arrow,XGBoost
VCC_f27_nb_removed_function,0.030880975,arrow,XGBoost
VCC_f28_diff_function,0.003822905,arrow,XGBoost
VCC_f29_sum_function,0.0055122757,arrow,XGBoost
VCC_f2_nb_added_loop,0.073860265,arrow,XGBoost
VCC_f3_nb_removed_loop,0.016882591,arrow,XGBoost
VCC_f4_diff_loop,0.0010828163,arrow,XGBoost
VCC_f5_sum_loop,0.05628085,arrow,XGBoost
VCC_f6_nb_added_if,0.082675286,arrow,XGBoost
VCC_f7_nb_removed_if,0.060321886,arrow,XGBoost
VCC_f8_diff_if,0.0073426673,arrow,XGBoost
VCC_f9_sum_if,0.07663062,arrow,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,arrow,XGBoost
VCC_s11_nb_added_goto,0.0,arrow,XGBoost
VCC_s12_nb_removed_goto,0.0,arrow,XGBoost
VCC_s13_nb_added_define,0.0018222849,arrow,XGBoost
VCC_s14_nb_removed_define,0.009311986,arrow,XGBoost
VCC_s15_nb_added_struct,0.059447218,arrow,XGBoost
VCC_s16_nb_removed_struct,0.016296376,arrow,XGBoost
VCC_s17_diff_struct,0.021811295,arrow,XGBoost
VCC_s18_sum_struct,0.055286974,arrow,XGBoost
VCC_s19_nb_added_offset,0.02262913,arrow,XGBoost
VCC_s1_nb_added_sizeof,0.023477113,arrow,XGBoost
VCC_s20_nb_removed_offset,0.00019742482,arrow,XGBoost
VCC_s21_nb_added_void,0.007909308,arrow,XGBoost
VCC_s22_nb_removed_void,0.009057344,arrow,XGBoost
VCC_s23_diff_void,0.011259533,arrow,XGBoost
VCC_s24_sum_void,0.003716305,arrow,XGBoost
VCC_s2_nb_removed_sizeof,0.0060948045,arrow,XGBoost
VCC_s3_diff_sizeof,0.0015366375,arrow,XGBoost
VCC_s4_sum_sizeof,0.012213334,arrow,XGBoost
VCC_s5_nb_added_continue,0.031110067,arrow,XGBoost
VCC_s6_nb_removed_continue,0.000525563,arrow,XGBoost
VCC_s7_nb_added_break,0.014891079,arrow,XGBoost
VCC_s8_nb_removed_break,0.00070896506,arrow,XGBoost
VCC_s9_nb_added_INTMAX,0.0,arrow,XGBoost
VCC_w1,0.025625648,arrow,XGBoost
VCC_w10,0.0017952573,arrow,XGBoost
VCC_w2,0.009031757,arrow,XGBoost
VCC_w3,0.0027830452,arrow,XGBoost
VCC_w4,0.007768584,arrow,XGBoost
VCC_w5,0.0,arrow,XGBoost
VCC_w6,0.0021846418,arrow,XGBoost
VCC_w7,0.0051214155,arrow,XGBoost
VCC_w8,0.0,arrow,XGBoost
VCC_w9,0.012283291,arrow,XGBoost
VCC_f10_nb_added_line,0.02552701,c-blosc2,XGBoost
VCC_f11_nb_removed_line,0.021861445,c-blosc2,XGBoost
VCC_f12_diff_line,0.040839434,c-blosc2,XGBoost
VCC_f13_sum_line,0.015196597,c-blosc2,XGBoost
VCC_f14_nb_added_paren,0.04100007,c-blosc2,XGBoost
VCC_f15_nb_removed_paren,0.0288921,c-blosc2,XGBoost
VCC_f16_diff_paren,0.02850205,c-blosc2,XGBoost
VCC_f17_sum_paren,0.014549001,c-blosc2,XGBoost
VCC_f18_nb_added_bool,0.016916597,c-blosc2,XGBoost
VCC_f19_nb_removed_bool,0.013268467,c-blosc2,XGBoost
VCC_f1_sum_file_change,0.03207252,c-blosc2,XGBoost
VCC_f20_diff_bool,0.005605217,c-blosc2,XGBoost
VCC_f21_sum_bool,0.008617794,c-blosc2,XGBoost
VCC_f22_nb_added_assignement,0.011608224,c-blosc2,XGBoost
