Metric,Value,project,model
MCC,-0.0039511041,arrow,XGBoost
AUC_ROC,0.5305412071,arrow,XGBoost
Accuracy,0.7186797454,arrow,XGBoost
Precision,0.0013759837,arrow,XGBoost
Recall,0.1703703704,arrow,XGBoost
F1-Score,0.0076673783,arrow,XGBoost
PR_AUC,0.0191198422,arrow,XGBoost
MCC,0.1524125286,c-blosc2,XGBoost
AUC_ROC,0.7448025012,c-blosc2,XGBoost
Accuracy,0.7353674309,c-blosc2,XGBoost
Precision,0.073867421,c-blosc2,XGBoost
Recall,0.586,c-blosc2,XGBoost
F1-Score,0.1689604628,c-blosc2,XGBoost
PR_AUC,0.2202610345,c-blosc2,XGBoost
MCC,0.0120893023,clamav,XGBoost
AUC_ROC,0.5174097969,clamav,XGBoost
Accuracy,0.7644020854,clamav,XGBoost
Precision,0.0152649495,clamav,XGBoost
Recall,0.2033333333,clamav,XGBoost
F1-Score,0.0325521886,clamav,XGBoost
PR_AUC,0.0671989233,clamav,XGBoost
MCC,-0.0020655299,curl,XGBoost
AUC_ROC,0.4938333333,curl,XGBoost
Accuracy,0.9021615328,curl,XGBoost
Precision,0.0018343796,curl,XGBoost
Recall,0.15,curl,XGBoost
F1-Score,0.0039216937,curl,XGBoost
PR_AUC,0.0127062144,curl,XGBoost
MCC,0.0107258267,file,XGBoost
AUC_ROC,0.5169829957,file,XGBoost
Accuracy,0.8697943545,file,XGBoost
Precision,0.0055225214,file,XGBoost
Recall,0.1277777778,file,XGBoost
F1-Score,0.0129815288,file,XGBoost
PR_AUC,0.0326188992,file,XGBoost
MCC,0.039490788,fluent-bit,XGBoost
AUC_ROC,0.6500347222,fluent-bit,XGBoost
Accuracy,0.8671596072,fluent-bit,XGBoost
Precision,0.0062828252,fluent-bit,XGBoost
Recall,0.2466666667,fluent-bit,XGBoost
F1-Score,0.0198425182,fluent-bit,XGBoost
PR_AUC,0.0707384569,fluent-bit,XGBoost
MCC,0.0838253011,harfbuzz,XGBoost
AUC_ROC,0.6173754391,harfbuzz,XGBoost
Accuracy,0.7846330182,harfbuzz,XGBoost
Precision,0.0625565704,harfbuzz,XGBoost
Recall,0.3679276896,harfbuzz,XGBoost
F1-Score,0.0992926891,harfbuzz,XGBoost
PR_AUC,0.0844584081,harfbuzz,XGBoost
MCC,0.0022353739,icu,XGBoost
AUC_ROC,0.48406345,icu,XGBoost
Accuracy,0.7700825826,icu,XGBoost
Precision,0.0022749308,icu,XGBoost
Recall,0.3222222222,icu,XGBoost
F1-Score,0.0060090046,icu,XGBoost
PR_AUC,0.0375832587,icu,XGBoost
MCC,0.0064182701,leptonica,XGBoost
AUC_ROC,0.5111982691,leptonica,XGBoost
Accuracy,0.6649679755,leptonica,XGBoost
Precision,0.0064913082,leptonica,XGBoost
Recall,0.1851851852,leptonica,XGBoost
F1-Score,0.0262344266,leptonica,XGBoost
PR_AUC,0.0629832806,leptonica,XGBoost
MCC,0.0294811896,libarchive,XGBoost
AUC_ROC,0.5677037037,libarchive,XGBoost
Accuracy,0.8363567649,libarchive,XGBoost
Precision,0.0085441533,libarchive,XGBoost
Recall,0.1433333333,libarchive,XGBoost
F1-Score,0.024298283,libarchive,XGBoost
PR_AUC,0.0428356157,libarchive,XGBoost
MCC,0.0001653522,libavc,XGBoost
AUC_ROC,0.5032451923,libavc,XGBoost
Accuracy,0.9045679012,libavc,XGBoost
Precision,0.0127267273,libavc,XGBoost
Recall,0.1479166667,libavc,XGBoost
F1-Score,0.0232076218,libavc,XGBoost
PR_AUC,0.0986164208,libavc,XGBoost
MCC,0.1215647035,libjxl,XGBoost
AUC_ROC,0.7436574809,libjxl,XGBoost
Accuracy,0.7324228197,libjxl,XGBoost
Precision,0.0269660123,libjxl,XGBoost
Recall,0.5458333333,libjxl,XGBoost
F1-Score,0.1031442568,libjxl,XGBoost
PR_AUC,0.1046710308,libjxl,XGBoost
MCC,0.0434512143,libvips,XGBoost
AUC_ROC,0.5330050505,libvips,XGBoost
Accuracy,0.740474702,libvips,XGBoost
Precision,0.0259482072,libvips,XGBoost
Recall,0.1041666667,libvips,XGBoost
F1-Score,0.0564614172,libvips,XGBoost
PR_AUC,0.0659255906,libvips,XGBoost
MCC,0.0301306105,mruby,XGBoost
AUC_ROC,0.5585909099,mruby,XGBoost
Accuracy,0.6342199182,mruby,XGBoost
Precision,0.0278766939,mruby,XGBoost
Recall,0.4048115079,mruby,XGBoost
F1-Score,0.0545166496,mruby,XGBoost
PR_AUC,0.0482409392,mruby,XGBoost
MCC,0.0133527431,net-snmp,XGBoost
AUC_ROC,0.5455512821,net-snmp,XGBoost
Accuracy,0.6719386878,net-snmp,XGBoost
Precision,0.008894082,net-snmp,XGBoost
Recall,0.4933333333,net-snmp,XGBoost
F1-Score,0.0206137186,net-snmp,XGBoost
PR_AUC,0.0366609741,net-snmp,XGBoost
MCC,-0.001344931,open62541,XGBoost
AUC_ROC,0.4970556019,open62541,XGBoost
Accuracy,0.6991331928,open62541,XGBoost
Precision,0.00282371,open62541,XGBoost
Recall,0.22,open62541,XGBoost
F1-Score,0.0084277498,open62541,XGBoost
PR_AUC,0.0140518767,open62541,XGBoost
MCC,0.0008840903,openthread,XGBoost
AUC_ROC,0.4992064137,openthread,XGBoost
Accuracy,0.8129207129,openthread,XGBoost
Precision,0.0053956025,openthread,XGBoost
Recall,0.235,openthread,XGBoost
F1-Score,0.0151108487,openthread,XGBoost
PR_AUC,0.026196936,openthread,XGBoost
MCC,-0.0139509785,serenity,XGBoost
AUC_ROC,0.5070535016,serenity,XGBoost
Accuracy,0.8847222222,serenity,XGBoost
Precision,0.0060671571,serenity,XGBoost
Recall,0.1179487179,serenity,XGBoost
F1-Score,0.0142019709,serenity,XGBoost
PR_AUC,0.0416545328,serenity,XGBoost
MCC,0.0025296088,wolfssl,XGBoost
AUC_ROC,0.4971449677,wolfssl,XGBoost
Accuracy,0.6243975904,wolfssl,XGBoost
Precision,0.0049217065,wolfssl,XGBoost
Recall,0.3592592593,wolfssl,XGBoost
F1-Score,0.0167358778,wolfssl,XGBoost
PR_AUC,0.0199171706,wolfssl,XGBoost
MCC,0.0228713434,arrow,RandomForest
AUC_ROC,0.5767241947,arrow,RandomForest
Accuracy,0.6584945603,arrow,RandomForest
Precision,0.0053905564,arrow,RandomForest
Recall,0.4518518519,arrow,RandomForest
F1-Score,0.0297198555,arrow,RandomForest
PR_AUC,0.0316238172,arrow,RandomForest
MCC,0.1569435224,c-blosc2,RandomForest
AUC_ROC,0.7561941077,c-blosc2,RandomForest
Accuracy,0.7500411523,c-blosc2,RandomForest
Precision,0.0897327714,c-blosc2,RandomForest
Recall,0.664,c-blosc2,RandomForest
F1-Score,0.217922054,c-blosc2,RandomForest
PR_AUC,0.2933696783,c-blosc2,RandomForest
MCC,0.0046360954,clamav,RandomForest
AUC_ROC,0.5403938919,clamav,RandomForest
Accuracy,0.300692408,clamav,RandomForest
Precision,0.036882899,clamav,RandomForest
Recall,0.7155555556,clamav,RandomForest
F1-Score,0.1038161496,clamav,RandomForest
PR_AUC,0.1456048813,clamav,RandomForest
MCC,-0.0037199243,curl,RandomForest
AUC_ROC,0.4536648676,curl,RandomForest
Accuracy,0.6439646131,curl,RandomForest
Precision,0.0044969279,curl,RandomForest
Recall,0.4016666667,curl,RandomForest
F1-Score,0.0183247259,curl,RandomForest
PR_AUC,0.0199979023,curl,RandomForest
MCC,0.0396059081,file,RandomForest
AUC_ROC,0.5799907755,file,RandomForest
Accuracy,0.5342573045,file,RandomForest
Precision,0.0227951409,file,RandomForest
Recall,0.5833333333,file,RandomForest
F1-Score,0.0632023333,file,RandomForest
PR_AUC,0.0994059604,file,RandomForest
MCC,0.0301323357,fluent-bit,RandomForest
AUC_ROC,0.5609662016,fluent-bit,RandomForest
Accuracy,0.7378277154,fluent-bit,RandomForest
Precision,0.0171605206,fluent-bit,RandomForest
Recall,0.4433333333,fluent-bit,RandomForest
F1-Score,0.054858111,fluent-bit,RandomForest
PR_AUC,0.086287315,fluent-bit,RandomForest
MCC,0.0433216264,harfbuzz,RandomForest
AUC_ROC,0.6296514014,harfbuzz,RandomForest
Accuracy,0.7729927007,harfbuzz,RandomForest
Precision,0.0377039756,harfbuzz,RandomForest
Recall,0.3209964727,harfbuzz,RandomForest
F1-Score,0.06319142,harfbuzz,RandomForest
PR_AUC,0.0785858756,harfbuzz,RandomForest
MCC,0.0123694476,icu,RandomForest
AUC_ROC,0.6076045545,icu,RandomForest
Accuracy,0.4583708709,icu,RandomForest
Precision,0.0089261551,icu,RandomForest
Recall,0.6125,icu,RandomForest
F1-Score,0.0333222054,icu,RandomForest
PR_AUC,0.0947936751,icu,RandomForest
MCC,0.0177479183,leptonica,RandomForest
AUC_ROC,0.522422173,leptonica,RandomForest
Accuracy,0.477304372,leptonica,RandomForest
Precision,0.0276002524,leptonica,RandomForest
Recall,0.6666666667,leptonica,RandomForest
F1-Score,0.1012677524,leptonica,RandomForest
PR_AUC,0.1496084616,leptonica,RandomForest
MCC,0.0301882028,libarchive,RandomForest
AUC_ROC,0.6326069455,libarchive,RandomForest
Accuracy,0.6291855631,libarchive,RandomForest
Precision,0.021987567,libarchive,RandomForest
Recall,0.4916666667,libarchive,RandomForest
F1-Score,0.0666607588,libarchive,RandomForest
PR_AUC,0.1134710939,libarchive,RandomForest
MCC,-0.0016339568,libavc,RandomForest
AUC_ROC,0.5129967554,libavc,RandomForest
Accuracy,0.4945679012,libavc,RandomForest
Precision,0.0404787573,libavc,RandomForest
Recall,0.5791666667,libavc,RandomForest
F1-Score,0.1360888001,libavc,RandomForest
PR_AUC,0.1795478659,libavc,RandomForest
MCC,0.105660154,libjxl,RandomForest
AUC_ROC,0.7841178164,libjxl,RandomForest
Accuracy,0.7021285965,libjxl,RandomForest
Precision,0.0257676581,libjxl,RandomForest
Recall,0.5486111111,libjxl,RandomForest
F1-Score,0.1015985266,libjxl,RandomForest
PR_AUC,0.1930549408,libjxl,RandomForest
MCC,0.0157162406,libvips,RandomForest
AUC_ROC,0.4964657622,libvips,RandomForest
Accuracy,0.5525662666,libvips,RandomForest
Precision,0.0203524206,libvips,RandomForest
Recall,0.3633333333,libvips,RandomForest
F1-Score,0.0640666888,libvips,RandomForest
PR_AUC,0.0999498956,libvips,RandomForest
MCC,0.0300497117,mruby,RandomForest
AUC_ROC,0.6151170287,mruby,RandomForest
Accuracy,0.5252320382,mruby,RandomForest
Precision,0.0279301556,mruby,RandomForest
Recall,0.5417162698,mruby,RandomForest
F1-Score,0.0571258586,mruby,RandomForest
PR_AUC,0.1149960977,mruby,RandomForest
