Metric,Value,project,model,positive_days
AUC_ROC,0.4914877693,harfbuzz,Random,50
Accuracy,0.920638862,harfbuzz,Random,50
F1-Score,0.0240680169,harfbuzz,Random,50
MCC,-0.011865348,harfbuzz,Random,50
PR_AUC,0.0310663484,harfbuzz,Random,50
Precision,0.0184198344,harfbuzz,Random,50
Recall,0.0378659612,harfbuzz,Random,50
AUC_ROC,0.6296514014,harfbuzz,RandomForest,50
Accuracy,0.7729927007,harfbuzz,RandomForest,50
F1-Score,0.06319142,harfbuzz,RandomForest,50
MCC,0.0433216264,harfbuzz,RandomForest,50
PR_AUC,0.0785858756,harfbuzz,RandomForest,50
Precision,0.0377039756,harfbuzz,RandomForest,50
Recall,0.3209964727,harfbuzz,RandomForest,50
AUC_ROC,0.6173754391,harfbuzz,XGBoost,50
Accuracy,0.7846330182,harfbuzz,XGBoost,50
F1-Score,0.0992926891,harfbuzz,XGBoost,50
MCC,0.0838253011,harfbuzz,XGBoost,50
PR_AUC,0.0844584081,harfbuzz,XGBoost,50
Precision,0.0625565704,harfbuzz,XGBoost,50
Recall,0.3679276896,harfbuzz,XGBoost,50
AUC_ROC,0.5030328866,mruby,Random,36
Accuracy,0.9551891638,mruby,Random,36
F1-Score,0.0228473147,mruby,Random,36
MCC,0.0022893999,mruby,Random,36
PR_AUC,0.0319770736,mruby,Random,36
Precision,0.0213977072,mruby,Random,36
Recall,0.0298115079,mruby,Random,36
AUC_ROC,0.6151170287,mruby,RandomForest,36
Accuracy,0.5252320382,mruby,RandomForest,36
F1-Score,0.0571258586,mruby,RandomForest,36
MCC,0.0300497117,mruby,RandomForest,36
PR_AUC,0.1149960977,mruby,RandomForest,36
Precision,0.0279301556,mruby,RandomForest,36
Recall,0.5417162698,mruby,RandomForest,36
AUC_ROC,0.5585909099,mruby,XGBoost,36
Accuracy,0.6342199182,mruby,XGBoost,36
F1-Score,0.0545166496,mruby,XGBoost,36
MCC,0.0301306105,mruby,XGBoost,36
PR_AUC,0.0482409392,mruby,XGBoost,36
Precision,0.0278766939,mruby,XGBoost,36
Recall,0.4048115079,mruby,XGBoost,36
AUC_ROC,0.4968520144,serenity,Random,26
Accuracy,0.9480252101,serenity,Random,26
F1-Score,0.0235286621,serenity,Random,26
MCC,-0.0024042015,serenity,Random,26
PR_AUC,0.0331477596,serenity,Random,26
Precision,0.0151533548,serenity,Random,26
Recall,0.0379487179,serenity,Random,26
AUC_ROC,0.3992171528,serenity,RandomForest,26
Accuracy,0.8340079365,serenity,RandomForest,26
F1-Score,0.030487112,serenity,RandomForest,26
MCC,-0.0324702479,serenity,RandomForest,26
PR_AUC,0.0394581943,serenity,RandomForest,26
Precision,0.0112347795,serenity,RandomForest,26
Recall,0.1805128205,serenity,RandomForest,26
AUC_ROC,0.5070535016,serenity,XGBoost,26
Accuracy,0.8847222222,serenity,XGBoost,26
F1-Score,0.0142019709,serenity,XGBoost,26
MCC,-0.0139509785,serenity,XGBoost,26
PR_AUC,0.0416545328,serenity,XGBoost,26
Precision,0.0060671571,serenity,XGBoost,26
Recall,0.1179487179,serenity,XGBoost,26
AUC_ROC,0.4991724387,c-blosc2,Random,23
Accuracy,0.8738977072,c-blosc2,Random,23
F1-Score,0.0758376253,c-blosc2,Random,23
MCC,0.007655575,c-blosc2,Random,23
PR_AUC,0.1074938272,c-blosc2,Random,23
Precision,0.0588383838,c-blosc2,Random,23
Recall,0.096,c-blosc2,Random,23
AUC_ROC,0.7561941077,c-blosc2,RandomForest,23
Accuracy,0.7500411523,c-blosc2,RandomForest,23
F1-Score,0.217922054,c-blosc2,RandomForest,23
MCC,0.1569435224,c-blosc2,RandomForest,23
PR_AUC,0.2933696783,c-blosc2,RandomForest,23
Precision,0.0897327714,c-blosc2,RandomForest,23
Recall,0.664,c-blosc2,RandomForest,23
AUC_ROC,0.7448025012,c-blosc2,XGBoost,23
Accuracy,0.7353674309,c-blosc2,XGBoost,23
F1-Score,0.1689604628,c-blosc2,XGBoost,23
MCC,0.1524125286,c-blosc2,XGBoost,23
PR_AUC,0.2202610345,c-blosc2,XGBoost,23
Precision,0.073867421,c-blosc2,XGBoost,23
Recall,0.586,c-blosc2,XGBoost,23
AUC_ROC,0.5012156165,openthread,Random,22
Accuracy,0.9609424359,openthread,Random,22
F1-Score,0.0208234358,openthread,Random,22
MCC,-0.0003546446,openthread,Random,22
PR_AUC,0.0236938437,openthread,Random,22
Precision,0.0099977655,openthread,Random,22
Recall,0.0383333333,openthread,Random,22
AUC_ROC,0.4953093186,openthread,RandomForest,22
Accuracy,0.719046319,openthread,RandomForest,22
F1-Score,0.0342604775,openthread,RandomForest,22
MCC,0.003728963,openthread,RandomForest,22
PR_AUC,0.0405489839,openthread,RandomForest,22
Precision,0.0109864903,openthread,RandomForest,22
Recall,0.3866666667,openthread,RandomForest,22
AUC_ROC,0.4992064137,openthread,XGBoost,22
Accuracy,0.8129207129,openthread,XGBoost,22
F1-Score,0.0151108487,openthread,XGBoost,22
MCC,0.0008840903,openthread,XGBoost,22
PR_AUC,0.026196936,openthread,XGBoost,22
Precision,0.0053956025,openthread,XGBoost,22
Recall,0.235,openthread,XGBoost,22
AUC_ROC,0.5009562402,libjxl,Random,15
Accuracy,0.9499413992,libjxl,Random,15
F1-Score,0.0350541126,libjxl,Random,15
MCC,0.0010562044,libjxl,Random,15
PR_AUC,0.0412990019,libjxl,Random,15
Precision,0.0147032575,libjxl,Random,15
Recall,0.0486111111,libjxl,Random,15
AUC_ROC,0.7841178164,libjxl,RandomForest,15
Accuracy,0.7021285965,libjxl,RandomForest,15
F1-Score,0.1015985266,libjxl,RandomForest,15
MCC,0.105660154,libjxl,RandomForest,15
PR_AUC,0.1930549408,libjxl,RandomForest,15
Precision,0.0257676581,libjxl,RandomForest,15
Recall,0.5486111111,libjxl,RandomForest,15
AUC_ROC,0.7436574809,libjxl,XGBoost,15
Accuracy,0.7324228197,libjxl,XGBoost,15
F1-Score,0.1031442568,libjxl,XGBoost,15
MCC,0.1215647035,libjxl,XGBoost,15
PR_AUC,0.1046710308,libjxl,XGBoost,15
Precision,0.0269660123,libjxl,XGBoost,15
Recall,0.5458333333,libjxl,XGBoost,15
AUC_ROC,0.5000745735,fluent-bit,Random,14
AUC_ROC,0.4977001042,icu,Random,14
AUC_ROC,0.5015351723,libvips,Random,14
Accuracy,0.9647073461,fluent-bit,Random,14
Accuracy,0.978490991,icu,Random,14
Accuracy,0.9691245728,libvips,Random,14
F1-Score,0.0171111111,fluent-bit,Random,14
F1-Score,0.0044444444,icu,Random,14
F1-Score,0.0174873737,libvips,Random,14
MCC,-0.0004712583,fluent-bit,Random,14
MCC,-0.0045614217,icu,Random,14
MCC,0.0040378051,libvips,Random,14
PR_AUC,0.0304770905,fluent-bit,Random,14
PR_AUC,0.0377877878,icu,Random,14
PR_AUC,0.0441226452,libvips,Random,14
Precision,0.0104249668,fluent-bit,Random,14
Precision,0.0029585799,icu,Random,14
Precision,0.0139534884,libvips,Random,14
Recall,0.0255555556,fluent-bit,Random,14
