strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2020-08-10 00:00:00+00:00,3
strategy1_median,arrow,2020-09-21 00:00:00+00:00,3
strategy1_median,arrow,2020-09-22 00:00:00+00:00,3
strategy1_median,arrow,2020-10-08 00:00:00+00:00,3
strategy1_median,arrow,2020-10-19 00:00:00+00:00,3
strategy1_median,arrow,2020-11-23 00:00:00+00:00,3
strategy1_median,arrow,2020-12-02 00:00:00+00:00,3
strategy1_median,arrow,2020-12-15 00:00:00+00:00,3
strategy1_median,arrow,2021-01-25 00:00:00+00:00,3
strategy1_median,arrow,2021-02-09 00:00:00+00:00,3
strategy1_median,arrow,2021-02-10 00:00:00+00:00,3
strategy1_median,arrow,2021-02-16 00:00:00+00:00,3
strategy1_median,arrow,2021-02-17 00:00:00+00:00,3
strategy1_median,arrow,2021-02-26 00:00:00+00:00,3
strategy1_median,arrow,2021-03-02 00:00:00+00:00,3
strategy1_median,arrow,2021-03-09 00:00:00+00:00,3
strategy1_median,arrow,2021-03-12 00:00:00+00:00,3
strategy1_median,arrow,2021-03-16 00:00:00+00:00,3
strategy1_median,arrow,2021-03-17 00:00:00+00:00,3
strategy1_median,arrow,2021-03-23 00:00:00+00:00,3
strategy1_median,arrow,2021-03-24 00:00:00+00:00,3
strategy1_median,arrow,2021-04-01 00:00:00+00:00,3
strategy1_median,arrow,2021-04-13 00:00:00+00:00,3
strategy1_median,arrow,2021-04-14 00:00:00+00:00,3
strategy1_median,arrow,2021-04-15 00:00:00+00:00,3
strategy1_median,arrow,2021-04-19 00:00:00+00:00,3
strategy1_median,arrow,2021-04-21 00:00:00+00:00,3
strategy1_median,arrow,2021-04-27 00:00:00+00:00,3
strategy1_median,arrow,2021-05-17 00:00:00+00:00,3
strategy1_median,arrow,2021-05-20 00:00:00+00:00,3
strategy1_median,arrow,2021-05-21 00:00:00+00:00,3
strategy1_median,arrow,2021-06-04 00:00:00+00:00,3
strategy1_median,arrow,2021-06-07 00:00:00+00:00,3
strategy1_median,arrow,2021-06-09 00:00:00+00:00,3
strategy1_median,arrow,2021-06-16 00:00:00+00:00,3
strategy1_median,arrow,2021-06-21 00:00:00+00:00,3
