strategy,project,trigger_count,trigger_days,scheduled_builds,median_detection_days_mean,baseline_detection_days,builds_per_day,baseline_detection_builds,avg_builds_per_trigger,estimated_detection_days,estimated_detection_builds,sampled_offset_mean,normalized_line_change_mean
strategy1_median,arrow,204,204,495.0,2.426470588235294,2.0,1.0,2.0,2.426470588235294,0.0,0.0,,
strategy1_median,c-blosc2,111,111,4316.0,38.81981981981982,43.0,1.0,43.0,38.88288288288288,0.0,0.0,,
strategy1_median,clamav,122,122,10279.0,84.05327868852459,118.0,1.0,118.0,84.25409836065573,0.0,0.0,,
strategy1_median,curl,969,969,1332.0,1.3746130030959753,2.0,1.0,2.0,1.3746130030959753,0.0,0.0,,
strategy1_median,file,58,58,696.0,12.0,2.0,1.0,2.0,12.0,0.0,0.0,,
strategy1_median,fluent-bit,307,307,1936.0,6.260586319218241,6.0,1.0,6.0,6.306188925081433,0.0,0.0,,
strategy1_median,harfbuzz,276,276,997.0,3.523550724637681,3.0,1.0,3.0,3.61231884057971,0.0,0.0,,
strategy1_median,icu,404,404,3285.0,7.719059405940594,4.0,1.0,4.0,8.131188118811881,0.0,0.0,,
strategy1_median,leptonica,76,76,2152.0,28.230263157894736,22.0,1.0,22.0,28.31578947368421,0.0,0.0,,
strategy1_median,libarchive,170,170,10004.0,58.62352941176471,44.5,1.0,44.5,58.84705882352941,0.0,0.0,,
strategy1_median,libavc,250,250,97794.0,391.176,212.0,1.0,212.0,391.176,0.0,0.0,,
strategy1_median,libjxl,141,141,545.0,3.8652482269503547,4.0,1.0,4.0,3.8652482269503547,0.0,0.0,,
strategy1_median,libvips,272,272,379.0,1.2224264705882353,1.5,1.0,1.5,1.3933823529411764,0.0,0.0,,
strategy1_median,mruby,512,512,1820.0,3.515625,2.0,1.0,2.0,3.5546875,0.0,0.0,,
strategy1_median,net-snmp,295,295,590.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,
strategy1_median,open62541,199,199,796.0,3.7562814070351758,4.0,1.0,4.0,4.0,0.0,0.0,,
strategy1_median,openthread,437,437,874.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,
strategy1_median,serenity,209,209,325.0,1.4401913875598087,2.0,1.0,2.0,1.555023923444976,0.0,0.0,,
strategy1_median,wolfssl,439,439,8176.0,18.624145785876994,17.0,1.0,17.0,18.624145785876994,0.0,0.0,,
strategy2_random,arrow,204,204,1722.0,,2.0,1.0,2.0,8.441176470588236,0.0,0.0,7.932373009773714,
strategy2_random,c-blosc2,111,111,6895.0,,43.0,1.0,43.0,62.11711711711712,0.0,0.0,61.670742301616365,
strategy2_random,clamav,122,122,16772.0,,118.0,1.0,118.0,137.47540983606558,0.0,0.0,136.96282443293399,
strategy2_random,curl,969,969,1914.0,,2.0,1.0,2.0,1.9752321981424148,0.0,0.0,1.5309694540373655,
strategy2_random,file,108,108,849.0,,2.0,1.0,2.0,7.861111111111111,0.0,0.0,7.367910820186041,
strategy2_random,fluent-bit,307,307,7797.0,,6.0,1.0,6.0,25.39739413680782,0.0,0.0,24.905030977420612,
strategy2_random,harfbuzz,276,276,3142.0,,3.0,1.0,3.0,11.384057971014492,0.0,0.0,10.881841763127184,
strategy2_random,icu,404,404,3528.0,,4.0,1.0,4.0,8.732673267326733,0.0,0.0,8.237428824844935,
strategy2_random,leptonica,76,76,2452.0,,22.0,1.0,22.0,32.26315789473684,0.0,0.0,31.72372422658016,
strategy2_random,libarchive,170,170,13807.0,,44.5,1.0,44.5,81.21764705882353,0.0,0.0,80.71275381506241,
strategy2_random,libavc,250,250,88455.0,,212.0,1.0,212.0,353.82,0.0,0.0,353.49633822455485,
strategy2_random,libjxl,141,141,922.0,,4.0,1.0,4.0,6.539007092198582,0.0,0.0,6.043137729194706,
strategy2_random,libvips,458,458,848.0,,1.5,1.0,1.5,1.851528384279476,0.0,0.0,1.3034288690799016,
strategy2_random,mruby,512,512,5791.0,,2.0,1.0,2.0,11.310546875,0.0,0.0,10.801690227421181,
strategy2_random,net-snmp,295,295,1096.0,,2.0,1.0,2.0,3.7152542372881356,0.0,0.0,3.213943899822555,
strategy2_random,open62541,199,199,2073.0,,4.0,1.0,4.0,10.417085427135678,0.0,0.0,9.918649031527906,
strategy2_random,openthread,437,437,1252.0,,2.0,1.0,2.0,2.864988558352403,0.0,0.0,2.3551159690484256,
strategy2_random,serenity,209,209,1389.0,,2.0,1.0,2.0,6.645933014354067,0.0,0.0,6.155950001170292,
strategy2_random,wolfssl,439,439,10702.0,,17.0,1.0,17.0,24.378132118451024,0.0,0.0,23.87526098579763,
strategy3_line_proportional,arrow,157,157,495.0,,2.0,1.0,2.0,3.1528662420382165,0.0,0.0,,2.1868678659627525
strategy3_line_proportional,c-blosc2,92,92,4309.0,,43.0,1.0,43.0,46.83695652173913,0.0,0.0,,6.976175475813575
strategy3_line_proportional,clamav,83,83,10254.0,,118.0,1.0,118.0,123.5421686746988,0.0,0.0,,87.96689512896212
strategy3_line_proportional,curl,398,398,1332.0,,2.0,1.0,2.0,3.3467336683417086,0.0,0.0,,5.9624445967506245
strategy3_line_proportional,file,54,54,696.0,,2.0,1.0,2.0,12.88888888888889,0.0,0.0,,2.150359314538419
strategy3_line_proportional,fluent-bit,131,131,1922.0,,6.0,1.0,6.0,14.67175572519084,0.0,0.0,,35.24565913694612
strategy3_line_proportional,harfbuzz,158,158,973.0,,3.0,1.0,3.0,6.158227848101266,0.0,0.0,,163.57790206056794
strategy3_line_proportional,icu,168,168,3120.0,,4.0,1.0,4.0,18.571428571428573,0.0,0.0,,37.497616345094976
strategy3_line_proportional,leptonica,68,68,2146.0,,22.0,1.0,22.0,31.558823529411764,0.0,0.0,,2.354476136408355
strategy3_line_proportional,libarchive,164,164,9967.0,,44.5,1.0,44.5,60.77439024390244,0.0,0.0,,5.8292891976777295
strategy3_line_proportional,libavc,202,202,97794.0,,212.0,1.0,212.0,484.1287128712871,0.0,0.0,,67.67206436809094
strategy3_line_proportional,libjxl,98,98,545.0,,4.0,1.0,4.0,5.561224489795919,0.0,0.0,,6.389858686926251
strategy3_line_proportional,libvips,68,68,333.0,,1.5,1.0,1.5,4.897058823529412,0.0,0.0,,101.29171407726537
strategy3_line_proportional,mruby,227,227,1800.0,,2.0,1.0,2.0,7.929515418502203,0.0,0.0,,8.884713014033013
strategy3_line_proportional,net-snmp,104,104,590.0,,2.0,1.0,2.0,5.673076923076923,0.0,0.0,,15.848604102793022
strategy3_line_proportional,open62541,146,146,748.0,,4.0,1.0,4.0,5.123287671232877,0.0,0.0,,2.5162192027420187
strategy3_line_proportional,openthread,202,202,874.0,,2.0,1.0,2.0,4.326732673267327,0.0,0.0,,7.883985542720166
strategy3_line_proportional,serenity,146,146,301.0,,2.0,1.0,2.0,2.0616438356164384,0.0,0.0,,1.4713687074811987
