project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
c-blosc2,2020-06-28,1,1,1,1,1,19
c-blosc2,2020-06-30,2,1,2,2,2,6
c-blosc2,2020-07-02,3,1,3,3,3,6
c-blosc2,2020-07-06,4,1,4,4,4,2
c-blosc2,2020-07-07,5,1,5,5,5,1
c-blosc2,2020-07-13,6,1,6,6,6,1
c-blosc2,2020-07-25,7,1,7,7,7,1
c-blosc2,2020-07-27,8,1,8,8,8,2
c-blosc2,2020-08-03,9,1,9,9,9,2
c-blosc2,2020-08-05,10,1,10,10,10,1
c-blosc2,2020-08-08,11,1,11,11,11,1
c-blosc2,2020-08-18,12,1,12,12,12,5
c-blosc2,2020-08-29,13,1,13,13,13,6
c-blosc2,2020-09-08,14,1,14,14,14,1
c-blosc2,2020-09-11,15,1,15,15,15,1
c-blosc2,2020-09-13,16,1,16,16,16,3
c-blosc2,2020-09-19,17,1,17,17,17,2
c-blosc2,2020-09-21,18,1,18,18,18,4
c-blosc2,2020-09-22,19,1,19,19,19,6
c-blosc2,2020-09-23,20,1,20,20,20,1
c-blosc2,2020-09-24,21,1,21,21,21,1
c-blosc2,2020-09-25,22,1,22,22,22,1
c-blosc2,2020-10-05,23,1,23,23,23,2
c-blosc2,2020-10-06,24,1,24,24,24,1
c-blosc2,2020-10-11,25,1,25,25,25,2
c-blosc2,2020-10-15,26,1,26,26,26,1
c-blosc2,2020-10-16,27,1,27,27,27,6
c-blosc2,2020-10-17,28,1,28,28,28,3
c-blosc2,2020-10-18,29,1,29,29,29,1
c-blosc2,2020-10-19,30,1,30,30,30,1
c-blosc2,2020-10-20,31,1,31,31,31,4
c-blosc2,2020-10-21,32,1,32,32,32,10
c-blosc2,2020-10-22,33,1,33,33,33,3
c-blosc2,2020-10-23,34,1,34,34,34,4
c-blosc2,2020-11-01,35,1,35,35,35,1
c-blosc2,2020-11-05,36,1,36,36,36,2
c-blosc2,2020-11-08,37,1,37,37,37,3
c-blosc2,2020-11-10,38,1,38,38,38,7
c-blosc2,2020-11-11,39,1,39,39,39,2
c-blosc2,2020-11-17,40,1,40,40,40,2
c-blosc2,2020-11-18,41,1,41,41,41,1
c-blosc2,2020-11-19,42,1,42,42,42,2
c-blosc2,2020-11-20,43,1,43,43,43,3
c-blosc2,2020-11-21,44,1,44,44,44,5
c-blosc2,2020-11-22,45,1,45,45,45,18
c-blosc2,2020-11-23,46,1,46,46,46,9
c-blosc2,2020-11-26,47,1,47,47,47,2
c-blosc2,2020-11-27,48,1,48,48,48,2
c-blosc2,2020-12-08,49,1,49,49,49,1
c-blosc2,2020-12-09,50,1,50,50,50,2
c-blosc2,2020-12-13,51,1,51,51,51,2
c-blosc2,2020-12-16,52,1,52,52,52,1
c-blosc2,2020-12-20,53,1,53,53,53,2
c-blosc2,2020-12-21,54,1,54,54,54,2
c-blosc2,2020-12-22,55,1,55,55,55,3
c-blosc2,2020-12-24,56,1,56,56,56,1
c-blosc2,2020-12-27,57,1,57,57,57,1
c-blosc2,2020-12-29,58,1,58,58,58,8
c-blosc2,2020-12-30,59,1,59,59,59,2
c-blosc2,2021-01-01,60,1,60,60,60,2
c-blosc2,2021-01-02,61,1,61,61,61,4
c-blosc2,2021-01-03,62,1,62,62,62,6
c-blosc2,2021-01-04,63,1,63,63,63,13
c-blosc2,2021-01-05,64,1,64,64,64,6
c-blosc2,2021-01-06,65,1,65,65,65,2
c-blosc2,2021-01-07,66,1,66,66,66,5
c-blosc2,2021-01-08,67,1,67,67,67,8
c-blosc2,2021-01-09,68,1,68,68,68,3
c-blosc2,2021-01-10,69,1,69,69,69,5
c-blosc2,2021-01-11,70,1,70,70,70,3
c-blosc2,2021-01-12,71,1,71,71,71,6
