project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
file,2018-10-15,1,1,1,1,1,1
file,2018-10-16,2,1,2,2,2,2
file,2018-10-18,3,1,3,3,3,3
file,2018-10-19,4,1,4,4,4,4
file,2018-10-23,5,1,5,5,5,1
file,2018-10-24,6,1,6,6,6,1
file,2018-10-28,7,1,7,7,7,1
file,2018-11-05,8,1,8,8,8,1
file,2018-11-09,9,1,9,9,9,3
file,2018-11-11,10,1,10,10,10,1
file,2018-11-20,11,1,11,11,11,1
file,2018-11-23,12,1,12,12,12,1
file,2018-11-26,13,1,13,13,13,1
file,2018-11-27,14,1,14,14,14,2
file,2018-11-30,15,1,15,15,15,1
file,2018-12-02,16,1,16,16,16,1
file,2018-12-04,17,1,17,17,17,2
file,2018-12-10,18,1,18,18,18,3
file,2018-12-11,19,1,19,19,19,2
file,2018-12-15,20,1,20,20,20,1
file,2018-12-21,21,1,21,21,21,1
file,2018-12-28,22,1,22,22,22,1
file,2019-01-01,23,1,23,23,23,1
file,2019-01-02,24,1,24,24,24,1
file,2019-01-04,25,1,25,25,25,1
file,2019-01-09,26,1,26,26,26,1
file,2019-01-11,27,1,27,27,27,1
file,2019-01-13,28,1,28,28,28,2
file,2019-01-16,29,1,29,29,29,3
file,2019-01-21,30,1,30,30,30,1
file,2019-01-22,31,1,31,31,31,2
file,2019-02-01,32,1,32,32,32,1
file,2019-02-06,33,1,33,33,33,1
file,2019-02-09,34,1,34,34,34,2
file,2019-02-14,35,1,35,35,35,1
file,2019-02-16,36,1,36,36,36,1
file,2019-02-18,37,1,37,37,37,5
file,2019-02-19,38,1,38,38,38,3
file,2019-02-20,39,1,39,39,39,4
file,2019-02-23,40,1,40,40,40,23
file,2019-02-24,41,1,41,41,41,1
file,2019-02-27,42,1,42,42,42,3
file,2019-02-28,43,1,43,43,43,3
file,2019-03-02,44,1,44,44,44,1
file,2019-03-03,45,1,45,45,45,7
file,2019-03-07,46,1,46,46,46,1
file,2019-03-08,47,1,47,47,47,1
file,2019-03-12,48,1,48,48,48,1
file,2019-03-13,49,1,49,49,49,2
file,2019-03-26,50,1,50,50,50,1
file,2019-04-07,51,1,51,51,51,2
file,2019-04-08,52,1,52,52,52,1
file,2019-04-15,53,1,53,53,53,3
file,2019-04-19,54,1,54,54,54,3
file,2019-04-23,55,1,55,55,55,2
file,2019-04-30,56,1,56,56,56,2
file,2019-05-01,57,1,57,57,57,1
file,2019-05-05,58,1,58,58,58,6
file,2019-05-06,59,1,59,59,59,4
file,2019-05-07,60,1,60,60,60,3
file,2019-05-08,61,1,61,61,61,1
file,2019-05-09,62,1,62,62,62,4
file,2019-05-17,63,1,63,63,63,2
file,2019-05-20,64,1,64,64,64,1
file,2019-05-21,65,1,65,65,65,1
file,2019-05-24,66,1,66,66,66,1
file,2019-05-26,67,1,67,67,67,1
file,2019-05-27,68,1,68,68,68,7
file,2019-05-29,69,1,69,69,69,1
file,2019-06-02,70,1,70,70,70,1
file,2019-06-06,71,1,71,71,71,2
file,2019-06-08,72,1,72,72,72,6
file,2019-06-14,73,1,73,73,73,1
file,2019-06-16,74,1,74,74,74,2
file,2019-06-19,75,1,75,75,75,1
file,2019-06-21,76,1,76,76,76,2
file,2019-06-24,77,1,77,77,77,4
file,2019-06-26,78,1,78,78,78,1
file,2019-06-29,79,1,79,79,79,3
file,2019-06-30,80,1,80,80,80,1
file,2019-07-03,81,1,81,81,81,2
file,2019-07-04,82,1,82,82,82,1
file,2019-07-05,83,1,83,83,83,3
file,2019-07-06,84,1,84,84,84,3
file,2019-07-07,85,1,85,85,85,1
file,2019-07-13,86,1,86,86,86,2
file,2019-07-16,87,1,87,87,87,2
file,2019-07-18,88,1,88,88,88,2
file,2019-07-21,89,1,89,89,89,3
file,2019-07-23,90,1,90,90,90,1
file,2019-08-02,91,1,91,91,91,2
file,2019-08-03,92,1,92,92,92,1
file,2019-08-05,93,1,93,93,93,1
file,2019-08-10,94,1,94,94,94,2
file,2019-08-23,95,1,95,95,95,1
file,2019-08-26,96,1,96,96,96,1
file,2019-09-11,97,1,97,97,97,3
file,2019-09-12,98,1,98,98,98,2
file,2019-09-18,99,1,99,99,99,1
file,2019-09-19,100,1,100,100,100,2
file,2019-09-23,101,1,101,101,101,1
file,2019-09-30,102,1,102,102,102,3
file,2019-10-02,103,1,103,103,103,1
file,2019-10-04,104,1,104,104,104,2
file,2019-10-08,105,1,105,105,105,1
file,2019-10-11,106,1,106,106,106,1
file,2019-10-14,107,1,107,107,107,1
file,2019-10-15,108,1,108,108,108,4
file,2019-10-17,109,1,109,109,109,2
file,2019-10-18,110,1,110,110,110,2
file,2019-10-19,111,1,111,111,111,1
file,2019-10-21,112,1,112,112,112,1
file,2019-10-25,113,1,113,113,113,1
file,2019-10-29,114,1,114,114,114,1
file,2019-10-30,115,1,115,115,115,2
file,2019-11-02,116,1,116,116,116,3
file,2019-11-09,117,1,117,117,117,2
