project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
fluent-bit,2020-04-20,1,1,1,1,1,3
fluent-bit,2020-04-21,2,1,2,2,2,2
fluent-bit,2020-04-23,3,1,3,3,3,13
fluent-bit,2020-04-24,4,1,4,4,4,3
fluent-bit,2020-04-25,5,1,5,5,5,1
fluent-bit,2020-04-27,6,1,6,6,6,2
fluent-bit,2020-04-28,7,1,7,7,7,1
fluent-bit,2020-04-29,8,1,8,8,8,3
fluent-bit,2020-05-01,9,1,9,9,9,3
fluent-bit,2020-05-04,10,1,10,10,10,3
fluent-bit,2020-05-05,11,1,11,11,11,32
fluent-bit,2020-05-08,12,1,12,12,12,8
fluent-bit,2020-05-09,13,1,13,13,13,6
fluent-bit,2020-05-12,14,1,14,14,14,2
fluent-bit,2020-05-22,15,1,15,15,15,6
fluent-bit,2020-05-27,16,1,16,16,16,6
fluent-bit,2020-06-02,17,1,17,17,17,1
fluent-bit,2020-06-04,18,1,18,18,18,28
fluent-bit,2020-06-06,19,1,19,19,19,2
fluent-bit,2020-06-08,20,1,20,20,20,33
fluent-bit,2020-06-09,21,1,21,21,21,17
fluent-bit,2020-06-13,22,1,22,22,22,2
fluent-bit,2020-06-15,23,1,23,23,23,1
fluent-bit,2020-06-16,24,1,24,24,24,10
fluent-bit,2020-06-17,25,1,25,25,25,4
fluent-bit,2020-06-18,26,1,26,26,26,3
fluent-bit,2020-06-25,27,1,27,27,27,14
fluent-bit,2020-06-26,28,1,28,28,28,16
fluent-bit,2020-06-27,29,1,29,29,29,1
fluent-bit,2020-06-30,30,1,30,30,30,6
fluent-bit,2020-07-01,31,1,31,31,31,20
fluent-bit,2020-07-02,32,1,32,32,32,8
fluent-bit,2020-07-03,33,1,33,33,33,15
fluent-bit,2020-07-05,34,1,34,34,34,2
fluent-bit,2020-07-06,35,1,35,35,35,9
fluent-bit,2020-07-07,36,1,36,36,36,8
fluent-bit,2020-07-08,37,1,37,37,37,5
fluent-bit,2020-07-09,38,1,38,38,38,5
fluent-bit,2020-07-10,39,1,39,39,39,2
fluent-bit,2020-07-13,40,1,40,40,40,9
fluent-bit,2020-07-14,41,1,41,41,41,1
fluent-bit,2020-07-15,42,1,42,42,42,1
fluent-bit,2020-07-16,43,1,43,43,43,3
fluent-bit,2020-07-21,44,1,44,44,44,2
fluent-bit,2020-07-22,45,1,45,45,45,6
fluent-bit,2020-07-23,46,1,46,46,46,3
fluent-bit,2020-07-24,47,1,47,47,47,1
fluent-bit,2020-07-28,48,1,48,48,48,3
fluent-bit,2020-07-30,49,1,49,49,49,7
fluent-bit,2020-07-31,50,1,50,50,50,13
fluent-bit,2020-08-04,51,1,51,51,51,13
fluent-bit,2020-08-05,52,1,52,52,52,8
fluent-bit,2020-08-06,53,1,53,53,53,3
fluent-bit,2020-08-07,54,1,54,54,54,8
fluent-bit,2020-08-08,55,1,55,55,55,1
fluent-bit,2020-08-10,56,1,56,56,56,5
fluent-bit,2020-08-11,57,1,57,57,57,4
fluent-bit,2020-08-13,58,1,58,58,58,2
fluent-bit,2020-08-14,59,1,59,59,59,8
fluent-bit,2020-08-22,60,1,60,60,60,2
fluent-bit,2020-09-03,61,1,61,61,61,5
fluent-bit,2020-09-06,62,1,62,62,62,6
fluent-bit,2020-09-07,63,1,63,63,63,5
fluent-bit,2020-09-10,64,1,64,64,64,4
fluent-bit,2020-10-09,65,1,65,65,65,7
fluent-bit,2020-10-10,66,1,66,66,66,1
fluent-bit,2020-10-14,67,1,67,67,67,3
fluent-bit,2020-10-15,68,1,68,68,68,2
fluent-bit,2020-10-19,69,1,69,69,69,2
fluent-bit,2020-10-20,70,1,70,70,70,1
fluent-bit,2020-10-22,71,1,71,71,71,3
fluent-bit,2020-10-23,72,1,72,72,72,4
fluent-bit,2020-10-29,73,1,73,73,73,1
fluent-bit,2020-10-30,74,1,74,74,74,3
fluent-bit,2020-11-01,75,1,75,75,75,1
fluent-bit,2020-11-05,76,1,76,76,76,9
fluent-bit,2020-11-07,77,1,77,77,77,5
fluent-bit,2020-11-09,78,1,78,78,78,6
fluent-bit,2020-11-13,79,1,79,79,79,2
fluent-bit,2020-11-15,80,1,80,80,80,9
fluent-bit,2020-11-16,81,1,81,81,81,1
fluent-bit,2020-11-17,82,1,82,82,82,1
fluent-bit,2020-11-20,83,1,83,83,83,16
fluent-bit,2020-11-21,84,1,84,84,84,3
fluent-bit,2020-11-23,85,1,85,85,85,8
fluent-bit,2020-11-24,86,1,86,86,86,7
fluent-bit,2020-11-26,87,1,87,87,87,8
fluent-bit,2020-11-27,88,1,88,88,88,9
fluent-bit,2020-12-07,89,1,89,89,89,3
fluent-bit,2020-12-08,90,1,90,90,90,4
fluent-bit,2020-12-10,91,1,91,91,91,1
fluent-bit,2020-12-11,92,1,92,92,92,2
fluent-bit,2020-12-13,93,1,93,93,93,18
fluent-bit,2020-12-14,94,1,94,94,94,1
fluent-bit,2020-12-15,95,1,95,95,95,4
fluent-bit,2020-12-16,96,1,96,96,96,31
fluent-bit,2020-12-18,97,1,97,97,97,24
fluent-bit,2020-12-21,98,1,98,98,98,1
fluent-bit,2020-12-23,99,1,99,99,99,1
fluent-bit,2021-01-07,100,1,100,100,100,2
fluent-bit,2021-01-08,101,1,101,101,101,32
fluent-bit,2021-01-12,102,1,102,102,102,1
fluent-bit,2021-01-13,103,1,103,103,103,3
fluent-bit,2021-01-14,104,1,104,104,104,7
fluent-bit,2021-01-16,105,1,105,105,105,6
fluent-bit,2021-01-18,106,1,106,106,106,11
fluent-bit,2021-01-20,107,1,107,107,107,3
fluent-bit,2021-01-21,108,1,108,108,108,5
fluent-bit,2021-01-22,109,1,109,109,109,1
fluent-bit,2021-01-25,110,1,110,110,110,9
fluent-bit,2021-01-26,111,1,111,111,111,20
fluent-bit,2021-01-27,112,1,112,112,112,24
fluent-bit,2021-01-28,113,1,113,113,113,14
fluent-bit,2021-01-29,114,1,114,114,114,19
fluent-bit,2021-02-01,115,1,115,115,115,4
fluent-bit,2021-02-02,116,1,116,116,116,12
fluent-bit,2021-02-03,117,1,117,117,117,3
fluent-bit,2021-02-07,118,1,118,118,118,2
fluent-bit,2021-02-08,119,1,119,119,119,32
fluent-bit,2021-02-09,120,1,120,120,120,7
fluent-bit,2021-02-10,121,1,121,121,121,4
fluent-bit,2021-02-11,122,1,122,122,122,11
fluent-bit,2021-02-12,123,1,123,123,123,5
fluent-bit,2021-02-13,124,1,124,124,124,20
fluent-bit,2021-02-14,125,1,125,125,125,2
fluent-bit,2021-02-15,126,1,126,126,126,8
fluent-bit,2021-02-16,127,1,127,127,127,2
fluent-bit,2021-02-17,128,1,128,128,128,3
fluent-bit,2021-02-18,129,1,129,129,129,4
fluent-bit,2021-02-19,130,1,130,130,130,1
fluent-bit,2021-02-20,131,1,131,131,131,1
fluent-bit,2021-02-22,132,1,132,132,132,5
fluent-bit,2021-02-23,133,1,133,133,133,3
fluent-bit,2021-02-24,134,1,134,134,134,5
fluent-bit,2021-02-25,135,1,135,135,135,12
fluent-bit,2021-03-02,136,1,136,136,136,8
fluent-bit,2021-03-03,137,1,137,137,137,1
fluent-bit,2021-03-04,138,1,138,138,138,7
fluent-bit,2021-03-05,139,1,139,139,139,15
fluent-bit,2021-03-06,140,1,140,140,140,2
fluent-bit,2021-03-09,141,1,141,141,141,1
fluent-bit,2021-03-10,142,1,142,142,142,8
fluent-bit,2021-03-12,143,1,143,143,143,2
fluent-bit,2021-03-15,144,1,144,144,144,2
fluent-bit,2021-03-16,145,1,145,145,145,1
fluent-bit,2021-03-17,146,1,146,146,146,2
fluent-bit,2021-03-18,147,1,147,147,147,7
fluent-bit,2021-03-19,148,1,148,148,148,1
fluent-bit,2021-03-22,149,1,149,149,149,2
fluent-bit,2021-03-23,150,1,150,150,150,2
fluent-bit,2021-03-25,151,1,151,151,151,1
fluent-bit,2021-03-26,152,1,152,152,152,5
fluent-bit,2021-03-27,153,1,153,153,153,2
fluent-bit,2021-03-29,154,1,154,154,154,1
fluent-bit,2021-04-01,155,1,155,155,155,3
fluent-bit,2021-04-03,156,1,156,156,156,1
fluent-bit,2021-04-04,157,1,157,157,157,1
fluent-bit,2021-04-05,158,1,158,158,158,1
fluent-bit,2021-04-06,159,1,159,159,159,12
fluent-bit,2021-04-07,160,1,160,160,160,11
fluent-bit,2021-04-11,161,1,161,161,161,3
fluent-bit,2021-04-13,162,1,162,162,162,2
fluent-bit,2021-04-14,163,1,163,163,163,4
fluent-bit,2021-04-16,164,1,164,164,164,9
fluent-bit,2021-04-17,165,1,165,165,165,2
fluent-bit,2021-04-18,166,1,166,166,166,4
fluent-bit,2021-04-19,167,1,167,167,167,10
fluent-bit,2021-04-20,168,1,168,168,168,9
fluent-bit,2021-04-26,169,1,169,169,169,2
fluent-bit,2021-04-27,170,1,170,170,170,3
fluent-bit,2021-04-28,171,1,171,171,171,3
fluent-bit,2021-04-29,172,1,172,172,172,1
fluent-bit,2021-05-02,173,1,173,173,173,1
fluent-bit,2021-05-03,174,1,174,174,174,5
fluent-bit,2021-05-04,175,1,175,175,175,5
fluent-bit,2021-05-05,176,1,176,176,176,15
fluent-bit,2021-05-06,177,1,177,177,177,3
fluent-bit,2021-05-09,178,1,178,178,178,6
fluent-bit,2021-05-10,179,1,179,179,179,1
fluent-bit,2021-05-12,180,1,180,180,180,1
fluent-bit,2021-05-13,181,1,181,181,181,10
fluent-bit,2021-05-15,182,1,182,182,182,3
fluent-bit,2021-05-17,183,1,183,183,183,5
fluent-bit,2021-05-18,184,1,184,184,184,3
fluent-bit,2021-05-19,185,1,185,185,185,10
fluent-bit,2021-05-20,186,1,186,186,186,4
fluent-bit,2021-05-21,187,1,187,187,187,7
fluent-bit,2021-05-22,188,1,188,188,188,3
fluent-bit,2021-05-23,189,1,189,189,189,3
fluent-bit,2021-05-24,190,1,190,190,190,1
fluent-bit,2021-05-25,191,1,191,191,191,4
fluent-bit,2021-05-26,192,1,192,192,192,17
fluent-bit,2021-05-27,193,1,193,193,193,2
fluent-bit,2021-05-30,194,1,194,194,194,4
fluent-bit,2021-05-31,195,1,195,195,195,1
fluent-bit,2021-06-03,196,1,196,196,196,1
fluent-bit,2021-06-05,197,1,197,197,197,6
fluent-bit,2021-06-12,198,1,198,198,198,5
fluent-bit,2021-06-14,199,1,199,199,199,6
fluent-bit,2021-06-16,200,1,200,200,200,12
fluent-bit,2021-06-17,201,1,201,201,201,2
fluent-bit,2021-06-18,202,1,202,202,202,5
fluent-bit,2021-06-24,203,1,203,203,203,14
fluent-bit,2021-06-28,204,1,204,204,204,2
fluent-bit,2021-06-30,205,1,205,205,205,22
fluent-bit,2021-07-05,206,1,206,206,206,7
fluent-bit,2021-07-06,207,1,207,207,207,26
fluent-bit,2021-07-07,208,1,208,208,208,16
fluent-bit,2021-07-08,209,1,209,209,209,4
fluent-bit,2021-07-10,210,1,210,210,210,4
fluent-bit,2021-07-12,211,1,211,211,211,2
fluent-bit,2021-07-15,212,1,212,212,212,5
