project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
harfbuzz,2018-10-12,1,1,1,1,1,16
harfbuzz,2018-10-13,2,1,2,2,2,11
harfbuzz,2018-10-14,3,1,3,3,3,6
harfbuzz,2018-10-15,4,1,4,4,4,16
harfbuzz,2018-10-16,5,1,5,5,5,25
harfbuzz,2018-10-17,6,1,6,6,6,7
harfbuzz,2018-10-19,7,1,7,7,7,21
harfbuzz,2018-10-20,8,1,8,8,8,21
harfbuzz,2018-10-21,9,1,9,9,9,5
harfbuzz,2018-10-22,10,1,10,10,10,42
harfbuzz,2018-10-23,11,1,11,11,11,28
harfbuzz,2018-10-24,12,1,12,12,12,6
harfbuzz,2018-10-27,13,1,13,13,13,73
harfbuzz,2018-10-28,14,1,14,14,14,3
harfbuzz,2018-10-29,15,1,15,15,15,65
harfbuzz,2018-10-30,16,1,16,16,16,51
harfbuzz,2018-10-31,17,1,17,17,17,26
harfbuzz,2018-11-01,18,1,18,18,18,19
harfbuzz,2018-11-02,19,1,19,19,19,22
harfbuzz,2018-11-03,20,1,20,20,20,15
harfbuzz,2018-11-04,21,1,21,21,21,13
harfbuzz,2018-11-05,22,1,22,22,22,10
harfbuzz,2018-11-06,23,1,23,23,23,37
harfbuzz,2018-11-07,24,1,24,24,24,71
harfbuzz,2018-11-08,25,1,25,25,25,13
harfbuzz,2018-11-09,26,1,26,26,26,3
harfbuzz,2018-11-10,27,1,27,27,27,12
harfbuzz,2018-11-11,28,1,28,28,28,27
harfbuzz,2018-11-12,29,1,29,29,29,24
harfbuzz,2018-11-13,30,1,30,30,30,8
harfbuzz,2018-11-16,31,1,31,31,31,20
harfbuzz,2018-11-17,32,1,32,32,32,7
harfbuzz,2018-11-19,33,1,33,33,33,9
harfbuzz,2018-11-20,34,1,34,34,34,8
harfbuzz,2018-11-21,35,1,35,35,35,10
harfbuzz,2018-11-22,36,1,36,36,36,28
harfbuzz,2018-11-23,37,1,37,37,37,20
harfbuzz,2018-11-24,38,1,38,38,38,45
harfbuzz,2018-11-25,39,1,39,39,39,47
harfbuzz,2018-11-26,40,1,40,40,40,2
harfbuzz,2018-11-27,41,1,41,41,41,4
harfbuzz,2018-11-28,42,1,42,42,42,10
harfbuzz,2018-11-29,43,1,43,43,43,21
harfbuzz,2018-11-30,44,1,44,44,44,15
harfbuzz,2018-12-01,45,1,45,45,45,22
harfbuzz,2018-12-02,46,1,46,46,46,4
harfbuzz,2018-12-03,47,1,47,47,47,5
harfbuzz,2018-12-04,48,1,48,48,48,14
harfbuzz,2018-12-05,49,1,49,49,49,23
harfbuzz,2018-12-06,50,1,50,50,50,13
harfbuzz,2018-12-07,51,1,51,51,51,1
harfbuzz,2018-12-08,52,1,52,52,52,4
harfbuzz,2018-12-11,53,1,53,53,53,8
harfbuzz,2018-12-12,54,1,54,54,54,12
harfbuzz,2018-12-13,55,1,55,55,55,11
harfbuzz,2018-12-14,56,1,56,56,56,1
harfbuzz,2018-12-15,57,1,57,57,57,1
harfbuzz,2018-12-16,58,1,58,58,58,3
harfbuzz,2018-12-17,59,1,59,59,59,29
harfbuzz,2018-12-18,60,1,60,60,60,9
