project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
icu,2018-10-12,1,1,1,1,1,1
icu,2018-10-17,2,1,2,2,2,1
icu,2018-10-18,3,1,3,3,3,5
icu,2018-10-19,4,1,4,4,4,2
icu,2018-10-20,5,1,5,5,5,1
icu,2018-10-24,6,1,6,6,6,3
icu,2018-10-25,7,1,7,7,7,2
icu,2018-10-26,8,1,8,8,8,1
icu,2018-10-29,9,1,9,9,9,7
icu,2018-10-30,10,1,10,10,10,5
icu,2018-10-31,11,1,11,11,11,4
icu,2018-11-02,12,1,12,12,12,2
icu,2018-11-05,13,1,13,13,13,1
icu,2018-11-06,14,1,14,14,14,2
icu,2018-11-07,15,1,15,15,15,5
icu,2018-11-08,16,1,16,16,16,1
icu,2018-11-09,17,1,17,17,17,4
icu,2018-11-12,18,1,18,18,18,1
icu,2018-11-13,19,1,19,19,19,5
icu,2018-11-16,20,1,20,20,20,1
icu,2018-11-19,21,1,21,21,21,4
icu,2018-11-20,22,1,22,22,22,3
icu,2018-11-21,23,1,23,23,23,1
icu,2018-11-27,24,1,24,24,24,1
icu,2018-11-28,25,1,25,25,25,1
icu,2018-12-04,26,1,26,26,26,1
icu,2018-12-08,27,1,27,27,27,2
icu,2018-12-11,28,1,28,28,28,1
icu,2018-12-12,29,1,29,29,29,5
icu,2018-12-13,30,1,30,30,30,3
icu,2018-12-14,31,1,31,31,31,3
icu,2018-12-15,32,1,32,32,32,1
icu,2018-12-18,33,1,33,33,33,1
icu,2018-12-19,34,1,34,34,34,2
icu,2018-12-21,35,1,35,35,35,1
icu,2019-01-03,36,1,36,36,36,1
icu,2019-01-04,37,1,37,37,37,1
icu,2019-01-09,38,1,38,38,38,1
icu,2019-01-10,39,1,39,39,39,4
icu,2019-01-11,40,1,40,40,40,2
icu,2019-01-17,41,1,41,41,41,3
icu,2019-01-18,42,1,42,42,42,3
icu,2019-01-19,43,1,43,43,43,1
icu,2019-01-24,44,1,44,44,44,6
icu,2019-01-25,45,1,45,45,45,10
icu,2019-01-26,46,1,46,46,46,1
icu,2019-01-28,47,1,47,47,47,3
icu,2019-01-29,48,1,48,48,48,1
icu,2019-01-30,49,1,49,49,49,1
icu,2019-01-31,50,1,50,50,50,2
icu,2019-02-02,51,1,51,51,51,1
icu,2019-02-05,52,1,52,52,52,6
icu,2019-02-06,53,1,53,53,53,11
icu,2019-02-07,54,1,54,54,54,9
icu,2019-02-08,55,1,55,55,55,10
icu,2019-02-09,56,1,56,56,56,2
icu,2019-02-11,57,1,57,57,57,3
icu,2019-02-12,58,1,58,58,58,2
icu,2019-02-13,59,1,59,59,59,4
icu,2019-02-14,60,1,60,60,60,8
icu,2019-02-15,61,1,61,61,61,8
icu,2019-02-16,62,1,62,62,62,7
icu,2019-02-18,63,1,63,63,63,3
icu,2019-02-19,64,1,64,64,64,6
icu,2019-02-20,65,1,65,65,65,13
icu,2019-02-21,66,1,66,66,66,16
icu,2019-02-22,67,1,67,67,67,6
icu,2019-02-23,68,1,68,68,68,4
icu,2019-02-24,69,1,69,69,69,1
icu,2019-02-25,70,1,70,70,70,6
icu,2019-02-26,71,1,71,71,71,1
icu,2019-02-27,72,1,72,72,72,8
icu,2019-02-28,73,1,73,73,73,7
icu,2019-03-02,74,1,74,74,74,1
icu,2019-03-04,75,1,75,75,75,1
icu,2019-03-06,76,1,76,76,76,1
icu,2019-03-07,77,1,77,77,77,3
icu,2019-03-08,78,1,78,78,78,3
icu,2019-03-09,79,1,79,79,79,2
icu,2019-03-12,80,1,80,80,80,5
icu,2019-03-13,81,1,81,81,81,7
icu,2019-03-14,82,1,82,82,82,3
icu,2019-03-15,83,1,83,83,83,3
icu,2019-03-19,84,1,84,84,84,5
icu,2019-03-20,85,1,85,85,85,4
icu,2019-03-21,86,1,86,86,86,1
icu,2019-03-22,87,1,87,87,87,4
icu,2019-03-23,88,1,88,88,88,2
icu,2019-03-25,89,1,89,89,89,4
icu,2019-03-26,90,1,90,90,90,1
icu,2019-04-02,91,1,91,91,91,2
icu,2019-04-03,92,1,92,92,92,7
icu,2019-04-04,93,1,93,93,93,1
icu,2019-04-05,94,1,94,94,94,4
icu,2019-04-06,95,1,95,95,95,2
icu,2019-04-08,96,1,96,96,96,3
icu,2019-04-09,97,1,97,97,97,1
icu,2019-04-10,98,1,98,98,98,1
icu,2019-04-11,99,1,99,99,99,8
icu,2019-04-12,100,1,100,100,100,2
icu,2019-04-15,101,1,101,101,101,2
icu,2019-04-17,102,1,102,102,102,6
icu,2019-04-18,103,1,103,103,103,1
icu,2019-04-23,104,1,104,104,104,2
icu,2019-04-25,105,1,105,105,105,5
icu,2019-05-02,106,1,106,106,106,1
icu,2019-05-06,107,1,107,107,107,4
icu,2019-05-07,108,1,108,108,108,2
icu,2019-05-08,109,1,109,109,109,2
icu,2019-05-10,110,1,110,110,110,1
icu,2019-05-13,111,1,111,111,111,2
icu,2019-05-14,112,1,112,112,112,1
icu,2019-05-15,113,1,113,113,113,1
icu,2019-05-21,114,1,114,114,114,1
icu,2019-05-23,115,1,115,115,115,1
icu,2019-05-24,116,1,116,116,116,1
icu,2019-05-28,117,1,117,117,117,1
icu,2019-05-29,118,1,118,118,118,3
icu,2019-05-30,119,1,119,119,119,1
icu,2019-05-31,120,1,120,120,120,1
icu,2019-06-04,121,1,121,121,121,1
icu,2019-06-05,122,1,122,122,122,1
icu,2019-06-06,123,1,123,123,123,1
icu,2019-06-07,124,1,124,124,124,4
icu,2019-06-10,125,1,125,125,125,1
icu,2019-06-12,126,1,126,126,126,1
icu,2019-06-13,127,1,127,127,127,2
icu,2019-06-14,128,1,128,128,128,1
icu,2019-06-17,129,1,129,129,129,1
icu,2019-06-18,130,1,130,130,130,9
icu,2019-06-21,131,1,131,131,131,1
icu,2019-06-25,132,1,132,132,132,2
icu,2019-07-01,133,1,133,133,133,2
icu,2019-07-07,134,1,134,134,134,1
icu,2019-07-09,135,1,135,135,135,3
icu,2019-07-11,136,1,136,136,136,1
icu,2019-07-16,137,1,137,137,137,1
icu,2019-07-20,138,1,138,138,138,1
icu,2019-07-23,139,1,139,139,139,3
icu,2019-07-24,140,1,140,140,140,2
icu,2019-07-26,141,1,141,141,141,1
icu,2019-07-27,142,1,142,142,142,1
icu,2019-07-30,143,1,143,143,143,1
icu,2019-07-31,144,1,144,144,144,1
icu,2019-08-08,145,1,145,145,145,1
icu,2019-08-09,146,1,146,146,146,3
icu,2019-08-10,147,1,147,147,147,1
icu,2019-08-12,148,1,148,148,148,3
icu,2019-08-13,149,1,149,149,149,5
icu,2019-08-14,150,1,150,150,150,5
icu,2019-08-15,151,1,151,151,151,10
icu,2019-08-16,152,1,152,152,152,1
icu,2019-08-19,153,1,153,153,153,3
icu,2019-08-20,154,1,154,154,154,1
icu,2019-08-21,155,1,155,155,155,1
icu,2019-08-22,156,1,156,156,156,2
icu,2019-08-23,157,1,157,157,157,1
icu,2019-08-26,158,1,158,158,158,1
icu,2019-08-27,159,1,159,159,159,4
icu,2019-08-28,160,1,160,160,160,5
icu,2019-08-29,161,1,161,161,161,6
icu,2019-08-30,162,1,162,162,162,11
icu,2019-08-31,163,1,163,163,163,4
icu,2019-09-03,164,1,164,164,164,2
icu,2019-09-04,165,1,165,165,165,3
icu,2019-09-05,166,1,166,166,166,5
icu,2019-09-06,167,1,167,167,167,4
icu,2019-09-09,168,1,168,168,168,3
icu,2019-09-10,169,1,169,169,169,2
icu,2019-09-11,170,1,170,170,170,1
icu,2019-09-17,171,1,171,171,171,2
icu,2019-09-18,172,1,172,172,172,1
icu,2019-09-20,173,1,173,173,173,1
icu,2019-09-24,174,1,174,174,174,2
icu,2019-09-25,175,1,175,175,175,4
icu,2019-09-26,176,1,176,176,176,3
icu,2019-09-27,177,1,177,177,177,4
icu,2019-09-28,178,1,178,178,178,1
icu,2019-10-02,179,1,179,179,179,4
icu,2019-10-04,180,1,180,180,180,3
icu,2019-10-09,181,1,181,181,181,3
icu,2019-10-10,182,1,182,182,182,3
icu,2019-10-11,183,1,183,183,183,2
icu,2019-10-15,184,1,184,184,184,1
