project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
leptonica,2018-12-29,1,1,1,1,1,1
leptonica,2019-01-02,2,1,2,2,2,1
leptonica,2019-01-04,3,1,3,3,3,1
leptonica,2019-01-08,4,1,4,4,4,6
leptonica,2019-01-14,5,1,5,5,5,5
leptonica,2019-01-18,6,1,6,6,6,1
leptonica,2019-01-20,7,1,7,7,7,1
leptonica,2019-01-22,8,1,8,8,8,1
leptonica,2019-02-04,9,1,9,9,9,2
leptonica,2019-02-05,10,1,10,10,10,1
leptonica,2019-02-10,11,1,11,11,11,3
leptonica,2019-02-14,12,1,12,12,12,1
leptonica,2019-02-15,13,1,13,13,13,1
leptonica,2019-02-16,14,1,14,14,14,2
leptonica,2019-02-19,15,1,15,15,15,1
leptonica,2019-02-22,16,1,16,16,16,2
leptonica,2019-02-26,17,1,17,17,17,1
leptonica,2019-02-28,18,1,18,18,18,1
leptonica,2019-03-01,19,1,19,19,19,1
leptonica,2019-03-02,20,1,20,20,20,7
leptonica,2019-03-07,21,1,21,21,21,1
leptonica,2019-03-08,22,1,22,22,22,1
leptonica,2019-03-13,23,1,23,23,23,1
leptonica,2019-03-21,24,1,24,24,24,1
leptonica,2019-03-22,25,1,25,25,25,1
leptonica,2019-03-23,26,1,26,26,26,1
leptonica,2019-03-26,27,1,27,27,27,1
leptonica,2019-04-03,28,1,28,28,28,1
leptonica,2019-04-04,29,1,29,29,29,3
leptonica,2019-04-05,30,1,30,30,30,4
leptonica,2019-04-06,31,1,31,31,31,3
leptonica,2019-04-07,32,1,32,32,32,3
leptonica,2019-04-08,33,1,33,33,33,5
leptonica,2019-04-09,34,1,34,34,34,1
leptonica,2019-04-10,35,1,35,35,35,2
leptonica,2019-04-12,36,1,36,36,36,1
leptonica,2019-04-15,37,1,37,37,37,1
leptonica,2019-04-16,38,1,38,38,38,5
leptonica,2019-04-19,39,1,39,39,39,2
leptonica,2019-04-21,40,1,40,40,40,4
leptonica,2019-04-22,41,1,41,41,41,1
leptonica,2019-04-27,42,1,42,42,42,1
leptonica,2019-04-28,43,1,43,43,43,2
leptonica,2019-04-29,44,1,44,44,44,2
leptonica,2019-04-30,45,1,45,45,45,1
leptonica,2019-05-01,46,1,46,46,46,1
leptonica,2019-05-02,47,1,47,47,47,2
leptonica,2019-05-03,48,1,48,48,48,1
leptonica,2019-05-04,49,1,49,49,49,3
leptonica,2019-05-05,50,1,50,50,50,2
leptonica,2019-05-09,51,1,51,51,51,7
leptonica,2019-05-10,52,1,52,52,52,1
leptonica,2019-05-12,53,1,53,53,53,4
leptonica,2019-05-19,54,1,54,54,54,2
leptonica,2019-05-23,55,1,55,55,55,1
leptonica,2019-05-24,56,1,56,56,56,1
leptonica,2019-05-25,57,1,57,57,57,1
leptonica,2019-05-28,58,1,58,58,58,1
leptonica,2019-05-30,59,1,59,59,59,3
leptonica,2019-06-06,60,1,60,60,60,2
leptonica,2019-06-07,61,1,61,61,61,1
leptonica,2019-06-08,62,1,62,62,62,2
leptonica,2019-06-09,63,1,63,63,63,3
leptonica,2019-06-14,64,1,64,64,64,1
leptonica,2019-06-21,65,1,65,65,65,1
leptonica,2019-06-22,66,1,66,66,66,1
leptonica,2019-06-27,67,1,67,67,67,1
leptonica,2019-07-14,68,1,68,68,68,3
leptonica,2019-07-15,69,1,69,69,69,4
leptonica,2019-07-16,70,1,70,70,70,3
leptonica,2019-07-18,71,1,71,71,71,3
leptonica,2019-07-19,72,1,72,72,72,1
leptonica,2019-07-21,73,1,73,73,73,1
leptonica,2019-08-10,74,1,74,74,74,1
leptonica,2019-09-09,75,1,75,75,75,1
leptonica,2019-09-10,76,1,76,76,76,4
leptonica,2019-09-14,77,1,77,77,77,1
leptonica,2019-09-25,78,1,78,78,78,3
leptonica,2019-09-30,79,1,79,79,79,1
leptonica,2019-10-05,80,1,80,80,80,1
leptonica,2019-10-07,81,1,81,81,81,1
leptonica,2019-10-09,82,1,82,82,82,1
leptonica,2019-10-10,83,1,83,83,83,1
leptonica,2019-10-29,84,1,84,84,84,2
leptonica,2019-11-01,85,1,85,85,85,2
leptonica,2019-11-04,86,1,86,86,86,1
leptonica,2019-11-05,87,1,87,87,87,1
leptonica,2019-11-06,88,1,88,88,88,3
leptonica,2019-11-07,89,1,89,89,89,3
leptonica,2019-11-09,90,1,90,90,90,13
leptonica,2019-11-10,91,1,91,91,91,2
leptonica,2019-11-11,92,1,92,92,92,2
