project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
libarchive,2018-10-12,1,1,1,1,1,1
libarchive,2018-10-18,2,1,2,2,2,1
libarchive,2018-10-23,3,1,3,3,3,2
libarchive,2018-10-25,4,1,4,4,4,1
libarchive,2018-10-26,5,1,5,5,5,1
libarchive,2018-10-27,6,1,6,6,6,1
libarchive,2018-10-29,7,1,7,7,7,1
libarchive,2018-11-02,8,1,8,8,8,2
libarchive,2018-11-09,9,1,9,9,9,1
libarchive,2018-11-11,10,1,10,10,10,1
libarchive,2018-11-12,11,1,11,11,11,1
libarchive,2018-11-18,12,1,12,12,12,1
libarchive,2018-11-21,13,1,13,13,13,2
libarchive,2018-11-23,14,1,14,14,14,2
libarchive,2018-11-24,15,1,15,15,15,3
libarchive,2018-11-25,16,1,16,16,16,5
libarchive,2018-11-26,17,1,17,17,17,1
libarchive,2018-11-28,18,1,18,18,18,1
libarchive,2018-12-06,19,1,19,19,19,1
libarchive,2018-12-07,20,1,20,20,20,1
libarchive,2018-12-09,21,1,21,21,21,1
libarchive,2018-12-11,22,1,22,22,22,4
libarchive,2018-12-13,23,1,23,23,23,3
libarchive,2018-12-15,24,1,24,24,24,4
libarchive,2018-12-18,25,1,25,25,25,2
libarchive,2018-12-21,26,1,26,26,26,1
libarchive,2018-12-26,27,1,27,27,27,1
libarchive,2019-01-07,28,1,28,28,28,2
libarchive,2019-01-09,29,1,29,29,29,1
libarchive,2019-01-11,30,1,30,30,30,1
libarchive,2019-01-13,31,1,31,31,31,2
libarchive,2019-01-14,32,1,32,32,32,2
libarchive,2019-01-15,33,1,33,33,33,1
libarchive,2019-01-18,34,1,34,34,34,2
libarchive,2019-01-20,35,1,35,35,35,5
libarchive,2019-01-22,36,1,36,36,36,4
libarchive,2019-01-30,37,1,37,37,37,4
libarchive,2019-02-03,38,1,38,38,38,1
libarchive,2019-02-04,39,1,39,39,39,2
libarchive,2019-02-05,40,1,40,40,40,1
libarchive,2019-02-10,41,1,41,41,41,3
libarchive,2019-02-12,42,1,42,42,42,1
libarchive,2019-02-13,43,1,43,43,43,1
