project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
libavc,2019-08-26,1,1,1,1,1,1
libavc,2019-08-28,2,1,2,2,2,1
libavc,2019-08-29,3,1,3,3,3,6
libavc,2019-08-30,4,1,4,4,4,7
libavc,2019-09-04,5,1,5,5,5,1
libavc,2019-09-05,6,1,6,6,6,4
libavc,2019-09-08,7,1,7,7,7,5
libavc,2019-09-09,8,1,8,8,8,4
libavc,2019-09-11,9,1,9,9,9,1
libavc,2019-09-12,10,1,10,10,10,3
libavc,2019-09-17,11,1,11,11,11,1
libavc,2019-09-18,12,1,12,12,12,3
libavc,2019-09-20,13,1,13,13,13,1
libavc,2019-09-21,14,1,14,14,14,4
libavc,2019-09-25,15,1,15,15,15,5
libavc,2019-09-26,16,1,16,16,16,1
libavc,2019-09-28,17,1,17,17,17,5
libavc,2019-09-30,18,1,18,18,18,5
libavc,2019-10-02,19,1,19,19,19,1
libavc,2019-10-03,20,1,20,20,20,5
libavc,2019-10-16,21,1,21,21,21,1
libavc,2019-10-17,22,1,22,22,22,3
libavc,2019-10-22,23,1,23,23,23,1
libavc,2019-10-24,24,1,24,24,24,2
libavc,2019-10-30,25,1,25,25,25,2
libavc,2019-10-31,26,1,26,26,26,2
libavc,2019-11-01,27,1,27,27,27,4
libavc,2019-11-06,28,1,28,28,28,8
libavc,2019-11-14,29,1,29,29,29,4
libavc,2019-12-03,30,1,30,30,30,2
libavc,2019-12-04,31,1,31,31,31,3
libavc,2019-12-06,32,1,32,32,32,1
libavc,2020-01-02,33,1,33,33,33,1
libavc,2020-01-09,34,1,34,34,34,8
libavc,2020-01-15,35,1,35,35,35,1
libavc,2020-01-16,36,1,36,36,36,2
libavc,2020-01-22,37,1,37,37,37,4
libavc,2020-02-12,38,1,38,38,38,2
libavc,2020-03-05,39,1,39,39,39,1
libavc,2020-03-06,40,1,40,40,40,6
libavc,2020-03-07,41,1,41,41,41,1
libavc,2020-03-10,42,1,42,42,42,6
libavc,2020-03-19,43,1,43,43,43,6
libavc,2020-03-20,44,1,44,44,44,29
libavc,2020-04-06,45,1,45,45,45,1
libavc,2020-04-07,46,1,46,46,46,12
libavc,2020-04-10,47,1,47,47,47,5
libavc,2020-04-24,48,1,48,48,48,7
libavc,2020-04-30,49,1,49,49,49,6
libavc,2020-05-01,50,1,50,50,50,18
libavc,2020-05-26,51,1,51,51,51,1
libavc,2020-05-28,52,1,52,52,52,1
libavc,2020-05-29,53,1,53,53,53,8
libavc,2020-05-30,54,1,54,54,54,11
libavc,2020-06-03,55,1,55,55,55,1
libavc,2020-06-08,56,1,56,56,56,5
libavc,2020-06-12,57,1,57,57,57,1
libavc,2020-07-01,58,1,58,58,58,6
libavc,2020-07-09,59,1,59,59,59,5
libavc,2020-07-10,60,1,60,60,60,1
libavc,2020-07-28,61,1,61,61,61,1
libavc,2020-07-30,62,1,62,62,62,5
libavc,2020-07-31,63,1,63,63,63,1
libavc,2020-08-04,64,1,64,64,64,7
libavc,2020-08-07,65,1,65,65,65,1
libavc,2020-08-14,66,1,66,66,66,1
libavc,2020-08-17,67,1,67,67,67,6
libavc,2020-08-18,68,1,68,68,68,1
libavc,2020-08-20,69,1,69,69,69,6
libavc,2020-08-27,70,1,70,70,70,2
libavc,2020-08-28,71,1,71,71,71,1
libavc,2020-09-01,72,1,72,72,72,3
libavc,2020-09-02,73,1,73,73,73,1
libavc,2020-09-08,74,1,74,74,74,1
libavc,2020-09-11,75,1,75,75,75,5
libavc,2020-09-16,76,1,76,76,76,9
libavc,2020-09-18,77,1,77,77,77,3
libavc,2020-09-20,78,1,78,78,78,6
libavc,2020-09-25,79,1,79,79,79,8
libavc,2020-09-27,80,1,80,80,80,3
libavc,2020-10-09,81,1,81,81,81,9
libavc,2020-10-11,82,1,82,82,82,5
libavc,2020-10-30,83,1,83,83,83,1
libavc,2020-10-31,84,1,84,84,84,1
libavc,2020-11-10,85,1,85,85,85,4
libavc,2020-11-12,86,1,86,86,86,1
libavc,2020-11-13,87,1,87,87,87,1
libavc,2020-11-14,88,1,88,88,88,4
libavc,2020-11-15,89,1,89,89,89,5
libavc,2020-11-17,90,1,90,90,90,1
libavc,2020-11-22,91,1,91,91,91,3
libavc,2020-11-23,92,1,92,92,92,1
libavc,2020-12-03,93,1,93,93,93,2
libavc,2020-12-05,94,1,94,94,94,1
libavc,2020-12-09,95,1,95,95,95,11
libavc,2020-12-10,96,1,96,96,96,3
libavc,2020-12-15,97,1,97,97,97,3
libavc,2020-12-17,98,1,98,98,98,1
libavc,2020-12-21,99,1,99,99,99,1
libavc,2021-01-08,100,1,100,100,100,3
libavc,2021-01-12,101,1,101,101,101,1
libavc,2021-01-13,102,1,102,102,102,1
libavc,2021-01-17,103,1,103,103,103,1
libavc,2021-01-20,104,1,104,104,104,2
libavc,2021-01-21,105,1,105,105,105,1
libavc,2021-02-02,106,1,106,106,106,1
libavc,2021-02-03,107,1,107,107,107,4
libavc,2021-02-14,108,1,108,108,108,7
libavc,2021-02-16,109,1,109,109,109,5
libavc,2021-02-20,110,1,110,110,110,5
libavc,2021-02-25,111,1,111,111,111,1
libavc,2021-02-26,112,1,112,112,112,5
libavc,2021-03-05,113,1,113,113,113,7
libavc,2021-03-12,114,1,114,114,114,1
libavc,2021-03-20,115,1,115,115,115,1
libavc,2021-03-25,116,1,116,116,116,6
libavc,2021-03-31,117,1,117,117,117,22
libavc,2021-04-15,118,1,118,118,118,1
libavc,2021-04-16,119,1,119,119,119,6
libavc,2021-04-17,120,1,120,120,120,1
libavc,2021-04-22,121,1,121,121,121,4
libavc,2021-04-30,122,1,122,122,122,7
libavc,2021-05-01,123,1,123,123,123,8
libavc,2021-05-04,124,1,124,124,124,6
libavc,2021-05-06,125,1,125,125,125,1
libavc,2021-05-07,126,1,126,126,126,20
libavc,2021-05-12,127,1,127,127,127,6
libavc,2021-05-15,128,1,128,128,128,1
libavc,2021-05-16,129,1,129,129,129,5
libavc,2021-05-17,130,1,130,130,130,14
libavc,2021-05-20,131,1,131,131,131,2
libavc,2021-06-02,132,1,132,132,132,1
libavc,2021-06-08,133,1,133,133,133,25
libavc,2021-06-17,134,1,134,134,134,1
libavc,2021-06-18,135,1,135,135,135,8
libavc,2021-06-21,136,1,136,136,136,4
libavc,2021-06-30,137,1,137,137,137,1
libavc,2021-07-01,138,1,138,138,138,1
libavc,2021-07-12,139,1,139,139,139,5
libavc,2021-07-13,140,1,140,140,140,4
libavc,2021-08-14,141,1,141,141,141,1
libavc,2021-08-17,142,1,142,142,142,3
libavc,2021-08-18,143,1,143,143,143,1
libavc,2021-09-09,144,1,144,144,144,6
libavc,2021-09-11,145,1,145,145,145,1
libavc,2021-09-20,146,1,146,146,146,2
libavc,2021-10-05,147,1,147,147,147,6
libavc,2021-10-08,148,1,148,148,148,5
libavc,2021-11-10,149,1,149,149,149,1
libavc,2021-11-17,150,1,150,150,150,1
libavc,2021-11-18,151,1,151,151,151,3
libavc,2021-11-22,152,1,152,152,152,1
libavc,2021-12-06,153,1,153,153,153,1
libavc,2021-12-08,154,1,154,154,154,5
libavc,2021-12-09,155,1,155,155,155,20
libavc,2021-12-14,156,1,156,156,156,5
libavc,2021-12-15,157,1,157,157,157,2
libavc,2022-01-12,158,1,158,158,158,5
libavc,2022-01-26,159,1,159,159,159,1
libavc,2022-02-02,160,1,160,160,160,1
libavc,2022-02-08,161,1,161,161,161,5
libavc,2022-02-09,162,1,162,162,162,7
libavc,2022-02-10,163,1,163,163,163,4
libavc,2022-02-11,164,1,164,164,164,3
libavc,2022-02-15,165,1,165,165,165,1
