project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
libjxl,2021-06-08,1,1,1,1,1,11
libjxl,2021-06-09,2,1,2,2,2,11
libjxl,2021-06-10,3,1,3,3,3,11
libjxl,2021-06-11,4,1,4,4,4,10
libjxl,2021-06-14,5,1,5,5,5,5
libjxl,2021-06-15,6,1,6,6,6,6
libjxl,2021-06-16,7,1,7,7,7,9
libjxl,2021-06-17,8,1,8,8,8,7
libjxl,2021-06-18,9,1,9,9,9,4
libjxl,2021-06-19,10,1,10,10,10,1
libjxl,2021-06-21,11,1,11,11,11,1
libjxl,2021-06-23,12,1,12,12,12,2
libjxl,2021-06-24,13,1,13,13,13,4
libjxl,2021-06-25,14,1,14,14,14,5
libjxl,2021-06-26,15,1,15,15,15,1
libjxl,2021-06-27,16,1,16,16,16,1
libjxl,2021-06-28,17,1,17,17,17,5
libjxl,2021-06-29,18,1,18,18,18,8
libjxl,2021-06-30,19,1,19,19,19,2
libjxl,2021-07-01,20,1,20,20,20,6
libjxl,2021-07-02,21,1,21,21,21,10
libjxl,2021-07-03,22,1,22,22,22,2
libjxl,2021-07-05,23,1,23,23,23,6
libjxl,2021-07-06,24,1,24,24,24,4
libjxl,2021-07-07,25,1,25,25,25,11
libjxl,2021-07-08,26,1,26,26,26,4
libjxl,2021-07-09,27,1,27,27,27,10
libjxl,2021-07-12,28,1,28,28,28,2
libjxl,2021-07-14,29,1,29,29,29,1
libjxl,2021-07-15,30,1,30,30,30,6
libjxl,2021-07-18,31,1,31,31,31,1
libjxl,2021-07-19,32,1,32,32,32,4
libjxl,2021-07-21,33,1,33,33,33,3
libjxl,2021-07-22,34,1,34,34,34,4
libjxl,2021-07-23,35,1,35,35,35,6
libjxl,2021-07-26,36,1,36,36,36,7
libjxl,2021-07-27,37,1,37,37,37,8
libjxl,2021-07-28,38,1,38,38,38,6
libjxl,2021-07-29,39,1,39,39,39,2
libjxl,2021-07-30,40,1,40,40,40,2
libjxl,2021-08-02,41,1,41,41,41,6
libjxl,2021-08-03,42,1,42,42,42,6
libjxl,2021-08-04,43,1,43,43,43,1
libjxl,2021-08-05,44,1,44,44,44,2
libjxl,2021-08-06,45,1,45,45,45,4
libjxl,2021-08-09,46,1,46,46,46,1
libjxl,2021-08-10,47,1,47,47,47,2
libjxl,2021-08-11,48,1,48,48,48,2
libjxl,2021-08-13,49,1,49,49,49,6
libjxl,2021-08-16,50,1,50,50,50,6
libjxl,2021-08-17,51,1,51,51,51,2
libjxl,2021-08-18,52,1,52,52,52,4
libjxl,2021-08-19,53,1,53,53,53,3
libjxl,2021-08-23,54,1,54,54,54,7
libjxl,2021-08-25,55,1,55,55,55,5
libjxl,2021-08-27,56,1,56,56,56,3
libjxl,2021-08-31,57,1,57,57,57,6
libjxl,2021-09-01,58,1,58,58,58,5
libjxl,2021-09-03,59,1,59,59,59,3
libjxl,2021-09-06,60,1,60,60,60,2
libjxl,2021-09-07,61,1,61,61,61,8
libjxl,2021-09-08,62,1,62,62,62,8
libjxl,2021-09-09,63,1,63,63,63,5
libjxl,2021-09-10,64,1,64,64,64,9
libjxl,2021-09-13,65,1,65,65,65,1
libjxl,2021-09-15,66,1,66,66,66,3
libjxl,2021-09-16,67,1,67,67,67,6
libjxl,2021-09-17,68,1,68,68,68,8
libjxl,2021-09-20,69,1,69,69,69,2
libjxl,2021-09-21,70,1,70,70,70,2
libjxl,2021-09-22,71,1,71,71,71,5
libjxl,2021-09-23,72,1,72,72,72,4
libjxl,2021-09-24,73,1,73,73,73,12
libjxl,2021-09-26,74,1,74,74,74,2
libjxl,2021-09-27,75,1,75,75,75,2
libjxl,2021-09-28,76,1,76,76,76,11
libjxl,2021-09-29,77,1,77,77,77,2
libjxl,2021-09-30,78,1,78,78,78,3
libjxl,2021-10-01,79,1,79,79,79,4
libjxl,2021-10-03,80,1,80,80,80,2
libjxl,2021-10-04,81,1,81,81,81,2
libjxl,2021-10-05,82,1,82,82,82,2
libjxl,2021-10-06,83,1,83,83,83,2
libjxl,2021-10-08,84,1,84,84,84,5
libjxl,2021-10-10,85,1,85,85,85,1
libjxl,2021-10-13,86,1,86,86,86,2
libjxl,2021-10-15,87,1,87,87,87,4
libjxl,2021-10-18,88,1,88,88,88,6
libjxl,2021-10-19,89,1,89,89,89,3
libjxl,2021-10-20,90,1,90,90,90,6
libjxl,2021-10-21,91,1,91,91,91,1
libjxl,2021-10-22,92,1,92,92,92,3
libjxl,2021-10-26,93,1,93,93,93,5
libjxl,2021-10-27,94,1,94,94,94,5
libjxl,2021-10-28,95,1,95,95,95,6
libjxl,2021-10-29,96,1,96,96,96,2
libjxl,2021-11-01,97,1,97,97,97,4
libjxl,2021-11-02,98,1,98,98,98,3
libjxl,2021-11-03,99,1,99,99,99,5
libjxl,2021-11-05,100,1,100,100,100,1
libjxl,2021-11-09,101,1,101,101,101,7
libjxl,2021-11-10,102,1,102,102,102,3
libjxl,2021-11-11,103,1,103,103,103,3
libjxl,2021-11-19,104,1,104,104,104,9
libjxl,2021-11-22,105,1,105,105,105,10
libjxl,2021-11-23,106,1,106,106,106,4
libjxl,2021-11-24,107,1,107,107,107,1
libjxl,2021-11-25,108,1,108,108,108,1
libjxl,2021-11-26,109,1,109,109,109,3
libjxl,2021-11-29,110,1,110,110,110,5
libjxl,2021-11-30,111,1,111,111,111,3
libjxl,2021-12-01,112,1,112,112,112,7
libjxl,2021-12-02,113,1,113,113,113,5
libjxl,2021-12-03,114,1,114,114,114,6
libjxl,2021-12-06,115,1,115,115,115,2
