project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
mruby,2019-05-17,1,1,1,1,1,29
mruby,2019-05-18,2,1,2,2,2,10
mruby,2019-05-19,3,1,3,3,3,8
mruby,2019-05-20,4,1,4,4,4,5
mruby,2019-05-21,5,1,5,5,5,12
mruby,2019-05-23,6,1,6,6,6,2
mruby,2019-05-24,7,1,7,7,7,2
mruby,2019-05-25,8,1,8,8,8,4
mruby,2019-05-26,9,1,9,9,9,6
mruby,2019-05-27,10,1,10,10,10,5
mruby,2019-05-28,11,1,11,11,11,2
mruby,2019-05-29,12,1,12,12,12,6
mruby,2019-05-30,13,1,13,13,13,3
mruby,2019-05-31,14,1,14,14,14,1
mruby,2019-06-01,15,1,15,15,15,1
mruby,2019-06-02,16,1,16,16,16,2
mruby,2019-06-04,17,1,17,17,17,4
mruby,2019-06-05,18,1,18,18,18,6
mruby,2019-06-06,19,1,19,19,19,1
mruby,2019-06-07,20,1,20,20,20,2
mruby,2019-06-08,21,1,21,21,21,2
mruby,2019-06-09,22,1,22,22,22,1
mruby,2019-06-10,23,1,23,23,23,4
mruby,2019-06-11,24,1,24,24,24,3
mruby,2019-06-12,25,1,25,25,25,2
mruby,2019-06-13,26,1,26,26,26,4
mruby,2019-06-14,27,1,27,27,27,2
mruby,2019-06-15,28,1,28,28,28,1
mruby,2019-06-16,29,1,29,29,29,1
mruby,2019-06-17,30,1,30,30,30,9
mruby,2019-06-18,31,1,31,31,31,4
mruby,2019-06-19,32,1,32,32,32,1
mruby,2019-06-20,33,1,33,33,33,1
mruby,2019-06-21,34,1,34,34,34,1
mruby,2019-06-22,35,1,35,35,35,13
mruby,2019-06-23,36,1,36,36,36,6
mruby,2019-06-24,37,1,37,37,37,2
mruby,2019-06-25,38,1,38,38,38,11
mruby,2019-06-26,39,1,39,39,39,4
mruby,2019-06-27,40,1,40,40,40,5
mruby,2019-06-29,41,1,41,41,41,8
mruby,2019-06-30,42,1,42,42,42,2
mruby,2019-07-01,43,1,43,43,43,2
mruby,2019-07-02,44,1,44,44,44,2
mruby,2019-07-03,45,1,45,45,45,2
mruby,2019-07-04,46,1,46,46,46,4
mruby,2019-07-05,47,1,47,47,47,2
mruby,2019-07-06,48,1,48,48,48,2
mruby,2019-07-07,49,1,49,49,49,1
mruby,2019-07-08,50,1,50,50,50,2
mruby,2019-07-09,51,1,51,51,51,14
mruby,2019-07-10,52,1,52,52,52,2
mruby,2019-07-11,53,1,53,53,53,3
mruby,2019-07-12,54,1,54,54,54,6
mruby,2019-07-13,55,1,55,55,55,8
mruby,2019-07-14,56,1,56,56,56,7
mruby,2019-07-15,57,1,57,57,57,4
mruby,2019-07-16,58,1,58,58,58,3
mruby,2019-07-17,59,1,59,59,59,16
mruby,2019-07-18,60,1,60,60,60,3
mruby,2019-07-19,61,1,61,61,61,2
mruby,2019-07-20,62,1,62,62,62,1
mruby,2019-07-21,63,1,63,63,63,1
mruby,2019-07-22,64,1,64,64,64,10
mruby,2019-07-23,65,1,65,65,65,2
mruby,2019-07-24,66,1,66,66,66,4
mruby,2019-07-25,67,1,67,67,67,2
mruby,2019-07-26,68,1,68,68,68,1
mruby,2019-07-27,69,1,69,69,69,8
mruby,2019-07-28,70,1,70,70,70,10
mruby,2019-07-29,71,1,71,71,71,4
mruby,2019-07-30,72,1,72,72,72,7
mruby,2019-07-31,73,1,73,73,73,2
mruby,2019-08-01,74,1,74,74,74,2
mruby,2019-08-02,75,1,75,75,75,2
mruby,2019-08-03,76,1,76,76,76,5
mruby,2019-08-04,77,1,77,77,77,4
mruby,2019-08-05,78,1,78,78,78,3
mruby,2019-08-06,79,1,79,79,79,5
mruby,2019-08-07,80,1,80,80,80,6
mruby,2019-08-08,81,1,81,81,81,1
mruby,2019-08-09,82,1,82,82,82,3
mruby,2019-08-10,83,1,83,83,83,3
mruby,2019-08-11,84,1,84,84,84,4
mruby,2019-08-12,85,1,85,85,85,5
mruby,2019-08-13,86,1,86,86,86,2
mruby,2019-08-14,87,1,87,87,87,6
mruby,2019-08-15,88,1,88,88,88,2
mruby,2019-08-16,89,1,89,89,89,7
mruby,2019-08-17,90,1,90,90,90,12
mruby,2019-08-18,91,1,91,91,91,16
mruby,2019-08-19,92,1,92,92,92,4
mruby,2019-08-20,93,1,93,93,93,12
mruby,2019-08-21,94,1,94,94,94,8
mruby,2019-08-22,95,1,95,95,95,4
mruby,2019-08-23,96,1,96,96,96,2
mruby,2019-08-24,97,1,97,97,97,8
mruby,2019-08-25,98,1,98,98,98,5
mruby,2019-08-26,99,1,99,99,99,5
mruby,2019-08-27,100,1,100,100,100,2
mruby,2019-08-29,101,1,101,101,101,2
mruby,2019-08-30,102,1,102,102,102,2
mruby,2019-08-31,103,1,103,103,103,5
mruby,2019-09-01,104,1,104,104,104,5
mruby,2019-09-02,105,1,105,105,105,1
mruby,2019-09-03,106,1,106,106,106,2
mruby,2019-09-04,107,1,107,107,107,1
mruby,2019-09-05,108,1,108,108,108,5
mruby,2019-09-07,109,1,109,109,109,3
mruby,2019-09-08,110,1,110,110,110,4
mruby,2019-09-09,111,1,111,111,111,6
mruby,2019-09-10,112,1,112,112,112,3
mruby,2019-09-11,113,1,113,113,113,7
mruby,2019-09-12,114,1,114,114,114,9
mruby,2019-09-13,115,1,115,115,115,4
mruby,2019-09-14,116,1,116,116,116,13
mruby,2019-09-15,117,1,117,117,117,9
mruby,2019-09-16,118,1,118,118,118,18
mruby,2019-09-17,119,1,119,119,119,2
mruby,2019-09-18,120,1,120,120,120,5
mruby,2019-09-19,121,1,121,121,121,2
mruby,2019-09-20,122,1,122,122,122,4
mruby,2019-09-21,123,1,123,123,123,2
mruby,2019-09-22,124,1,124,124,124,4
mruby,2019-09-23,125,1,125,125,125,2
mruby,2019-09-24,126,1,126,126,126,2
mruby,2019-09-25,127,1,127,127,127,11
mruby,2019-09-26,128,1,128,128,128,4
mruby,2019-09-27,129,1,129,129,129,3
mruby,2019-09-28,130,1,130,130,130,1
mruby,2019-09-29,131,1,131,131,131,16
mruby,2019-09-30,132,1,132,132,132,2
mruby,2019-10-01,133,1,133,133,133,6
mruby,2019-10-02,134,1,134,134,134,4
mruby,2019-10-03,135,1,135,135,135,8
mruby,2019-10-04,136,1,136,136,136,5
mruby,2019-10-05,137,1,137,137,137,2
mruby,2019-10-06,138,1,138,138,138,7
mruby,2019-10-08,139,1,139,139,139,6
mruby,2019-10-09,140,1,140,140,140,3
mruby,2019-10-10,141,1,141,141,141,4
mruby,2019-10-11,142,1,142,142,142,3
mruby,2019-10-12,143,1,143,143,143,4
mruby,2019-10-13,144,1,144,144,144,2
mruby,2019-10-14,145,1,145,145,145,5
mruby,2019-10-15,146,1,146,146,146,2
mruby,2019-10-16,147,1,147,147,147,2
mruby,2019-10-17,148,1,148,148,148,4
mruby,2019-10-18,149,1,149,149,149,5
mruby,2019-10-19,150,1,150,150,150,3
mruby,2019-10-20,151,1,151,151,151,2
mruby,2019-10-21,152,1,152,152,152,2
mruby,2019-10-22,153,1,153,153,153,1
mruby,2019-10-23,154,1,154,154,154,7
mruby,2019-10-24,155,1,155,155,155,2
mruby,2019-10-25,156,1,156,156,156,2
mruby,2019-10-26,157,1,157,157,157,2
mruby,2019-10-27,158,1,158,158,158,2
mruby,2019-10-28,159,1,159,159,159,2
mruby,2019-10-29,160,1,160,160,160,4
mruby,2019-10-30,161,1,161,161,161,3
mruby,2019-10-31,162,1,162,162,162,2
mruby,2019-11-01,163,1,163,163,163,2
mruby,2019-11-02,164,1,164,164,164,2
mruby,2019-11-03,165,1,165,165,165,2
mruby,2019-11-04,166,1,166,166,166,1
mruby,2019-11-05,167,1,167,167,167,3
mruby,2019-11-06,168,1,168,168,168,2
mruby,2019-11-07,169,1,169,169,169,2
mruby,2019-11-08,170,1,170,170,170,6
