project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
open62541,2018-10-15,1,1,1,1,1,6
open62541,2018-10-20,2,1,2,2,2,2
open62541,2018-10-22,3,1,3,3,3,2
open62541,2018-10-23,4,1,4,4,4,1
open62541,2018-10-27,5,1,5,5,5,1
open62541,2018-10-30,6,1,6,6,6,4
open62541,2018-10-31,7,1,7,7,7,4
open62541,2018-11-02,8,1,8,8,8,3
open62541,2018-11-03,9,1,9,9,9,2
open62541,2018-11-04,10,1,10,10,10,3
open62541,2018-11-05,11,1,11,11,11,7
open62541,2018-11-06,12,1,12,12,12,6
open62541,2018-11-08,13,1,13,13,13,2
open62541,2018-11-09,14,1,14,14,14,2
open62541,2018-11-13,15,1,15,15,15,2
open62541,2018-11-15,16,1,16,16,16,5
open62541,2018-11-16,17,1,17,17,17,6
open62541,2018-11-20,18,1,18,18,18,3
open62541,2018-11-22,19,1,19,19,19,1
open62541,2018-11-26,20,1,20,20,20,2
open62541,2018-11-27,21,1,21,21,21,2
open62541,2018-11-28,22,1,22,22,22,3
open62541,2018-11-29,23,1,23,23,23,2
open62541,2018-11-30,24,1,24,24,24,5
open62541,2018-12-02,25,1,25,25,25,1
open62541,2018-12-04,26,1,26,26,26,10
open62541,2018-12-05,27,1,27,27,27,1
open62541,2018-12-06,28,1,28,28,28,11
open62541,2018-12-07,29,1,29,29,29,3
open62541,2018-12-09,30,1,30,30,30,4
open62541,2018-12-11,31,1,31,31,31,2
open62541,2018-12-12,32,1,32,32,32,1
open62541,2018-12-13,33,1,33,33,33,2
open62541,2018-12-14,34,1,34,34,34,1
open62541,2018-12-17,35,1,35,35,35,9
open62541,2018-12-19,36,1,36,36,36,11
open62541,2018-12-20,37,1,37,37,37,2
open62541,2018-12-21,38,1,38,38,38,3
open62541,2018-12-23,39,1,39,39,39,2
open62541,2018-12-27,40,1,40,40,40,4
open62541,2018-12-28,41,1,41,41,41,1
open62541,2019-01-02,42,1,42,42,42,14
open62541,2019-01-03,43,1,43,43,43,7
open62541,2019-01-04,44,1,44,44,44,2
open62541,2019-01-05,45,1,45,45,45,1
open62541,2019-01-06,46,1,46,46,46,2
open62541,2019-01-07,47,1,47,47,47,9
open62541,2019-01-08,48,1,48,48,48,4
open62541,2019-01-09,49,1,49,49,49,5
open62541,2019-01-10,50,1,50,50,50,2
open62541,2019-01-11,51,1,51,51,51,2
open62541,2019-01-13,52,1,52,52,52,13
open62541,2019-01-16,53,1,53,53,53,1
open62541,2019-01-18,54,1,54,54,54,1
open62541,2019-01-21,55,1,55,55,55,1
open62541,2019-01-22,56,1,56,56,56,2
open62541,2019-01-25,57,1,57,57,57,1
open62541,2019-01-26,58,1,58,58,58,1
open62541,2019-01-28,59,1,59,59,59,5
open62541,2019-01-30,60,1,60,60,60,15
open62541,2019-01-31,61,1,61,61,61,4
open62541,2019-02-05,62,1,62,62,62,9
open62541,2019-02-06,63,1,63,63,63,2
open62541,2019-02-07,64,1,64,64,64,16
open62541,2019-02-09,65,1,65,65,65,2
open62541,2019-02-10,66,1,66,66,66,2
open62541,2019-02-11,67,1,67,67,67,2
open62541,2019-02-12,68,1,68,68,68,1
open62541,2019-02-13,69,1,69,69,69,1
open62541,2019-02-14,70,1,70,70,70,4
open62541,2019-02-15,71,1,71,71,71,2
open62541,2019-02-17,72,1,72,72,72,1
open62541,2019-02-18,73,1,73,73,73,1
open62541,2019-02-19,74,1,74,74,74,9
open62541,2019-02-20,75,1,75,75,75,4
open62541,2019-02-21,76,1,76,76,76,6
open62541,2019-02-22,77,1,77,77,77,1
open62541,2019-02-23,78,1,78,78,78,1
open62541,2019-02-24,79,1,79,79,79,2
open62541,2019-02-25,80,1,80,80,80,2
open62541,2019-02-26,81,1,81,81,81,2
open62541,2019-02-27,82,1,82,82,82,6
open62541,2019-02-28,83,1,83,83,83,4
open62541,2019-03-01,84,1,84,84,84,4
open62541,2019-03-02,85,1,85,85,85,4
open62541,2019-03-03,86,1,86,86,86,6
open62541,2019-03-04,87,1,87,87,87,3
open62541,2019-03-05,88,1,88,88,88,3
open62541,2019-03-06,89,1,89,89,89,4
open62541,2019-03-07,90,1,90,90,90,2
open62541,2019-03-10,91,1,91,91,91,1
open62541,2019-03-11,92,1,92,92,92,2
open62541,2019-03-12,93,1,93,93,93,2
open62541,2019-03-13,94,1,94,94,94,6
open62541,2019-03-14,95,1,95,95,95,4
open62541,2019-03-15,96,1,96,96,96,2
open62541,2019-03-16,97,1,97,97,97,1
open62541,2019-03-18,98,1,98,98,98,9
open62541,2019-03-19,99,1,99,99,99,1
open62541,2019-03-20,100,1,100,100,100,4
open62541,2019-03-21,101,1,101,101,101,6
open62541,2019-03-22,102,1,102,102,102,1
open62541,2019-03-26,103,1,103,103,103,2
open62541,2019-04-03,104,1,104,104,104,6
open62541,2019-04-04,105,1,105,105,105,7
open62541,2019-04-05,106,1,106,106,106,5
open62541,2019-04-07,107,1,107,107,107,1
open62541,2019-04-08,108,1,108,108,108,2
open62541,2019-04-09,109,1,109,109,109,7
open62541,2019-04-10,110,1,110,110,110,1
open62541,2019-04-13,111,1,111,111,111,6
open62541,2019-04-15,112,1,112,112,112,2
open62541,2019-04-17,113,1,113,113,113,5
open62541,2019-04-18,114,1,114,114,114,1
open62541,2019-04-22,115,1,115,115,115,8
open62541,2019-04-23,116,1,116,116,116,3
open62541,2019-04-24,117,1,117,117,117,1
open62541,2019-04-25,118,1,118,118,118,1
open62541,2019-04-27,119,1,119,119,119,4
open62541,2019-04-28,120,1,120,120,120,4
open62541,2019-04-29,121,1,121,121,121,3
open62541,2019-04-30,122,1,122,122,122,4
open62541,2019-05-01,123,1,123,123,123,1
open62541,2019-05-02,124,1,124,124,124,6
open62541,2019-05-07,125,1,125,125,125,2
open62541,2019-05-08,126,1,126,126,126,14
open62541,2019-05-10,127,1,127,127,127,5
open62541,2019-05-14,128,1,128,128,128,2
open62541,2019-05-15,129,1,129,129,129,7
open62541,2019-05-16,130,1,130,130,130,3
open62541,2019-05-17,131,1,131,131,131,1
open62541,2019-05-19,132,1,132,132,132,3
open62541,2019-05-23,133,1,133,133,133,4
open62541,2019-05-25,134,1,134,134,134,1
open62541,2019-05-26,135,1,135,135,135,1
open62541,2019-05-27,136,1,136,136,136,1
open62541,2019-05-28,137,1,137,137,137,12
open62541,2019-05-31,138,1,138,138,138,1
open62541,2019-06-03,139,1,139,139,139,5
open62541,2019-06-06,140,1,140,140,140,22
open62541,2019-06-07,141,1,141,141,141,2
open62541,2019-06-11,142,1,142,142,142,1
open62541,2019-06-12,143,1,143,143,143,2
open62541,2019-06-15,144,1,144,144,144,2
open62541,2019-06-16,145,1,145,145,145,1
open62541,2019-06-23,146,1,146,146,146,4
open62541,2019-06-24,147,1,147,147,147,13
open62541,2019-07-01,148,1,148,148,148,1
open62541,2019-07-02,149,1,149,149,149,1
open62541,2019-07-03,150,1,150,150,150,8
open62541,2019-07-04,151,1,151,151,151,2
open62541,2019-07-05,152,1,152,152,152,4
open62541,2019-07-12,153,1,153,153,153,3
open62541,2019-07-13,154,1,154,154,154,1
open62541,2019-07-16,155,1,155,155,155,2
open62541,2019-07-18,156,1,156,156,156,1
open62541,2019-07-19,157,1,157,157,157,3
open62541,2019-07-22,158,1,158,158,158,3
open62541,2019-07-23,159,1,159,159,159,10
open62541,2019-07-24,160,1,160,160,160,11
open62541,2019-07-25,161,1,161,161,161,21
open62541,2019-07-26,162,1,162,162,162,1
open62541,2019-07-27,163,1,163,163,163,3
open62541,2019-07-28,164,1,164,164,164,1
open62541,2019-07-29,165,1,165,165,165,1
open62541,2019-07-31,166,1,166,166,166,15
open62541,2019-08-01,167,1,167,167,167,25
open62541,2019-08-02,168,1,168,168,168,7
open62541,2019-08-04,169,1,169,169,169,1
open62541,2019-08-05,170,1,170,170,170,3
open62541,2019-08-07,171,1,171,171,171,3
open62541,2019-08-08,172,1,172,172,172,9
open62541,2019-08-09,173,1,173,173,173,6
open62541,2019-08-13,174,1,174,174,174,10
open62541,2019-08-14,175,1,175,175,175,5
open62541,2019-08-15,176,1,176,176,176,4
open62541,2019-08-16,177,1,177,177,177,7
open62541,2019-08-17,178,1,178,178,178,2
open62541,2019-08-19,179,1,179,179,179,5
open62541,2019-08-20,180,1,180,180,180,6
open62541,2019-08-22,181,1,181,181,181,10
open62541,2019-08-23,182,1,182,182,182,8
open62541,2019-08-24,183,1,183,183,183,1
open62541,2019-08-25,184,1,184,184,184,1
open62541,2019-08-26,185,1,185,185,185,1
open62541,2019-08-27,186,1,186,186,186,7
open62541,2019-08-28,187,1,187,187,187,2
open62541,2019-08-29,188,1,188,188,188,3
open62541,2019-08-30,189,1,189,189,189,13
open62541,2019-08-31,190,1,190,190,190,5
open62541,2019-09-02,191,1,191,191,191,5
open62541,2019-09-03,192,1,192,192,192,4
open62541,2019-09-04,193,1,193,193,193,11
open62541,2019-09-06,194,1,194,194,194,4
open62541,2019-09-07,195,1,195,195,195,3
open62541,2019-09-10,196,1,196,196,196,8
open62541,2019-09-11,197,1,197,197,197,2
open62541,2019-09-14,198,1,198,198,198,5
open62541,2019-09-15,199,1,199,199,199,5
open62541,2019-09-16,200,1,200,200,200,1
open62541,2019-09-17,201,1,201,201,201,2
