project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
openthread,2018-10-12,1,1,1,1,1,7
openthread,2018-10-13,2,1,2,2,2,5
openthread,2018-10-14,3,1,3,3,3,4
openthread,2018-10-15,4,1,4,4,4,4
openthread,2018-10-16,5,1,5,5,5,2
openthread,2018-10-17,6,1,6,6,6,13
openthread,2018-10-18,7,1,7,7,7,2
openthread,2018-10-23,8,1,8,8,8,7
openthread,2018-10-24,9,1,9,9,9,1
openthread,2018-10-25,10,1,10,10,10,12
openthread,2018-10-26,11,1,11,11,11,4
openthread,2018-10-29,12,1,12,12,12,6
openthread,2018-10-30,13,1,13,13,13,7
openthread,2018-10-31,14,1,14,14,14,4
openthread,2018-11-01,15,1,15,15,15,6
openthread,2018-11-02,16,1,16,16,16,8
openthread,2018-11-03,17,1,17,17,17,9
openthread,2018-11-04,18,1,18,18,18,1
openthread,2018-11-05,19,1,19,19,19,2
openthread,2018-11-06,20,1,20,20,20,5
openthread,2018-11-07,21,1,21,21,21,1
openthread,2018-11-08,22,1,22,22,22,5
openthread,2018-11-09,23,1,23,23,23,4
openthread,2018-11-15,24,1,24,24,24,7
openthread,2018-11-17,25,1,25,25,25,5
openthread,2018-11-19,26,1,26,26,26,3
openthread,2018-11-26,27,1,27,27,27,4
openthread,2018-11-27,28,1,28,28,28,2
openthread,2018-11-28,29,1,29,29,29,8
openthread,2018-11-29,30,1,30,30,30,1
openthread,2018-11-30,31,1,31,31,31,3
openthread,2018-12-01,32,1,32,32,32,2
openthread,2018-12-03,33,1,33,33,33,3
openthread,2018-12-04,34,1,34,34,34,7
openthread,2018-12-05,35,1,35,35,35,1
openthread,2018-12-06,36,1,36,36,36,5
openthread,2018-12-07,37,1,37,37,37,2
openthread,2018-12-10,38,1,38,38,38,2
openthread,2018-12-12,39,1,39,39,39,3
openthread,2018-12-13,40,1,40,40,40,7
openthread,2018-12-22,41,1,41,41,41,1
openthread,2018-12-24,42,1,42,42,42,3
openthread,2018-12-27,43,1,43,43,43,5
openthread,2018-12-28,44,1,44,44,44,2
openthread,2018-12-29,45,1,45,45,45,8
openthread,2019-01-02,46,1,46,46,46,7
openthread,2019-01-03,47,1,47,47,47,8
openthread,2019-01-04,48,1,48,48,48,4
openthread,2019-01-07,49,1,49,49,49,3
openthread,2019-01-09,50,1,50,50,50,7
openthread,2019-01-10,51,1,51,51,51,2
openthread,2019-01-11,52,1,52,52,52,3
openthread,2019-01-14,53,1,53,53,53,3
openthread,2019-01-15,54,1,54,54,54,2
openthread,2019-01-16,55,1,55,55,55,6
openthread,2019-01-17,56,1,56,56,56,6
openthread,2019-01-18,57,1,57,57,57,7
openthread,2019-01-22,58,1,58,58,58,5
