project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
arrow,2025-05-31,1678,1,1,1678,1678,
c-blosc2,2025-05-14,447,1,1,447,447,
clamav,2024-07-24,328,1,1,328,328,
curl,2025-06-01,2018,1,1,2018,2018,
file,2025-05-31,571,1,1,571,571,
fluent-bit,2025-05-29,962,1,1,962,962,
harfbuzz,2025-06-01,1451,1,1,1451,1451,
icu,2025-05-29,1110,1,1,1110,1110,
leptonica,2025-03-24,443,1,1,443,443,
libarchive,2025-06-01,553,1,1,553,553,
libavc,2025-05-23,300,1,1,300,300,
libjxl,2025-05-28,764,1,1,764,764,
libvips,2025-06-01,923,1,1,923,923,
mruby,2025-06-01,1612,1,1,1612,1612,
net-snmp,2025-05-15,602,1,1,602,602,
open62541,2025-05-28,1108,1,1,1108,1108,
openthread,2025-05-29,1534,1,1,1534,1534,
serenity,2025-03-05,1396,1,1,1396,1396,
wolfssl,2025-02-20,1660,1,1,1660,1660,
