project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
serenity,2020-11-27,1,1,1,1,1,18
serenity,2020-12-01,2,1,2,2,2,21
serenity,2020-12-03,3,1,3,3,3,17
serenity,2020-12-04,4,1,4,4,4,11
serenity,2020-12-05,5,1,5,5,5,21
serenity,2020-12-06,6,1,6,6,6,27
serenity,2020-12-07,7,1,7,7,7,16
serenity,2020-12-08,8,1,8,8,8,39
serenity,2020-12-09,9,1,9,9,9,22
serenity,2020-12-10,10,1,10,10,10,15
serenity,2020-12-11,11,1,11,11,11,13
serenity,2020-12-12,12,1,12,12,12,14
serenity,2020-12-13,13,1,13,13,13,20
serenity,2020-12-14,14,1,14,14,14,63
serenity,2020-12-15,15,1,15,15,15,25
serenity,2020-12-16,16,1,16,16,16,25
serenity,2020-12-17,17,1,17,17,17,11
serenity,2020-12-18,18,1,18,18,18,26
serenity,2020-12-19,19,1,19,19,19,20
serenity,2020-12-20,20,1,20,20,20,40
serenity,2020-12-21,21,1,21,21,21,9
serenity,2020-12-22,22,1,22,22,22,26
serenity,2020-12-23,23,1,23,23,23,16
serenity,2020-12-24,24,1,24,24,24,30
serenity,2020-12-25,25,1,25,25,25,22
serenity,2020-12-26,26,1,26,26,26,32
serenity,2020-12-27,27,1,27,27,27,63
serenity,2020-12-28,28,1,28,28,28,49
serenity,2020-12-29,29,1,29,29,29,44
serenity,2020-12-30,30,1,30,30,30,109
serenity,2020-12-31,31,1,31,31,31,39
serenity,2021-01-01,32,1,32,32,32,69
serenity,2021-01-02,33,1,33,33,33,43
serenity,2021-01-03,34,1,34,34,34,57
serenity,2021-01-04,35,1,35,35,35,35
serenity,2021-01-05,36,1,36,36,36,15
serenity,2021-01-06,37,1,37,37,37,26
serenity,2021-01-07,38,1,38,38,38,13
serenity,2021-01-08,39,1,39,39,39,11
serenity,2021-01-09,40,1,40,40,40,79
serenity,2021-01-10,41,1,41,41,41,24
serenity,2021-01-11,42,1,42,42,42,37
serenity,2021-01-12,43,1,43,43,43,39
serenity,2021-01-13,44,1,44,44,44,3
serenity,2021-01-14,45,1,45,45,45,12
serenity,2021-01-15,46,1,46,46,46,48
serenity,2021-01-16,47,1,47,47,47,57
serenity,2021-01-17,48,1,48,48,48,27
serenity,2021-01-22,49,1,49,49,49,61
serenity,2021-01-23,50,1,50,50,50,51
serenity,2021-01-24,51,1,51,51,51,20
serenity,2021-01-25,52,1,52,52,52,38
serenity,2021-01-26,53,1,53,53,53,16
serenity,2021-01-27,54,1,54,54,54,26
serenity,2021-01-28,55,1,55,55,55,22
serenity,2021-01-29,56,1,56,56,56,35
serenity,2021-01-30,57,1,57,57,57,36
serenity,2021-01-31,58,1,58,58,58,28
serenity,2021-02-01,59,1,59,59,59,38
serenity,2021-02-02,60,1,60,60,60,22
serenity,2021-02-03,61,1,61,61,61,24
serenity,2021-02-04,62,1,62,62,62,13
serenity,2021-02-05,63,1,63,63,63,16
serenity,2021-02-06,64,1,64,64,64,13
serenity,2021-02-07,65,1,65,65,65,36
serenity,2021-02-08,66,1,66,66,66,50
serenity,2021-02-09,67,1,67,67,67,17
serenity,2021-02-14,68,1,68,68,68,39
serenity,2021-02-15,69,1,69,69,69,80
serenity,2021-02-16,70,1,70,70,70,20
serenity,2021-02-17,71,1,71,71,71,40
serenity,2021-02-18,72,1,72,72,72,13
serenity,2021-02-19,73,1,73,73,73,23
serenity,2021-02-20,74,1,74,74,74,66
serenity,2021-02-21,75,1,75,75,75,59
serenity,2021-02-22,76,1,76,76,76,18
serenity,2021-02-23,77,1,77,77,77,33
serenity,2021-02-24,78,1,78,78,78,33
serenity,2021-02-25,79,1,79,79,79,21
serenity,2021-02-26,80,1,80,80,80,31
serenity,2021-02-27,81,1,81,81,81,26
serenity,2021-02-28,82,1,82,82,82,27
serenity,2021-03-01,83,1,83,83,83,37
serenity,2021-03-02,84,1,84,84,84,40
serenity,2021-03-03,85,1,85,85,85,29
serenity,2021-03-04,86,1,86,86,86,31
serenity,2021-03-05,87,1,87,87,87,13
serenity,2021-03-18,88,1,88,88,88,14
