label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,72.0,75.0,0.0,33.0,,,,,,,1338.0,2105.0,16395.0,22529.0,11074.0,14742.0,0.0,0.0,2018-08-22
2018-08-24,1.0,False,0.0,1.0,1.0,2.0,12.0,3.0,1.0,2.0,841.0,0.8366407419411672,4.0,40.0,40.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,3.0,9.0,15.0,5.0,1.0,4.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.0,72.0,75.0,0.0,33.0,,0.0,0.0,0.0,0.0,0.0,1338.0,2105.0,16395.0,22529.0,11074.0,14742.0,0.0,0.0,2018-08-23
2018-08-25,1.0,False,0.0,1.0,1.0,10.0,71.0,91.0,20.0,10.0,9158.0,2.0588547697335584,25.9,5187.0,253.0,4205.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,20.0,2.0,2.0,0.0,4.0,6.0,7.0,-1.0,13.0,71.0,91.0,-20.0,162.0,64.0,76.0,-12.0,140.0,3.0,3.0,0.0,6.0,25.0,33.0,-8.0,58.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.0,72.0,75.0,0.0,33.0,,0.0,0.0,0.0,0.0,0.0,1338.0,2105.0,16392.0,22526.0,11077.0,14745.0,0.0,0.0,2018-08-24
2018-08-26,3.0,False,0.0,3.0,3.0,4.0,89.0,1.0,4.0,4.0,2292.0,0.1811881477331988,10.833333333333334,5189.0,253.0,4207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,89.0,1.0,88.0,90.0,32.0,1.0,31.0,33.0,2.0,0.0,2.0,2.0,6.0,0.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.0,72.0,75.0,0.0,33.0,,0.0,0.0,0.0,0.0,0.0,1338.0,2105.0,16392.0,22526.0,11077.0,14745.0,0.0,0.0,2018-08-25
2018-08-27,12.0,False,0.0,13.0,14.0,25.0,444.0,280.0,62.0,27.0,14804.0,0.4977493199667972,10.530555555555555,5196.5,260.5,4214.5,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,8.0,34.0,50.0,10.0,5.0,5.0,15.0,26.0,24.0,2.0,50.0,439.0,278.0,161.0,717.0,159.0,117.0,42.0,276.0,7.0,16.0,-9.0,23.0,68.0,62.0,6.0,130.0,29.0,17.0,12.0,46.0,2.2490861618628912,0.0,0.0,0.0,0.0,2.296843801855309,0.0,0.0,0.0,2.6782154867735155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.0,72.0,74.0,0.0,33.0,,0.0,0.0,-1.0,0.0,0.0,1342.0,2125.0,16377.0,22627.0,11082.0,14801.0,0.0,0.0,2018-08-26
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,60.0,65.0,0.0,26.0,,0.0,0.0,0.0,0.0,0.0,1103.0,2101.0,13622.0,22398.0,9689.0,14740.0,0.0,0.0,2018-08-28
2018-08-30,1.0,False,0.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,611.0,0.0,2.0,5230.0,273.0,4248.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,9.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61.0,71.0,73.0,0.0,31.0,,9.0,11.0,8.0,0.0,5.0,1296.0,2106.0,15962.0,22450.0,10856.0,14756.0,0.0,0.0,2018-08-29
2018-08-31,10.0,False,0.0,10.0,11.0,238.0,1933.0,1452.0,80.0,255.0,62426.0,1.0418838663900136,11.248571428571427,2114.5,130.5,1296.3,0.7,5.0,7.0,-2.0,12.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,57.0,52.0,11.0,4.0,7.0,15.0,0.0,0.0,48.0,25.0,23.0,73.0,390.0,29.0,19.0,10.0,48.0,81.0,50.0,31.0,131.0,1852.0,1231.0,621.0,3083.0,549.0,378.0,171.0,927.0,58.0,32.0,26.0,90.0,161.0,132.0,29.0,293.0,68.0,37.0,31.0,105.0,1.0,0.36903535591987197,4.0,0.3839869601547597,0.7630486085101793,0.0,0.3662290834476144,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0009090909090909091,3.0,62.0,72.0,74.0,0.0,31.0,,1.0,1.0,1.0,0.0,0.0,1319.0,2108.0,16262.0,22475.0,11059.0,14771.0,0.0,0.0,2018-08-30
2018-09-01,5.0,False,0.0,9.0,11.0,25.0,386.0,433.0,16.0,25.0,5276.0,1.3955129160217425,16.535555555555554,4198.4,229.6,3412.6,0.0,0.0,2.0,-2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,4.0,0.0,0.0,3.0,2.0,1.0,5.0,50.0,4.0,2.0,2.0,6.0,25.0,30.0,-5.0,55.0,386.0,433.0,-47.0,819.0,155.0,163.0,-8.0,318.0,18.0,13.0,5.0,31.0,37.0,50.0,-13.0,87.0,8.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.7620183572335464,0.0,3.6475554209788434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.0,72.0,74.0,0.0,31.0,,0.0,0.0,0.0,0.0,0.0,1319.0,2108.0,16263.0,22475.0,11061.0,14771.0,0.0,0.0,2018-08-31
2018-09-02,8.0,False,0.0,8.0,8.0,53.0,542.0,389.0,25.0,54.0,24141.0,1.7188220953939952,1.5739850427350428,3293.625,183.25,2679.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,17.0,41.0,106.0,6.0,7.0,-1.0,13.0,33.0,38.0,-5.0,71.0,541.0,389.0,152.0,930.0,221.0,189.0,32.0,410.0,25.0,37.0,-12.0,62.0,37.0,31.0,6.0,68.0,42.0,24.0,18.0,66.0,1.9249157905849796,0.0,0.0,0.0,0.0,0.5992545000084498,0.0,2.169474862573649,0.0,0.7356494214947974,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.09722222222222221,5.0,62.0,72.0,74.0,0.0,31.0,,0.0,0.0,0.0,0.0,0.0,1319.0,2108.0,16263.0,22475.0,11061.0,14771.0,0.0,0.0,2018-09-01
