label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date
2021-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94969408565601,49.95681053227296,53.09563066776587,38.4769819777757,7.412089557204165,,,,,,,1293.0,2942.0,16772.0,33573.0,12881.0,24260.0,8241.0,21418.0,2021-06-07
2021-06-09,2.0,False,0.0,2.0,2.0,2.0,73.0,1.0,8.0,2.0,2762.0,0.0,4.0,2.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,7.0,7.0,6.0,0.0,6.0,6.0,73.0,1.0,72.0,74.0,16.0,0.0,16.0,16.0,2.0,0.0,2.0,2.0,33.0,0.0,33.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.18762746430999,50.31966457521781,53.3934230563444,38.98731816486386,7.478625370105458,4.10958904109589,0.23793337865397746,0.36285404294484636,0.29779238857853585,0.5103361870881571,0.06653581290129296,1300.0,2942.0,16922.0,33629.0,12973.0,24297.0,8362.0,21448.0,2021-06-08
2021-06-10,11.0,False,0.0,12.0,16.0,26.0,574.0,622.0,41.0,31.0,22746.0,0.5518874405043345,5.36060606060606,8.090909090909092,8.0,4.090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,7.0,7.0,52.0,34.0,25.0,9.0,59.0,50.0,62.0,-12.0,112.0,555.0,612.0,-57.0,1167.0,243.0,223.0,20.0,466.0,30.0,29.0,1.0,59.0,200.0,200.0,0.0,400.0,8.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.10865874363328,50.29142381348876,53.333333333333336,38.85640025990903,7.47455259131129,20.74468085106383,-0.07896872067671268,-0.02824076172904455,-0.06008972301106752,-0.1309179049548277,-0.004072778794168563,1299.0,2945.0,16912.0,33628.0,12984.0,24345.0,8372.0,21546.0,2021-06-09
2021-06-11,11.0,False,0.0,9.0,10.0,15.0,349.0,56.0,31.0,20.0,15743.0,0.32906161141476326,3.309090909090909,12.818181818181818,12.636363636363637,7.090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,8.0,30.0,7.0,0.0,7.0,7.0,15.0,3.0,12.0,18.0,253.0,50.0,203.0,303.0,97.0,18.0,79.0,115.0,9.0,4.0,5.0,13.0,55.0,13.0,42.0,68.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.8611340202213452,0.4936081142504818,1.907212041963585,1.4385192647460974,0.9970207114082976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.078724126230064,50.30005941770648,53.37163964703469,38.9259877573734,7.474055348589675,12.446351931330472,-0.029934617403213792,0.008635604217715809,0.038306313701355066,0.06958749746436865,-0.0004972427216145547,1299.0,2947.0,16931.0,33660.0,13004.0,24365.0,8394.0,21564.0,2021-06-10
2021-06-12,11.0,False,0.0,10.0,17.0,35.0,380.0,480.0,39.0,43.0,20112.0,1.0470678750447873,5.642424242424242,15.181818181818182,14.818181818181818,7.545454545454546,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,5.0,70.0,4.0,8.0,-4.0,12.0,24.0,30.0,-6.0,54.0,356.0,457.0,-101.0,813.0,125.0,173.0,-48.0,298.0,22.0,16.0,6.0,38.0,88.0,132.0,-44.0,220.0,2.0,5.0,-3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4936081142504818,2.398834033767495,0.5450385252024149,0.5479191994263466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43.50186630471666,49.41718703538508,52.287957899930106,37.80556073894383,7.24805944403901,50.513698630136986,-0.576857821513407,-0.8828723823213949,-1.0836817471045848,-1.1204270184295666,-0.22599590455066565,1282.0,2947.0,16619.0,33630.0,12718.0,24323.0,8104.0,21436.0,2021-06-11
2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.859178825924666,51.03915796985103,53.78604038991486,39.18049599104979,7.643819255523853,66.66666666666666,0.0,0.047513356250483696,0.114862733709856,0.09891090946470626,0.0,1322.0,2947.0,17166.0,33633.0,13077.0,24313.0,8405.0,21452.0,2021-06-14
2021-06-16,5.0,False,0.0,5.0,7.0,22.0,1189.0,937.0,21.0,24.0,7116.0,0.7821561691682827,6.825,21.6,21.6,14.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,4.0,3.0,11.0,44.0,66.0,65.0,1.0,131.0,84.0,75.0,9.0,159.0,1171.0,937.0,234.0,2108.0,408.0,370.0,38.0,778.0,25.0,18.0,7.0,43.0,392.0,387.0,5.0,779.0,16.0,16.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.08670520231214,51.95731688884858,54.73134016307757,39.608859566446746,7.647448641484426,24.82876712328767,0.2275263763874733,0.9181589189975483,0.9452997731627093,0.4283635753969577,0.0036293859605729395,1326.0,2941.0,17188.0,33081.0,13089.0,23915.0,8405.0,21220.0,2021-06-15
2021-06-17,6.0,False,0.0,4.0,10.0,20.0,453.0,112.0,20.0,24.0,12459.0,1.0198052261846715,2.7407407407407405,22.166666666666668,21.833333333333332,11.166666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,40.0,6.0,7.0,-1.0,13.0,17.0,11.0,6.0,28.0,215.0,91.0,124.0,306.0,91.0,59.0,32.0,150.0,3.0,6.0,-3.0,9.0,42.0,32.0,10.0,74.0,6.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.4522885772104082,0.4757022909391386,0.0,0.6535210046006226,1.5042697883627536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43.53741496598639,48.50755287009064,50.64598402809717,34.90955103571094,7.173862619702442,14.102564102564102,-1.5492902363257457,-3.4497640187579393,-4.085356134980401,-4.699308530735806,-0.4735860217819843,1280.0,2940.0,16056.0,33100.0,12113.0,23917.0,7449.0,21338.0,2021-06-16
2021-06-18,9.0,True,1.0,8.0,8.0,14.0,599.0,238.0,25.0,25.0,11702.0,0.30737463533304055,5.7444444444444445,17.555555555555557,17.444444444444443,9.88888888888889,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,28.0,9.0,5.0,4.0,14.0,25.0,13.0,12.0,38.0,441.0,189.0,252.0,630.0,170.0,78.0,92.0,248.0,4.0,7.0,-3.0,11.0,105.0,47.0,58.0,152.0,5.0,0.0,5.0,5.0,0.0,0.9909461728401471,0.0,0.022945173625479747,0.0,0.0,2.0,0.0,0.0,1.1322845476265548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.15470928255695,52.22181971865,54.96049165935031,39.66163651701191,7.693836978131213,0.0,1.6172943165705576,3.7142668485593617,4.314507631253143,4.752085481300966,0.5199743584287706,1328.0,2941.0,17299.0,33126.0,13146.0,23919.0,8463.0,21338.0,2021-06-17
2021-06-19,7.0,False,0.0,7.0,10.0,20.0,342.0,130.0,29.0,20.0,15382.0,0.655593826573547,0.9047619047619048,25.714285714285715,25.571428571428573,19.285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,4.0,6.0,14.0,31.0,16.0,15.0,47.0,342.0,130.0,212.0,472.0,147.0,61.0,86.0,208.0,9.0,7.0,2.0,16.0,68.0,32.0,36.0,100.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.27532290958531,52.2440624905933,54.87520798668886,39.65775201047316,7.7366555117458,0.0,0.1206136270283622,0.022242771943297157,-0.08528367266145409,-0.0038845065387462796,0.04281853361458765,1332.0,2942.0,17356.0,33221.0,13192.0,24040.0,8482.0,21388.0,2021-06-18
