label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,55.0,56.0,0.0,65.0,,,,,,,585.0,894.0,15915.0,28581.0,13732.0,24397.0,0.0,0.0,2019-11-06
2019-11-08,1.0,False,0.0,1.0,2.0,2.0,7.0,0.0,29.0,2.0,2706.0,0.5916727785823274,0.0,39.0,20.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739626235348694,0.0,0.6730178541345827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,65.0,55.0,56.0,0.0,65.0,,0.0,0.0,0.0,0.0,0.0,585.0,894.0,15915.0,28581.0,13732.0,24397.0,0.0,0.0,2019-11-07
2019-11-09,1.0,False,0.0,2.0,5.0,6.0,167.0,143.0,70.0,6.0,13758.0,1.1625425866855643,13.5,793.0,144.0,572.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,12.0,6.0,6.0,0.0,12.0,5.0,5.0,0.0,10.0,167.0,143.0,24.0,310.0,52.0,47.0,5.0,99.0,4.0,4.0,0.0,8.0,39.0,37.0,2.0,76.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.3333333333333333,4.0,65.0,55.0,56.0,0.0,65.0,47.953216374269005,0.0,0.0,0.0,0.0,0.0,584.0,894.0,15879.0,28597.0,13716.0,24407.0,0.0,0.0,2019-11-08
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,59.0,60.0,0.0,66.0,,0.0,1.0,1.0,0.0,0.0,598.0,894.0,16935.0,28597.0,14661.0,24407.0,0.0,0.0,2019-11-10
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,59.0,60.0,0.0,67.0,27.27272727272727,,,,,,601.0,895.0,17144.0,28647.0,14834.0,24433.0,0.0,0.0,2019-11-12
2019-11-14,2.0,False,0.0,3.0,3.0,3.0,24.0,26.0,82.0,4.0,11003.0,0.17667966751071065,3.25,797.5,146.5,391.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,23.0,25.0,-2.0,48.0,14.0,15.0,-1.0,29.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.75,9.0,67.0,60.0,60.0,0.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,603.0,895.0,17193.0,28645.0,14876.0,24433.0,0.0,0.0,2019-11-13
2019-11-15,2.0,False,0.0,2.0,3.0,3.0,85.0,7.0,26.0,3.0,4137.0,0.3375957200729358,8.25,419.5,84.5,304.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7.0,78.0,92.0,29.0,1.0,28.0,30.0,0.0,0.0,0.0,0.0,15.0,1.0,14.0,16.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.0,60.0,61.0,0.0,67.0,1.1627906976744187,0.0,0.0,1.0,0.0,0.0,607.0,897.0,17303.0,28709.0,14978.0,24482.0,0.0,0.0,2019-11-14
2019-11-16,1.0,False,0.0,1.0,1.0,1.0,2.0,2.0,55.0,2.0,6713.0,0.0,1.0,800.0,149.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,67.0,60.0,61.0,0.0,67.0,,0.0,0.0,0.0,0.0,0.0,607.0,897.0,17343.0,28709.0,15016.0,24482.0,0.0,0.0,2019-11-15
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,60.0,61.0,0.0,67.0,,0.0,0.0,0.0,0.0,0.0,607.0,897.0,17433.0,28709.0,15095.0,24482.0,0.0,0.0,2019-11-17
2019-11-19,3.0,True,1.0,4.0,6.0,6.0,318.0,1258.0,60.0,8.0,9088.0,0.18820901881643778,4.583333333333333,802.0,151.0,455.3333333333333,0.3333333333333333,21.0,40.0,-19.0,61.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,-6.0,6.0,7.0,2.0,0.0,17.0,-17.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,1247.0,-940.0,1554.0,152.0,517.0,-365.0,669.0,20.0,44.0,-24.0,64.0,45.0,160.0,-115.0,205.0,0.0,14.0,-14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.4166666666666667,14.0,67.0,60.0,61.0,0.0,67.0,9.477124183006536,0.0,0.0,0.0,0.0,0.0,607.0,897.0,17450.0,28796.0,15119.0,24521.0,0.0,0.0,2019-11-18
