label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,44.0,42.0,0.0,42.0,,,,,,,2740.0,6084.0,67551.0,150739.0,39454.0,93267.0,0.0,0.0,2018-08-22
2018-08-24,3.0,False,0.0,2.0,2.0,2.0,27.0,8.0,34.0,3.0,7591.0,0.0,50.0,19.333333333333332,1.6666666666666667,1.6666666666666667,0.3333333333333333,8.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,6.0,19.0,31.0,11.0,6.0,5.0,17.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,44.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2740.0,6084.0,67551.0,150745.0,39454.0,93270.0,0.0,0.0,2018-08-23
2018-08-25,8.0,False,0.0,10.0,10.0,28.0,159.0,236.0,225.0,28.0,36379.0,0.911986252253165,28.854166666666668,829.875,29.0,473.625,0.375,1.0,4.0,-3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,10.0,56.0,2.0,5.0,-3.0,7.0,15.0,18.0,-3.0,33.0,159.0,236.0,-77.0,395.0,113.0,132.0,-19.0,245.0,9.0,10.0,-1.0,19.0,25.0,53.0,-28.0,78.0,16.0,16.0,0.0,32.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,44.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2743.0,6087.0,67519.0,150674.0,39445.0,93239.0,0.0,0.0,2018-08-24
2018-08-26,1.0,False,0.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,207.0,0.0,0.0,36.0,11.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,44.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2743.0,6087.0,67519.0,150674.0,39445.0,93239.0,0.0,0.0,2018-08-25
2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,44.0,42.0,0.0,42.0,,,,,,,2750.0,6099.0,67634.0,150899.0,39504.0,93362.0,0.0,0.0,2018-09-02
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,42.0,0.0,42.0,,0.0,1.0,0.0,0.0,0.0,2755.0,6099.0,67977.0,150902.0,39672.0,93364.0,0.0,0.0,2018-09-04
2018-09-06,1.0,False,0.0,1.0,1.0,2.0,7.0,10.0,13.0,2.0,636.0,0.9975025463691152,5.5,54.0,28.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,-3.0,17.0,4.0,6.0,-2.0,10.0,1.0,0.0,1.0,1.0,3.0,5.0,-2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,45.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2755.0,6099.0,67973.0,150898.0,39672.0,93364.0,0.0,0.0,2018-09-05
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2756.0,6099.0,68087.0,150953.0,39730.0,93415.0,0.0,0.0,2018-09-17
2018-09-19,2.0,False,0.0,5.0,5.0,10.0,53.0,67.0,41.0,10.0,6940.0,1.2333517707325754,136.83333333333334,56.5,30.5,22.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,4.0,-1.0,7.0,2.0,3.0,-1.0,5.0,53.0,67.0,-14.0,120.0,25.0,31.0,-6.0,56.0,3.0,2.0,1.0,5.0,7.0,16.0,-9.0,23.0,0.0,3.0,-3.0,3.0,0.0,0.0,0.6250430333161873,0.0,0.7805902936258557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,45.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2756.0,6100.0,68072.0,150938.0,39722.0,93406.0,0.0,0.0,2018-09-18
2018-09-20,4.0,False,0.0,3.0,3.0,3.0,31.0,25.0,10.0,4.0,955.0,0.0,40.75,44.0,17.0,16.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,-13.0,21.0,2.0,5.0,-3.0,7.0,0.0,1.0,-1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7526947698074123,0.0,0.6583696404790903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,45.0,42.0,0.0,42.0,,0.0,0.0,0.0,0.0,0.0,2756.0,6100.0,68071.0,150937.0,39722.0,93406.0,0.0,0.0,2018-09-19
