label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17655897821187,16.09515645092156,16.42311092620521,0.0,12.887391722810396,,,,,,,606.0,3993.0,4506.0,27996.0,3158.0,19229.0,0.0,0.0,2020-11-26
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.599591609430108,8.913075816928647,9.11913650981407,0.0,7.1488797880028905,0.6202008269344359,,,,,,571.0,5387.0,3595.0,40334.0,2467.0,27053.0,0.0,0.0,2020-11-30
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.209647495361786,26.22476247030879,29.2455610403006,0.0,22.667871123155678,1.6349504154382202,,,,,,1251.0,5390.0,10599.0,40416.0,7939.0,27146.0,0.0,0.0,2020-12-02
2020-12-04,43.0,False,0.0,44.0,53.0,113.0,2530.0,715.0,303.0,130.0,40850.0,0.7099692344649451,18.22312661498708,467.6744186046512,116.72093023255815,238.74418604651163,0.3023255813953488,7.0,3.0,4.0,10.0,2.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,7.0,5.0,10.0,6.0,4.0,16.0,5.0,2.0,54.0,24.0,30.0,78.0,226.0,18.0,15.0,3.0,33.0,118.0,51.0,67.0,169.0,2328.0,704.0,1624.0,3032.0,936.0,402.0,534.0,1338.0,65.0,40.0,25.0,105.0,267.0,134.0,133.0,401.0,51.0,27.0,24.0,78.0,7.626584371837314,0.0,0.6183471503325884,0.7484961618753329,3.359652286893549,8.686866485123618,2.6429262848225212,1.3028597826963826,1.0,5.996771347149272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23.963897587032605,27.55051870790108,30.788971990027864,0.0,23.86071791196321,1.8724921979491753,0.7542500916708192,1.3257562375922909,1.5434109497272637,0.0,1.1928467888075325,1301.0,5429.0,11207.0,40678.0,8398.0,27276.0,0.0,0.0,2020-12-03
2020-12-05,17.0,False,0.0,16.0,19.0,38.0,289.0,162.0,84.0,40.0,11123.0,0.5427449946210362,15.540756302521011,2039.1764705882354,357.94117647058823,940.1176470588235,0.4117647058823529,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,10.0,10.0,30.0,76.0,6.0,6.0,0.0,12.0,33.0,21.0,12.0,54.0,273.0,162.0,111.0,435.0,175.0,127.0,48.0,302.0,12.0,6.0,6.0,18.0,34.0,17.0,17.0,51.0,11.0,5.0,6.0,16.0,1.7134313230051315,0.0,0.0,0.8170686044989407,0.0,0.0,6.87219353813388,0.803779051368839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.65930018416206,29.214090808525285,32.64917167570737,0.0,24.922341696535245,0.7662835249042145,0.6954025971294548,1.6635721006242044,1.8601996856795076,0.0,1.0616237845720349,1339.0,5430.0,11884.0,40679.0,8908.0,27284.0,0.0,0.0,2020-12-04
2020-12-06,11.0,False,0.0,9.0,13.0,29.0,360.0,209.0,34.0,32.0,6689.0,0.8885393814852275,5.848484848484848,3201.909090909091,511.8181818181818,1388.6363636363637,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,8.0,8.0,0.0,16.0,58.0,4.0,4.0,0.0,8.0,29.0,16.0,13.0,45.0,355.0,209.0,146.0,564.0,156.0,130.0,26.0,286.0,5.0,6.0,-1.0,11.0,56.0,50.0,6.0,106.0,12.0,12.0,0.0,24.0,1.0,0.0,0.0,1.4905743408010008,0.0,0.0,6.88456212475353,1.607558102737678,0.0,1.3320882912404564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.935543278084715,29.804075813073084,33.11098079460489,0.0,25.54360812425329,0.0,0.27624309392265545,0.589985004547799,0.46180911889751997,0.0,0.6212664277180444,1354.0,5430.0,12124.0,40679.0,9034.0,27284.0,0.0,0.0,2020-12-05
2020-12-07,21.0,False,0.0,19.0,20.0,81.0,777.0,131.0,149.0,90.0,20238.0,0.7691596794890743,18.326388888888886,1873.7619047619048,319.0,901.4285714285714,0.23809523809523808,2.0,2.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,16.0,12.0,44.0,162.0,8.0,2.0,6.0,10.0,66.0,14.0,52.0,80.0,611.0,126.0,485.0,737.0,358.0,102.0,256.0,460.0,28.0,7.0,21.0,35.0,90.0,25.0,65.0,115.0,21.0,9.0,12.0,30.0,4.337308363532075,0.0,1.5022620795381787,0.0,0.0,3.101828782145015,6.7007251582147935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.89412631191309,29.75921375921376,33.05255447720198,0.0,25.535980889817857,0.0,-0.04141696617162438,-0.044862053859322515,-0.05842631740291182,0.0,-0.0076272344354322286,1352.0,5431.0,12112.0,40700.0,9025.0,27305.0,0.0,0.0,2020-12-06
2020-12-08,27.0,False,0.0,29.0,36.0,82.0,1023.0,444.0,164.0,88.0,36564.0,0.7895210564961188,9.907231040564374,2036.0,351.6666666666667,1016.4444444444445,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,4.0,1.0,0.0,47.0,32.0,15.0,79.0,164.0,13.0,6.0,7.0,19.0,83.0,32.0,51.0,115.0,953.0,440.0,513.0,1393.0,571.0,347.0,224.0,918.0,32.0,18.0,14.0,50.0,158.0,83.0,75.0,241.0,36.0,22.0,14.0,58.0,3.1892337388407124,0.5635039788613079,0.8234265159239822,1.7600976638915058,0.0,2.5717023990646672,9.01018104515952,2.607558102737678,1.5145519642573038,3.589395247915623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.76996687523004,29.680253245319133,33.02342606149341,0.0,25.361930294906166,1.5151515151515151,-0.12415943668305118,-0.07896051389462855,-0.029128415708569833,0.0,-0.17405059491169084,1346.0,5434.0,12095.0,40751.0,9022.0,27320.0,0.0,0.0,2020-12-07
2020-12-09,16.0,False,0.0,14.0,16.0,21.0,190.0,88.0,76.0,23.0,7887.0,0.24798273271031085,14.90625,3013.0625,499.0,1211.75,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,2.0,5.0,9.0,42.0,3.0,5.0,-2.0,8.0,24.0,7.0,17.0,31.0,184.0,87.0,97.0,271.0,122.0,71.0,51.0,193.0,5.0,3.0,2.0,8.0,29.0,21.0,8.0,50.0,5.0,1.0,4.0,6.0,1.7134313230051315,0.0,0.0,2.2787299613255256,0.0,0.0,7.594496573460794,0.6145100771065868,0.0,2.5318561189410844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.903368304803976,29.709166768928704,33.10882535963981,0.0,25.627122683667995,0.0,0.13340142957393653,0.028913523609571,0.0853992981463989,0.0,0.2651923887618288,1353.0,5433.0,12105.0,40745.0,9045.0,27319.0,0.0,0.0,2020-12-08
2020-12-10,39.0,False,0.0,39.0,45.0,78.0,925.0,308.0,324.0,83.0,44731.0,0.4517175618364019,20.18919968919969,1860.2564102564102,336.6923076923077,807.974358974359,0.20512820512820512,3.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,6.0,17.0,6.0,11.0,23.0,156.0,10.0,7.0,3.0,17.0,54.0,19.0,35.0,73.0,888.0,306.0,582.0,1194.0,447.0,206.0,241.0,653.0,23.0,11.0,12.0,34.0,163.0,62.0,101.0,225.0,15.0,6.0,9.0,21.0,7.3154175630989045,1.0,3.0,2.4884747678612325,0.0,7.381676303424772,5.089031130912638,4.320575240788698,3.0077899377891364,2.218644026607011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.91279603451441,29.74440503852269,33.182332955832386,0.0,25.63388625592417,2.564102564102564,0.009427729710434818,0.035238269593985905,0.0735075961925773,0.0,0.006763572256176076,1357.0,5447.0,12161.0,40885.0,9083.0,27373.0,0.0,0.0,2020-12-09
