model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.947720,15
RandomForest,AUC_ROC,0.601662,15
RandomForest,Accuracy,0.598062,15
XGBoost,AUC_ROC,0.589050,15
XGBoost,Accuracy,0.588065,15
XGBoost,Recall,0.514161,15
RandomForest,Recall,0.509742,15
Random,AUC_ROC,0.499879,15
RandomForest,F1-Score,0.071630,15
XGBoost,F1-Score,0.070854,15
XGBoost,PR_AUC,0.051464,15
RandomForest,PR_AUC,0.050795,15
RandomForest,Precision,0.042200,15
RandomForest,MCC,0.042182,15
XGBoost,Precision,0.041566,15
XGBoost,MCC,0.040081,15
Random,PR_AUC,0.032601,15
Random,Precision,0.029816,15
Random,Recall,0.022288,15
Random,F1-Score,0.021655,15
Random,MCC,-0.000635,15
