Metric,Value,project,model
MCC,0.1306174309720072,arrow/cross_project/exclude_target,XGBoost
AUC_ROC,0.911524887428502,arrow/cross_project/exclude_target,XGBoost
Accuracy,0.7681949058693245,arrow/cross_project/exclude_target,XGBoost
Precision,0.02804905627655189,arrow/cross_project/exclude_target,XGBoost
Recall,0.8727272727272727,arrow/cross_project/exclude_target,XGBoost
F1-Score,0.05422939132582982,arrow/cross_project/exclude_target,XGBoost
PR_AUC,0.17340590250084462,arrow/cross_project/exclude_target,XGBoost
MCC,0.17770766349765937,c-blosc2/cross_project/exclude_target,XGBoost
AUC_ROC,0.7551550387596898,c-blosc2/cross_project/exclude_target,XGBoost
Accuracy,0.7344322344322344,c-blosc2/cross_project/exclude_target,XGBoost
Precision,0.12051673070400645,c-blosc2/cross_project/exclude_target,XGBoost
Recall,0.6066666666666668,c-blosc2/cross_project/exclude_target,XGBoost
F1-Score,0.20074194766798203,c-blosc2/cross_project/exclude_target,XGBoost
PR_AUC,0.2624198481438361,c-blosc2/cross_project/exclude_target,XGBoost
MCC,0.1785335413004807,ghostscript/cross_project/exclude_target,XGBoost
AUC_ROC,0.7211113241308794,ghostscript/cross_project/exclude_target,XGBoost
Accuracy,0.6685714285714286,ghostscript/cross_project/exclude_target,XGBoost
Precision,0.13034754047382552,ghostscript/cross_project/exclude_target,XGBoost
Recall,0.6666666666666667,ghostscript/cross_project/exclude_target,XGBoost
F1-Score,0.21745026555067862,ghostscript/cross_project/exclude_target,XGBoost
PR_AUC,0.15642982024892246,ghostscript/cross_project/exclude_target,XGBoost
MCC,0.1727573639305395,harfbuzz/cross_project/exclude_target,XGBoost
AUC_ROC,0.7657893713040772,harfbuzz/cross_project/exclude_target,XGBoost
Accuracy,0.6370160528800756,harfbuzz/cross_project/exclude_target,XGBoost
Precision,0.0953136801855373,harfbuzz/cross_project/exclude_target,XGBoost
Recall,0.7594771241830067,harfbuzz/cross_project/exclude_target,XGBoost
