strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2020-01-22 00:00:00+00:00,6
strategy1_median,arrow,2020-02-24 00:00:00+00:00,6
strategy1_median,arrow,2020-02-27 00:00:00+00:00,6
strategy1_median,arrow,2020-03-04 00:00:00+00:00,6
strategy1_median,arrow,2020-03-07 00:00:00+00:00,6
strategy1_median,arrow,2020-03-09 00:00:00+00:00,6
strategy1_median,arrow,2020-03-11 00:00:00+00:00,6
strategy1_median,arrow,2020-03-14 00:00:00+00:00,6
strategy1_median,arrow,2020-03-15 00:00:00+00:00,6
strategy1_median,arrow,2020-03-19 00:00:00+00:00,6
strategy1_median,arrow,2020-03-20 00:00:00+00:00,6
strategy1_median,arrow,2020-03-22 00:00:00+00:00,6
strategy1_median,arrow,2020-03-26 00:00:00+00:00,6
strategy1_median,arrow,2020-03-27 00:00:00+00:00,6
strategy1_median,arrow,2020-03-28 00:00:00+00:00,6
strategy1_median,arrow,2020-04-01 00:00:00+00:00,6
strategy1_median,arrow,2020-04-02 00:00:00+00:00,6
strategy1_median,arrow,2020-04-12 00:00:00+00:00,6
strategy1_median,arrow,2020-04-16 00:00:00+00:00,6
strategy1_median,arrow,2020-05-03 00:00:00+00:00,6
strategy1_median,arrow,2020-05-07 00:00:00+00:00,6
strategy1_median,arrow,2020-05-26 00:00:00+00:00,6
strategy1_median,arrow,2020-05-28 00:00:00+00:00,6
strategy1_median,arrow,2020-06-04 00:00:00+00:00,6
strategy1_median,arrow,2020-06-06 00:00:00+00:00,6
strategy1_median,arrow,2020-06-07 00:00:00+00:00,6
strategy1_median,arrow,2020-06-11 00:00:00+00:00,6
strategy1_median,arrow,2020-06-13 00:00:00+00:00,6
strategy1_median,arrow,2020-06-18 00:00:00+00:00,6
strategy1_median,arrow,2020-06-19 00:00:00+00:00,6
strategy1_median,arrow,2020-06-24 00:00:00+00:00,6
strategy1_median,arrow,2020-06-25 00:00:00+00:00,6
strategy1_median,arrow,2020-06-27 00:00:00+00:00,6
strategy1_median,arrow,2020-07-02 00:00:00+00:00,6
strategy1_median,arrow,2020-07-10 00:00:00+00:00,6
strategy1_median,arrow,2020-07-11 00:00:00+00:00,6
strategy1_median,arrow,2020-07-14 00:00:00+00:00,6
strategy1_median,arrow,2020-07-15 00:00:00+00:00,6
strategy1_median,arrow,2020-08-12 00:00:00+00:00,6
strategy1_median,arrow,2020-08-14 00:00:00+00:00,6
strategy1_median,arrow,2020-08-26 00:00:00+00:00,6
strategy1_median,arrow,2020-08-27 00:00:00+00:00,6
strategy1_median,arrow,2020-08-29 00:00:00+00:00,6
strategy1_median,arrow,2020-09-23 00:00:00+00:00,6
strategy1_median,arrow,2020-09-24 00:00:00+00:00,6
strategy1_median,arrow,2020-09-26 00:00:00+00:00,6
strategy1_median,arrow,2020-10-01 00:00:00+00:00,6
strategy1_median,arrow,2020-10-07 00:00:00+00:00,6
strategy1_median,arrow,2020-10-22 00:00:00+00:00,6
strategy1_median,arrow,2020-10-23 00:00:00+00:00,6
strategy1_median,arrow,2020-10-24 00:00:00+00:00,6
strategy1_median,arrow,2020-11-12 00:00:00+00:00,6
strategy1_median,arrow,2020-11-13 00:00:00+00:00,6
strategy1_median,arrow,2020-11-15 00:00:00+00:00,6
strategy1_median,arrow,2020-11-25 00:00:00+00:00,6
strategy1_median,arrow,2020-11-26 00:00:00+00:00,6
strategy1_median,arrow,2020-12-04 00:00:00+00:00,6
strategy1_median,arrow,2020-12-10 00:00:00+00:00,6
strategy1_median,arrow,2020-12-17 00:00:00+00:00,6
strategy1_median,arrow,2021-01-07 00:00:00+00:00,6
strategy1_median,arrow,2021-01-08 00:00:00+00:00,6
strategy1_median,arrow,2021-01-28 00:00:00+00:00,6
strategy1_median,arrow,2021-01-30 00:00:00+00:00,6
strategy1_median,arrow,2021-02-04 00:00:00+00:00,6
strategy1_median,arrow,2021-02-11 00:00:00+00:00,6
