strategy,project,trigger_count,trigger_days,scheduled_builds,median_detection_builds_mean,baseline_detection_builds,builds_per_day,baseline_detection_days,avg_builds_per_trigger,estimated_detection_days,estimated_detection_builds,sampled_offset_builds_mean,normalized_line_change_mean
strategy1_median,arrow,210,210,1260.0,6.0,2.0,1.0,2.0,6.0,0.0,0.0,,
strategy1_median,c-blosc2,46,46,230.0,5.0,37.5,1.0,37.5,5.0,0.0,0.0,,
strategy1_median,ghostscript,239,239,1195.0,5.0,16.0,1.0,16.0,5.0,0.0,0.0,,
strategy1_median,harfbuzz,525,525,3150.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,,
strategy1_median,icu,94,94,564.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,,
strategy1_median,libjxl,105,105,630.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,,
strategy1_median,libxml2,100,100,600.0,6.0,3.0,1.0,3.0,6.0,0.0,0.0,,
strategy1_median,mruby,170,170,1020.0,6.0,2.0,1.0,2.0,6.0,0.0,0.0,,
strategy1_median,ndpi,227,227,1362.0,6.0,7.0,1.0,7.0,6.0,0.0,0.0,,
strategy1_median,openthread,583,583,3498.0,6.0,2.0,1.0,2.0,6.0,0.0,0.0,,
strategy1_median,php,654,654,3924.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,,
strategy1_median,poppler,52,52,312.0,6.0,49.0,1.0,49.0,6.0,0.0,0.0,,
strategy1_median,serenity,838,838,5028.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,,
strategy1_median,wireshark,1498,1498,8988.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,,
strategy1_median,wolfssl,694,694,4164.0,6.0,9.5,1.0,9.5,6.0,0.0,0.0,,
strategy2_random,arrow,210,210,6398.0,,2.0,1.0,2.0,30.466666666666665,0.0,0.0,29.99164405422564,
strategy2_random,c-blosc2,46,46,1371.0,,37.5,1.0,37.5,29.804347826086957,0.0,0.0,29.358782036044182,
strategy2_random,ghostscript,239,239,7075.0,,16.0,1.0,16.0,29.602510460251047,0.0,0.0,29.082286568435897,
strategy2_random,harfbuzz,525,525,17559.0,,1.0,1.0,1.0,33.44571428571429,0.0,0.0,32.949750184225714,
