project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
c-blosc2,2020-06-29,1,1,1,1,1,
c-blosc2,2020-07-01,2,1,2,2,2,
c-blosc2,2020-07-03,3,1,3,3,3,
c-blosc2,2020-07-07,4,1,4,4,4,
c-blosc2,2020-07-08,5,1,5,5,5,2
c-blosc2,2020-07-14,6,1,6,6,6,
c-blosc2,2020-07-26,7,1,7,7,7,
c-blosc2,2020-07-28,8,1,8,8,8,
c-blosc2,2020-08-04,9,1,9,9,9,
c-blosc2,2020-08-06,10,1,10,10,10,
c-blosc2,2020-08-09,11,1,11,11,11,
c-blosc2,2020-08-19,12,1,12,12,12,
c-blosc2,2020-08-30,13,1,13,13,13,
c-blosc2,2020-09-09,14,1,14,14,14,
c-blosc2,2020-09-12,15,1,15,15,15,
c-blosc2,2020-09-14,16,1,16,16,16,
c-blosc2,2020-09-20,17,1,17,17,17,
c-blosc2,2020-09-22,18,1,18,18,18,
c-blosc2,2020-09-23,19,1,19,19,19,4
c-blosc2,2020-09-24,20,1,20,20,20,6
c-blosc2,2020-09-25,21,1,21,21,21,1
c-blosc2,2020-09-26,22,1,22,22,22,1
c-blosc2,2020-10-06,23,1,23,23,23,
c-blosc2,2020-10-07,24,1,24,24,24,2
c-blosc2,2020-10-12,25,1,25,25,25,
c-blosc2,2020-10-16,26,1,26,26,26,
c-blosc2,2020-10-17,27,1,27,27,27,1
c-blosc2,2020-10-18,28,1,28,28,28,6
c-blosc2,2020-10-19,29,1,29,29,29,3
c-blosc2,2020-10-20,30,1,30,30,30,1
c-blosc2,2020-10-21,31,1,31,31,31,1
c-blosc2,2020-10-22,32,1,32,32,32,4
c-blosc2,2020-10-23,33,1,33,33,33,10
c-blosc2,2020-10-24,34,1,34,34,34,3
c-blosc2,2020-11-02,35,1,35,35,35,
c-blosc2,2020-11-07,36,1,36,36,36,
c-blosc2,2020-11-09,37,1,37,37,37,
c-blosc2,2020-11-11,38,1,38,38,38,
c-blosc2,2020-11-12,39,1,39,39,39,7
c-blosc2,2020-11-18,40,1,40,40,40,
c-blosc2,2020-11-19,41,1,41,41,41,2
c-blosc2,2020-11-20,42,1,42,42,42,1
c-blosc2,2020-11-21,43,1,43,43,43,2
c-blosc2,2020-11-22,44,1,44,44,44,3
c-blosc2,2020-11-23,45,1,45,45,45,5
c-blosc2,2020-11-24,46,1,46,46,46,18
c-blosc2,2020-11-27,47,1,47,47,47,
c-blosc2,2020-11-28,48,1,48,48,48,2
c-blosc2,2020-12-09,49,1,49,49,49,
c-blosc2,2020-12-10,50,1,50,50,50,1
c-blosc2,2020-12-17,51,1,51,51,51,
c-blosc2,2020-12-21,52,1,52,52,52,
c-blosc2,2020-12-22,53,1,53,53,53,2
c-blosc2,2020-12-23,54,1,54,54,54,2
c-blosc2,2020-12-25,55,1,55,55,55,
c-blosc2,2020-12-28,56,1,56,56,56,
c-blosc2,2020-12-30,57,1,57,57,57,
c-blosc2,2020-12-31,58,1,58,58,58,8
c-blosc2,2021-01-02,59,1,59,59,59,
c-blosc2,2021-01-03,60,1,60,60,60,2
c-blosc2,2021-01-04,61,1,61,61,61,4
c-blosc2,2021-01-05,62,1,62,62,62,6
c-blosc2,2021-01-06,63,1,63,63,63,13
c-blosc2,2021-01-07,64,1,64,64,64,6
c-blosc2,2021-01-08,65,1,65,65,65,2
c-blosc2,2021-01-09,66,1,66,66,66,5
c-blosc2,2021-01-10,67,1,67,67,67,8
c-blosc2,2021-01-11,68,1,68,68,68,3
c-blosc2,2021-01-12,69,1,69,69,69,5
c-blosc2,2021-01-13,70,1,70,70,70,3
c-blosc2,2021-01-14,71,1,71,71,71,6
c-blosc2,2021-01-15,72,1,72,72,72,8
c-blosc2,2021-01-16,73,1,73,73,73,5
c-blosc2,2021-01-19,74,1,74,74,74,
c-blosc2,2021-01-20,75,1,75,75,75,1
c-blosc2,2021-01-25,76,1,76,76,76,
c-blosc2,2021-01-26,77,1,77,77,77,3
c-blosc2,2021-01-27,78,1,78,78,78,8
c-blosc2,2021-01-28,79,1,79,79,79,8
c-blosc2,2021-01-29,80,1,80,80,80,5
c-blosc2,2021-01-30,81,1,81,81,81,8
c-blosc2,2021-01-31,82,1,82,82,82,3
c-blosc2,2021-02-01,83,1,83,83,83,9
c-blosc2,2021-02-02,84,1,84,84,84,3
c-blosc2,2021-02-03,85,1,85,85,85,7
c-blosc2,2021-02-04,86,1,86,86,86,3
c-blosc2,2021-02-05,87,1,87,87,87,1
c-blosc2,2021-02-08,88,1,88,88,88,
c-blosc2,2021-02-09,89,1,89,89,89,22
c-blosc2,2021-02-10,90,1,90,90,90,1
c-blosc2,2021-02-11,91,1,91,91,91,4
c-blosc2,2021-02-13,92,1,92,92,92,
c-blosc2,2021-02-16,93,1,93,93,93,
c-blosc2,2021-02-17,94,1,94,94,94,5
c-blosc2,2021-02-18,95,1,95,95,95,1
c-blosc2,2021-02-19,96,1,96,96,96,1
c-blosc2,2021-02-20,97,1,97,97,97,2
c-blosc2,2021-02-24,98,1,98,98,98,
c-blosc2,2021-02-26,99,1,99,99,99,
c-blosc2,2021-02-28,100,1,100,100,100,
c-blosc2,2021-03-02,101,1,101,101,101,
c-blosc2,2021-03-03,102,1,102,102,102,3
c-blosc2,2021-03-05,103,1,103,103,103,
c-blosc2,2021-03-06,104,1,104,104,104,4
c-blosc2,2021-03-08,105,1,105,105,105,
c-blosc2,2021-03-10,106,1,106,106,106,
c-blosc2,2021-03-12,107,1,107,107,107,
c-blosc2,2021-03-13,108,1,108,108,108,1
c-blosc2,2021-03-14,109,1,109,109,109,1
c-blosc2,2021-03-15,110,1,110,110,110,1
c-blosc2,2021-03-19,111,1,111,111,111,
c-blosc2,2021-03-20,112,1,112,112,112,1
c-blosc2,2021-03-21,113,1,113,113,113,6
c-blosc2,2021-03-23,114,1,114,114,114,
c-blosc2,2021-03-25,115,1,115,115,115,
c-blosc2,2021-03-26,116,1,116,116,116,1
c-blosc2,2021-03-28,117,1,117,117,117,
c-blosc2,2021-03-31,118,1,118,118,118,
c-blosc2,2021-04-03,119,1,119,119,119,
c-blosc2,2021-04-08,120,1,120,120,120,
c-blosc2,2021-04-13,121,1,121,121,121,
c-blosc2,2021-04-14,122,1,122,122,122,11
c-blosc2,2021-04-15,123,1,123,123,123,1
c-blosc2,2021-04-16,124,1,124,124,124,12
c-blosc2,2021-04-23,125,1,125,125,125,
c-blosc2,2021-04-26,126,1,126,126,126,
c-blosc2,2021-04-30,127,1,127,127,127,
c-blosc2,2021-05-01,128,1,128,128,128,19
c-blosc2,2021-05-05,129,1,129,129,129,
c-blosc2,2021-05-06,130,1,130,130,130,2
c-blosc2,2021-05-07,131,1,131,131,131,2
c-blosc2,2021-05-08,132,1,132,132,132,13
c-blosc2,2021-05-11,133,1,133,133,133,
c-blosc2,2021-05-12,134,1,134,134,134,3
c-blosc2,2021-05-13,135,1,135,135,135,1
c-blosc2,2021-05-15,136,1,136,136,136,
c-blosc2,2021-05-17,137,1,137,137,137,
c-blosc2,2021-05-18,138,1,138,138,138,3
c-blosc2,2021-05-19,139,1,139,139,139,2
c-blosc2,2021-05-20,140,1,140,140,140,2
c-blosc2,2021-05-21,141,1,141,141,141,7
c-blosc2,2021-05-22,142,1,142,142,142,6
c-blosc2,2021-05-23,143,1,143,143,143,6
c-blosc2,2021-05-24,144,1,144,144,144,1
c-blosc2,2021-05-25,145,1,145,145,145,3
c-blosc2,2021-05-26,146,1,146,146,146,2
c-blosc2,2021-05-27,147,1,147,147,147,2
c-blosc2,2021-05-28,148,1,148,148,148,4
c-blosc2,2021-05-29,149,1,149,149,149,1
c-blosc2,2021-05-30,150,1,150,150,150,2
