project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
icu,2018-09-28,1,1,1,1,1,
icu,2018-09-29,2,1,2,2,2,216
icu,2018-10-02,3,1,3,3,3,
icu,2018-10-05,4,1,4,4,4,
icu,2018-10-06,5,1,5,5,5,2
icu,2018-10-07,6,1,6,6,6,2
icu,2018-10-09,7,1,7,7,7,
icu,2018-10-10,8,1,8,8,8,3
icu,2018-10-11,9,1,9,9,9,1
icu,2018-10-13,10,1,10,10,10,
icu,2018-10-18,11,1,11,11,11,
icu,2018-10-19,12,1,12,12,12,1
icu,2018-10-20,13,1,13,13,13,5
icu,2018-10-21,14,1,14,14,14,2
icu,2018-10-25,15,1,15,15,15,
icu,2018-10-26,16,1,16,16,16,3
icu,2018-10-27,17,1,17,17,17,2
icu,2018-10-30,18,1,18,18,18,
icu,2018-10-31,19,1,19,19,19,7
icu,2018-11-01,20,1,20,20,20,5
icu,2018-11-03,21,1,21,21,21,
icu,2018-11-06,22,1,22,22,22,
icu,2018-11-07,23,1,23,23,23,1
icu,2018-11-08,24,1,24,24,24,2
icu,2018-11-09,25,1,25,25,25,5
icu,2018-11-10,26,1,26,26,26,1
icu,2018-11-13,27,1,27,27,27,
icu,2018-11-14,28,1,28,28,28,1
icu,2018-11-16,29,1,29,29,29,
icu,2018-11-17,30,1,30,30,30,1
icu,2018-11-20,31,1,31,31,31,
icu,2018-11-21,32,1,32,32,32,4
icu,2018-11-22,33,1,33,33,33,3
icu,2018-11-28,34,1,34,34,34,
icu,2018-12-01,35,1,35,35,35,
icu,2018-12-07,36,1,36,36,36,
icu,2018-12-09,37,1,37,37,37,
icu,2018-12-12,38,1,38,38,38,
icu,2018-12-13,39,1,39,39,39,1
icu,2018-12-14,40,1,40,40,40,5
icu,2018-12-15,41,1,41,41,41,3
icu,2018-12-16,42,1,42,42,42,3
icu,2018-12-19,43,1,43,43,43,
icu,2018-12-20,44,1,44,44,44,1
icu,2018-12-22,45,1,45,45,45,
icu,2019-01-04,46,1,46,46,46,
icu,2019-01-05,47,1,47,47,47,1
icu,2019-01-10,48,1,48,48,48,
icu,2019-01-11,49,1,49,49,49,1
icu,2019-01-17,50,1,50,50,50,
icu,2019-01-18,51,1,51,51,51,2
icu,2019-01-19,52,1,52,52,52,3
icu,2019-01-20,53,1,53,53,53,3
icu,2019-01-25,54,1,54,54,54,
icu,2019-01-26,55,1,55,55,55,6
icu,2019-01-27,56,1,56,56,56,10
icu,2019-01-29,57,1,57,57,57,
icu,2019-01-30,58,1,58,58,58,3
icu,2019-01-31,59,1,59,59,59,1
icu,2019-02-01,60,1,60,60,60,1
icu,2019-02-03,61,1,61,61,61,
icu,2019-02-06,62,1,62,62,62,
icu,2019-02-07,63,1,63,63,63,6
icu,2019-02-08,64,1,64,64,64,11
icu,2019-02-09,65,1,65,65,65,9
icu,2019-02-10,66,1,66,66,66,10
icu,2019-02-12,67,1,67,67,67,
icu,2019-02-13,68,1,68,68,68,3
icu,2019-02-14,69,1,69,69,69,2
icu,2019-02-15,70,1,70,70,70,4
icu,2019-02-16,71,1,71,71,71,8
icu,2019-02-17,72,1,72,72,72,8
icu,2019-02-19,73,1,73,73,73,
icu,2019-02-20,74,1,74,74,74,3
icu,2019-02-21,75,1,75,75,75,6
icu,2019-02-22,76,1,76,76,76,13
icu,2019-02-23,77,1,77,77,77,16
icu,2019-02-24,78,1,78,78,78,6
icu,2019-02-25,79,1,79,79,79,4
icu,2019-02-26,80,1,80,80,80,1
icu,2019-02-27,81,1,81,81,81,6
icu,2019-02-28,82,1,82,82,82,1
icu,2019-03-01,83,1,83,83,83,8
icu,2019-03-03,84,1,84,84,84,
icu,2019-03-05,85,1,85,85,85,
icu,2019-03-07,86,1,86,86,86,
icu,2019-03-08,87,1,87,87,87,1
icu,2019-03-09,88,1,88,88,88,3
icu,2019-03-10,89,1,89,89,89,3
icu,2019-03-13,90,1,90,90,90,
icu,2019-03-14,91,1,91,91,91,5
icu,2019-03-15,92,1,92,92,92,7
icu,2019-03-16,93,1,93,93,93,3
icu,2019-03-20,94,1,94,94,94,
icu,2019-03-21,95,1,95,95,95,5
icu,2019-03-22,96,1,96,96,96,4
icu,2019-03-23,97,1,97,97,97,1
icu,2019-03-24,98,1,98,98,98,4
icu,2019-03-26,99,1,99,99,99,
icu,2019-04-03,100,1,100,100,100,
icu,2019-04-04,101,1,101,101,101,2
icu,2019-04-05,102,1,102,102,102,7
icu,2019-04-06,103,1,103,103,103,1
icu,2019-04-07,104,1,104,104,104,4
