project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
libjxl,2021-06-08,1,1,1,1,1,
libjxl,2021-06-09,2,1,2,2,2,2
libjxl,2021-06-10,3,1,3,3,3,11
libjxl,2021-06-11,4,1,4,4,4,11
libjxl,2021-06-12,5,1,5,5,5,11
libjxl,2021-06-15,6,1,6,6,6,
libjxl,2021-06-16,7,1,7,7,7,5
libjxl,2021-06-17,8,1,8,8,8,6
libjxl,2021-06-18,9,1,9,9,9,9
libjxl,2021-06-19,10,1,10,10,10,7
libjxl,2021-06-20,11,1,11,11,11,4
libjxl,2021-06-22,12,1,12,12,12,
libjxl,2021-06-24,13,1,13,13,13,
libjxl,2021-06-25,14,1,14,14,14,2
libjxl,2021-06-26,15,1,15,15,15,4
libjxl,2021-06-27,16,1,16,16,16,5
libjxl,2021-06-28,17,1,17,17,17,1
libjxl,2021-06-29,18,1,18,18,18,1
libjxl,2021-06-30,19,1,19,19,19,5
libjxl,2021-07-01,20,1,20,20,20,8
libjxl,2021-07-02,21,1,21,21,21,2
libjxl,2021-07-03,22,1,22,22,22,6
libjxl,2021-07-04,23,1,23,23,23,10
libjxl,2021-07-06,24,1,24,24,24,
libjxl,2021-07-07,25,1,25,25,25,6
libjxl,2021-07-08,26,1,26,26,26,4
libjxl,2021-07-09,27,1,27,27,27,11
libjxl,2021-07-10,28,1,28,28,28,4
libjxl,2021-07-13,29,1,29,29,29,
libjxl,2021-07-15,30,1,30,30,30,
libjxl,2021-07-16,31,1,31,31,31,1
libjxl,2021-07-19,32,1,32,32,32,
libjxl,2021-07-21,33,1,33,33,33,
libjxl,2021-07-22,34,1,34,34,34,3
libjxl,2021-07-23,35,1,35,35,35,3
libjxl,2021-07-24,36,1,36,36,36,4
libjxl,2021-07-27,37,1,37,37,37,
libjxl,2021-07-28,38,1,38,38,38,7
libjxl,2021-07-29,39,1,39,39,39,8
libjxl,2021-07-30,40,1,40,40,40,6
libjxl,2021-07-31,41,1,41,41,41,2
libjxl,2021-08-03,42,1,42,42,42,
libjxl,2021-08-04,43,1,43,43,43,6
libjxl,2021-08-05,44,1,44,44,44,6
libjxl,2021-08-06,45,1,45,45,45,1
libjxl,2021-08-07,46,1,46,46,46,2
libjxl,2021-08-10,47,1,47,47,47,
libjxl,2021-08-11,48,1,48,48,48,1
libjxl,2021-08-13,49,1,49,49,49,
libjxl,2021-08-14,50,1,50,50,50,3
libjxl,2021-08-17,51,1,51,51,51,
libjxl,2021-08-18,52,1,52,52,52,6
libjxl,2021-08-19,53,1,53,53,53,2
libjxl,2021-08-21,54,1,54,54,54,
libjxl,2021-08-25,55,1,55,55,55,
libjxl,2021-08-26,56,1,56,56,56,2
libjxl,2021-08-31,57,1,57,57,57,
libjxl,2021-09-01,58,1,58,58,58,2
libjxl,2021-09-02,59,1,59,59,59,6
libjxl,2021-09-04,60,1,60,60,60,
libjxl,2021-09-07,61,1,61,61,61,
libjxl,2021-09-08,62,1,62,62,62,2
libjxl,2021-09-09,63,1,63,63,63,8
libjxl,2021-09-10,64,1,64,64,64,8
libjxl,2021-09-11,65,1,65,65,65,5
libjxl,2021-09-16,66,1,66,66,66,
libjxl,2021-09-17,67,1,67,67,67,3
libjxl,2021-09-18,68,1,68,68,68,6
libjxl,2021-09-21,69,1,69,69,69,
libjxl,2021-09-22,70,1,70,70,70,2
libjxl,2021-09-23,71,1,71,71,71,2
libjxl,2021-09-24,72,1,72,72,72,5
libjxl,2021-09-25,73,1,73,73,73,4
libjxl,2021-09-27,74,1,74,74,74,
libjxl,2021-09-28,75,1,75,75,75,2
libjxl,2021-09-29,76,1,76,76,76,2
libjxl,2021-09-30,77,1,77,77,77,11
libjxl,2021-10-01,78,1,78,78,78,2
libjxl,2021-10-02,79,1,79,79,79,3
libjxl,2021-10-04,80,1,80,80,80,
libjxl,2021-10-05,81,1,81,81,81,2
libjxl,2021-10-06,82,1,82,82,82,2
libjxl,2021-10-08,83,1,83,83,83,
libjxl,2021-10-11,84,1,84,84,84,
libjxl,2021-10-15,85,1,85,85,85,
libjxl,2021-10-16,86,1,86,86,86,4
libjxl,2021-10-19,87,1,87,87,87,
libjxl,2021-10-20,88,1,88,88,88,6
libjxl,2021-10-21,89,1,89,89,89,3
libjxl,2021-10-22,90,1,90,90,90,6
libjxl,2021-10-23,91,1,91,91,91,1
libjxl,2021-10-26,92,1,92,92,92,
libjxl,2021-10-27,93,1,93,93,93,5
libjxl,2021-10-28,94,1,94,94,94,5
libjxl,2021-10-29,95,1,95,95,95,5
libjxl,2021-10-30,96,1,96,96,96,6
libjxl,2021-11-02,97,1,97,97,97,
libjxl,2021-11-03,98,1,98,98,98,4
libjxl,2021-11-05,99,1,99,99,99,
libjxl,2021-11-06,100,1,100,100,100,6
libjxl,2021-11-09,101,1,101,101,101,
libjxl,2021-11-10,102,1,102,102,102,7
libjxl,2021-11-11,103,1,103,103,103,7
libjxl,2021-11-12,104,1,104,104,104,3
libjxl,2021-11-19,105,1,105,105,105,
libjxl,2021-11-20,106,1,106,106,106,3
libjxl,2021-11-23,107,1,107,107,107,
libjxl,2021-11-24,108,1,108,108,108,10
libjxl,2021-11-25,109,1,109,109,109,4
libjxl,2021-11-26,110,1,110,110,110,1
libjxl,2021-11-30,111,1,111,111,111,
libjxl,2021-12-01,112,1,112,112,112,5
libjxl,2021-12-02,113,1,113,113,113,3
libjxl,2021-12-03,114,1,114,114,114,7
libjxl,2021-12-04,115,1,115,115,115,5
libjxl,2021-12-07,116,1,116,116,116,
libjxl,2021-12-08,117,1,117,117,117,2
libjxl,2021-12-09,118,1,118,118,118,4
libjxl,2021-12-10,119,1,119,119,119,12
libjxl,2021-12-11,120,1,120,120,120,6
libjxl,2021-12-14,121,1,121,121,121,
libjxl,2021-12-15,122,1,122,122,122,11
libjxl,2021-12-16,123,1,123,123,123,6
libjxl,2021-12-17,124,1,124,124,124,8
libjxl,2021-12-21,125,1,125,125,125,
libjxl,2021-12-22,126,1,126,126,126,4
libjxl,2021-12-23,127,1,127,127,127,5
libjxl,2021-12-24,128,1,128,128,128,4
libjxl,2021-12-25,129,1,129,129,129,3
libjxl,2021-12-29,130,1,130,130,130,
libjxl,2021-12-30,131,1,131,131,131,4
libjxl,2021-12-31,132,1,132,132,132,2
libjxl,2022-01-01,133,1,133,133,133,8
libjxl,2022-01-04,134,1,134,134,134,
libjxl,2022-01-05,135,1,135,135,135,2
libjxl,2022-01-07,136,1,136,136,136,
libjxl,2022-01-11,137,1,137,137,137,
libjxl,2022-01-12,138,1,138,138,138,3
libjxl,2022-01-13,139,1,139,139,139,5
libjxl,2022-01-14,140,1,140,140,140,2
libjxl,2022-01-18,141,1,141,141,141,
libjxl,2022-01-19,142,1,142,142,142,3
libjxl,2022-01-21,143,1,143,143,143,
libjxl,2022-01-22,144,1,144,144,144,5
libjxl,2022-01-25,145,1,145,145,145,
libjxl,2022-01-26,146,1,146,146,146,4
libjxl,2022-01-27,147,1,147,147,147,3
libjxl,2022-01-29,148,1,148,148,148,
libjxl,2022-02-01,149,1,149,149,149,
libjxl,2022-02-02,150,1,150,150,150,7
libjxl,2022-02-03,151,1,151,151,151,4
libjxl,2022-02-04,152,1,152,152,152,7
libjxl,2022-02-05,153,1,153,153,153,1
libjxl,2022-02-08,154,1,154,154,154,
libjxl,2022-02-09,155,1,155,155,155,1
libjxl,2022-02-11,156,1,156,156,156,
libjxl,2022-02-15,157,1,157,157,157,
libjxl,2022-02-16,158,1,158,158,158,2
libjxl,2022-02-17,159,1,159,159,159,1
libjxl,2022-02-18,160,1,160,160,160,2
libjxl,2022-02-19,161,1,161,161,161,2
libjxl,2022-02-22,162,1,162,162,162,
libjxl,2022-02-23,163,1,163,163,163,4
libjxl,2022-02-25,164,1,164,164,164,
libjxl,2022-03-01,165,1,165,165,165,
libjxl,2022-03-05,166,1,166,166,166,
libjxl,2022-03-08,167,1,167,167,167,
libjxl,2022-03-09,168,1,168,168,168,7
libjxl,2022-03-10,169,1,169,169,169,3
libjxl,2022-03-11,170,1,170,170,170,3
libjxl,2022-03-12,171,1,171,171,171,5
libjxl,2022-03-15,172,1,172,172,172,
libjxl,2022-03-16,173,1,173,173,173,1
libjxl,2022-03-17,174,1,174,174,174,2
libjxl,2022-03-18,175,1,175,175,175,4
libjxl,2022-03-19,176,1,176,176,176,1
libjxl,2022-03-22,177,1,177,177,177,
libjxl,2022-03-23,178,1,178,178,178,8
libjxl,2022-03-24,179,1,179,179,179,4
libjxl,2022-03-25,180,1,180,180,180,1
libjxl,2022-03-26,181,1,181,181,181,8
libjxl,2022-03-29,182,1,182,182,182,
libjxl,2022-03-30,183,1,183,183,183,4
libjxl,2022-03-31,184,1,184,184,184,12
libjxl,2022-04-01,185,1,185,185,185,1
libjxl,2022-04-02,186,1,186,186,186,6
libjxl,2022-04-03,187,1,187,187,187,1
libjxl,2022-04-07,188,1,188,188,188,
libjxl,2022-04-08,189,1,189,189,189,4
libjxl,2022-04-09,190,1,190,190,190,4
libjxl,2022-04-12,191,1,191,191,191,
libjxl,2022-04-13,192,1,192,192,192,5
libjxl,2022-04-14,193,1,193,193,193,3
libjxl,2022-04-15,194,1,194,194,194,3
libjxl,2022-04-16,195,1,195,195,195,1
libjxl,2022-04-20,196,1,196,196,196,
libjxl,2022-04-22,197,1,197,197,197,
libjxl,2022-04-23,198,1,198,198,198,4
libjxl,2022-04-24,199,1,199,199,199,3
libjxl,2022-04-26,200,1,200,200,200,
libjxl,2022-04-27,201,1,201,201,201,6
libjxl,2022-05-03,202,1,202,202,202,
libjxl,2022-05-05,203,1,203,203,203,
libjxl,2022-05-06,204,1,204,204,204,4
libjxl,2022-05-09,205,1,205,205,205,
libjxl,2022-05-11,206,1,206,206,206,
libjxl,2022-05-12,207,1,207,207,207,7
libjxl,2022-05-13,208,1,208,208,208,2
libjxl,2022-05-14,209,1,209,209,209,4
libjxl,2022-05-15,210,1,210,210,210,4
libjxl,2022-05-16,211,1,211,211,211,1
libjxl,2022-05-17,212,1,212,212,212,1
libjxl,2022-05-20,213,1,213,213,213,
libjxl,2022-05-21,214,1,214,214,214,3
libjxl,2022-05-24,215,1,215,215,215,
libjxl,2022-05-25,216,1,216,216,216,3
libjxl,2022-05-26,217,1,217,217,217,3
libjxl,2022-05-27,218,1,218,218,218,4
libjxl,2022-05-28,219,1,219,219,219,2
libjxl,2022-05-31,220,1,220,220,220,
libjxl,2022-06-01,221,1,221,221,221,5
libjxl,2022-06-02,222,1,222,222,222,3
libjxl,2022-06-03,223,1,223,223,223,3
libjxl,2022-06-04,224,1,224,224,224,2
libjxl,2022-06-08,225,1,225,225,225,
libjxl,2022-06-10,226,1,226,226,226,
libjxl,2022-06-14,227,1,227,227,227,
libjxl,2022-06-16,228,1,228,228,228,
libjxl,2022-06-17,229,1,229,229,229,8
libjxl,2022-06-18,230,1,230,230,230,7
libjxl,2022-06-21,231,1,231,231,231,
libjxl,2022-06-22,232,1,232,232,232,3
libjxl,2022-06-23,233,1,233,233,233,2
libjxl,2022-06-24,234,1,234,234,234,1
libjxl,2022-06-25,235,1,235,235,235,2
libjxl,2022-06-28,236,1,236,236,236,
libjxl,2022-06-29,237,1,237,237,237,3
libjxl,2022-06-30,238,1,238,238,238,1
libjxl,2022-07-01,239,1,239,239,239,8
libjxl,2022-07-02,240,1,240,240,240,5
libjxl,2022-07-04,241,1,241,241,241,
libjxl,2022-07-05,242,1,242,242,242,2
libjxl,2022-07-06,243,1,243,243,243,10
libjxl,2022-07-07,244,1,244,244,244,3
libjxl,2022-07-08,245,1,245,245,245,2
libjxl,2022-07-09,246,1,246,246,246,3
libjxl,2022-07-12,247,1,247,247,247,
libjxl,2022-07-13,248,1,248,248,248,5
libjxl,2022-07-14,249,1,249,249,249,4
libjxl,2022-07-15,250,1,250,250,250,10
libjxl,2022-07-16,251,1,251,251,251,9
libjxl,2022-07-17,252,1,252,252,252,4
libjxl,2022-07-19,253,1,253,253,253,
libjxl,2022-07-20,254,1,254,254,254,2
libjxl,2022-07-21,255,1,255,255,255,5
libjxl,2022-07-22,256,1,256,256,256,4
libjxl,2022-07-24,257,1,257,257,257,
libjxl,2022-07-26,258,1,258,258,258,
libjxl,2022-07-27,259,1,259,259,259,4
libjxl,2022-07-28,260,1,260,260,260,2
libjxl,2022-07-29,261,1,261,261,261,3
libjxl,2022-07-31,262,1,262,262,262,
libjxl,2022-08-03,263,1,263,263,263,
libjxl,2022-08-04,264,1,264,264,264,3
libjxl,2022-08-05,265,1,265,265,265,3
libjxl,2022-08-06,266,1,266,266,266,5
libjxl,2022-08-09,267,1,267,267,267,
libjxl,2022-08-10,268,1,268,268,268,1
libjxl,2022-08-12,269,1,269,269,269,
libjxl,2022-08-13,270,1,270,270,270,3
libjxl,2022-08-16,271,1,271,271,271,
libjxl,2022-08-17,272,1,272,272,272,4
libjxl,2022-08-18,273,1,273,273,273,3
libjxl,2022-08-21,274,1,274,274,274,
libjxl,2022-08-24,275,1,275,275,275,
libjxl,2022-08-25,276,1,276,276,276,2
libjxl,2022-08-26,277,1,277,277,277,2
libjxl,2022-08-30,278,1,278,278,278,
libjxl,2022-08-31,279,1,279,279,279,2
libjxl,2022-09-02,280,1,280,280,280,
libjxl,2022-09-03,281,1,281,281,281,1
libjxl,2022-09-06,282,1,282,282,282,
libjxl,2022-09-07,283,1,283,283,283,2
libjxl,2022-09-08,284,1,284,284,284,1
libjxl,2022-09-10,285,1,285,285,285,
libjxl,2022-09-13,286,1,286,286,286,
libjxl,2022-09-14,287,1,287,287,287,3
libjxl,2022-09-15,288,1,288,288,288,1
libjxl,2022-09-16,289,1,289,289,289,1
libjxl,2022-09-20,290,1,290,290,290,
