project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
libxml2,2018-08-25,1,1,1,1,1,
libxml2,2018-09-01,2,1,2,2,2,
libxml2,2018-09-02,3,1,3,3,3,1
libxml2,2018-09-04,4,1,4,4,4,
libxml2,2018-09-05,5,1,5,5,5,1
libxml2,2018-09-12,6,1,6,6,6,
libxml2,2018-09-13,7,1,7,7,7,2
libxml2,2018-09-23,8,1,8,8,8,
libxml2,2018-09-26,9,1,9,9,9,
libxml2,2018-10-14,10,1,10,10,10,
libxml2,2018-11-07,11,1,11,11,11,
libxml2,2018-11-23,12,1,12,12,12,
libxml2,2018-11-30,13,1,13,13,13,
libxml2,2018-12-02,14,1,14,14,14,
libxml2,2019-01-02,15,1,15,15,15,
libxml2,2019-01-04,16,1,16,16,16,
libxml2,2019-01-07,17,1,17,17,17,
libxml2,2019-01-08,18,1,18,18,18,11
libxml2,2019-02-16,19,1,19,19,19,
libxml2,2019-02-26,20,1,20,20,20,
libxml2,2019-03-01,21,1,21,21,21,
libxml2,2019-03-06,22,1,22,22,22,
libxml2,2019-03-09,23,1,23,23,23,
libxml2,2019-03-14,24,1,24,24,24,
libxml2,2019-04-09,25,1,25,25,25,
libxml2,2019-04-10,26,1,26,26,26,1
libxml2,2019-04-12,27,1,27,27,27,
libxml2,2019-04-13,28,1,28,28,28,4
libxml2,2019-04-17,29,1,29,29,29,
libxml2,2019-04-21,30,1,30,30,30,
libxml2,2019-04-23,31,1,31,31,31,
libxml2,2019-04-24,32,1,32,32,32,2
libxml2,2019-04-26,33,1,33,33,33,
libxml2,2019-05-02,34,1,34,34,34,
libxml2,2019-05-09,35,1,35,35,35,
libxml2,2019-05-11,36,1,36,36,36,
libxml2,2019-05-15,37,1,37,37,37,
libxml2,2019-05-16,38,1,38,38,38,1
libxml2,2019-05-17,39,1,39,39,39,1
libxml2,2019-05-21,40,1,40,40,40,
libxml2,2019-06-26,41,1,41,41,41,
libxml2,2019-07-09,42,1,42,42,42,
libxml2,2019-07-18,43,1,43,43,43,
libxml2,2019-07-31,44,1,44,44,44,
libxml2,2019-08-02,45,1,45,45,45,
libxml2,2019-08-03,46,1,46,46,46,1
libxml2,2019-08-26,47,1,47,47,47,
