project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
ndpi,2019-11-07,1,1,1,1,1,
ndpi,2019-11-08,2,1,2,2,2,1
ndpi,2019-11-09,3,1,3,3,3,1
ndpi,2019-11-11,4,1,4,4,4,
ndpi,2019-11-13,5,1,5,5,5,
ndpi,2019-11-14,6,1,6,6,6,2
ndpi,2019-11-15,7,1,7,7,7,2
ndpi,2019-11-16,8,1,8,8,8,1
ndpi,2019-11-18,9,1,9,9,9,
ndpi,2019-11-19,10,1,10,10,10,3
ndpi,2019-11-20,11,1,11,11,11,1
ndpi,2019-11-21,12,1,12,12,12,3
ndpi,2019-11-22,13,1,13,13,13,2
ndpi,2019-11-24,14,1,14,14,14,
ndpi,2019-11-26,15,1,15,15,15,
ndpi,2019-11-27,16,1,16,16,16,1
ndpi,2019-11-29,17,1,17,17,17,
ndpi,2019-12-02,18,1,18,18,18,
ndpi,2019-12-05,19,1,19,19,19,
ndpi,2019-12-06,20,1,20,20,20,6
ndpi,2019-12-09,21,1,21,21,21,
ndpi,2019-12-10,22,1,22,22,22,7
ndpi,2019-12-12,23,1,23,23,23,
ndpi,2019-12-14,24,1,24,24,24,
ndpi,2019-12-15,25,1,25,25,25,2
ndpi,2019-12-16,26,1,26,26,26,2
ndpi,2019-12-17,27,1,27,27,27,1
ndpi,2019-12-18,28,1,28,28,28,11
ndpi,2019-12-19,29,1,29,29,29,1
ndpi,2019-12-24,30,1,30,30,30,
ndpi,2019-12-30,31,1,31,31,31,
ndpi,2020-01-02,32,1,32,32,32,
ndpi,2020-01-03,33,1,33,33,33,2
ndpi,2020-01-06,34,1,34,34,34,
ndpi,2020-01-07,35,1,35,35,35,7
ndpi,2020-01-09,36,1,36,36,36,
ndpi,2020-01-10,37,1,37,37,37,4
ndpi,2020-01-11,38,1,38,38,38,3
ndpi,2020-01-14,39,1,39,39,39,
ndpi,2020-01-15,40,1,40,40,40,2
ndpi,2020-01-16,41,1,41,41,41,3
ndpi,2020-01-20,42,1,42,42,42,
ndpi,2020-01-21,43,1,43,43,43,1
ndpi,2020-01-22,44,1,44,44,44,1
ndpi,2020-01-23,45,1,45,45,45,1
ndpi,2020-01-24,46,1,46,46,46,2
ndpi,2020-01-25,47,1,47,47,47,3
ndpi,2020-01-26,48,1,48,48,48,15
ndpi,2020-01-29,49,1,49,49,49,
ndpi,2020-01-31,50,1,50,50,50,
ndpi,2020-02-01,51,1,51,51,51,4
ndpi,2020-02-02,52,1,52,52,52,6
ndpi,2020-02-03,53,1,53,53,53,3
ndpi,2020-02-04,54,1,54,54,54,7
ndpi,2020-02-05,55,1,55,55,55,1
ndpi,2020-02-06,56,1,56,56,56,7
ndpi,2020-02-07,57,1,57,57,57,1
ndpi,2020-02-08,58,1,58,58,58,3
ndpi,2020-02-09,59,1,59,59,59,2
ndpi,2020-02-11,60,1,60,60,60,
ndpi,2020-02-13,61,1,61,61,61,
ndpi,2020-02-14,62,1,62,62,62,2
ndpi,2020-02-15,63,1,63,63,63,4
ndpi,2020-02-19,64,1,64,64,64,
ndpi,2020-02-20,65,1,65,65,65,2
ndpi,2020-02-21,66,1,66,66,66,6
ndpi,2020-02-22,67,1,67,67,67,1
ndpi,2020-02-24,68,1,68,68,68,
ndpi,2020-02-27,69,1,69,69,69,
ndpi,2020-02-29,70,1,70,70,70,
ndpi,2020-03-02,71,1,71,71,71,
ndpi,2020-03-13,72,1,72,72,72,
ndpi,2020-03-18,73,1,73,73,73,
ndpi,2020-03-20,74,1,74,74,74,
ndpi,2020-03-21,75,1,75,75,75,4
ndpi,2020-03-24,76,1,76,76,76,
ndpi,2020-03-25,77,1,77,77,77,16
ndpi,2020-03-26,78,1,78,78,78,1
ndpi,2020-03-27,79,1,79,79,79,8
ndpi,2020-03-28,80,1,80,80,80,1
ndpi,2020-04-01,81,1,81,81,81,
ndpi,2020-04-03,82,1,82,82,82,
ndpi,2020-04-04,83,1,83,83,83,3
ndpi,2020-04-06,84,1,84,84,84,
ndpi,2020-04-08,85,1,85,85,85,
ndpi,2020-04-09,86,1,86,86,86,2
ndpi,2020-04-11,87,1,87,87,87,
ndpi,2020-04-14,88,1,88,88,88,
ndpi,2020-04-16,89,1,89,89,89,
ndpi,2020-04-17,90,1,90,90,90,20
ndpi,2020-04-18,91,1,91,91,91,2
ndpi,2020-04-19,92,1,92,92,92,4
ndpi,2020-04-20,93,1,93,93,93,2
ndpi,2020-04-21,94,1,94,94,94,1
ndpi,2020-04-22,95,1,95,95,95,5
ndpi,2020-04-23,96,1,96,96,96,4
ndpi,2020-04-24,97,1,97,97,97,6
ndpi,2020-04-25,98,1,98,98,98,2
ndpi,2020-04-27,99,1,99,99,99,
ndpi,2020-04-28,100,1,100,100,100,1
ndpi,2020-05-01,101,1,101,101,101,
ndpi,2020-05-04,102,1,102,102,102,
ndpi,2020-05-06,103,1,103,103,103,
ndpi,2020-05-07,104,1,104,104,104,3
ndpi,2020-05-08,105,1,105,105,105,6
ndpi,2020-05-09,106,1,106,106,106,2
ndpi,2020-05-10,107,1,107,107,107,2
ndpi,2020-05-11,108,1,108,108,108,1
ndpi,2020-05-12,109,1,109,109,109,4
ndpi,2020-05-13,110,1,110,110,110,1
ndpi,2020-05-14,111,1,111,111,111,3
ndpi,2020-05-15,112,1,112,112,112,3
ndpi,2020-05-16,113,1,113,113,113,5
ndpi,2020-05-18,114,1,114,114,114,
ndpi,2020-05-20,115,1,115,115,115,
ndpi,2020-05-21,116,1,116,116,116,1
ndpi,2020-05-22,117,1,117,117,117,7
ndpi,2020-05-23,118,1,118,118,118,2
ndpi,2020-05-25,119,1,119,119,119,
ndpi,2020-05-26,120,1,120,120,120,2
