project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
openthread,2018-08-23,1,1,1,1,1,
openthread,2018-08-24,2,1,2,2,2,3
openthread,2018-08-25,3,1,3,3,3,3
openthread,2018-08-26,4,1,4,4,4,1
openthread,2018-08-28,5,1,5,5,5,
openthread,2018-08-29,6,1,6,6,6,6
openthread,2018-08-30,7,1,7,7,7,5
openthread,2018-08-31,8,1,8,8,8,5
openthread,2018-09-01,9,1,9,9,9,3
openthread,2018-09-02,10,1,10,10,10,1
openthread,2018-09-12,11,1,11,11,11,
openthread,2018-09-13,12,1,12,12,12,10
openthread,2018-09-14,13,1,13,13,13,8
openthread,2018-09-15,14,1,14,14,14,3
openthread,2018-09-16,15,1,15,15,15,4
openthread,2018-09-18,16,1,16,16,16,
openthread,2018-09-19,17,1,17,17,17,1
openthread,2018-09-20,18,1,18,18,18,4
openthread,2018-09-22,19,1,19,19,19,
openthread,2018-09-23,20,1,20,20,20,1
openthread,2018-09-25,21,1,21,21,21,
openthread,2018-09-27,22,1,22,22,22,
openthread,2018-09-28,23,1,23,23,23,2
openthread,2018-09-29,24,1,24,24,24,10
openthread,2018-10-03,25,1,25,25,25,
openthread,2018-10-04,26,1,26,26,26,3
openthread,2018-10-05,27,1,27,27,27,1
openthread,2018-10-06,28,1,28,28,28,4
openthread,2018-10-09,29,1,29,29,29,
openthread,2018-10-10,30,1,30,30,30,8
openthread,2018-10-11,31,1,31,31,31,5
openthread,2018-10-12,32,1,32,32,32,2
openthread,2018-10-13,33,1,33,33,33,4
openthread,2018-10-14,34,1,34,34,34,7
openthread,2018-10-15,35,1,35,35,35,5
openthread,2018-10-16,36,1,36,36,36,4
openthread,2018-10-17,37,1,37,37,37,4
openthread,2018-10-18,38,1,38,38,38,2
openthread,2018-10-19,39,1,39,39,39,13
openthread,2018-10-24,40,1,40,40,40,
openthread,2018-10-25,41,1,41,41,41,7
openthread,2018-10-26,42,1,42,42,42,1
openthread,2018-10-27,43,1,43,43,43,12
openthread,2018-10-30,44,1,44,44,44,
openthread,2018-10-31,45,1,45,45,45,6
openthread,2018-11-01,46,1,46,46,46,7
openthread,2018-11-02,47,1,47,47,47,4
openthread,2018-11-03,48,1,48,48,48,6
openthread,2018-11-04,49,1,49,49,49,8
openthread,2018-11-05,50,1,50,50,50,9
openthread,2018-11-06,51,1,51,51,51,1
openthread,2018-11-07,52,1,52,52,52,2
openthread,2018-11-08,53,1,53,53,53,5
openthread,2018-11-09,54,1,54,54,54,1
openthread,2018-11-15,55,1,55,55,55,
openthread,2018-11-16,56,1,56,56,56,1
openthread,2018-11-18,57,1,57,57,57,
openthread,2018-11-20,58,1,58,58,58,
openthread,2018-11-27,59,1,59,59,59,
openthread,2018-11-28,60,1,60,60,60,4
openthread,2018-11-29,61,1,61,61,61,2
openthread,2018-11-30,62,1,62,62,62,8
openthread,2018-12-01,63,1,63,63,63,1
openthread,2018-12-02,64,1,64,64,64,3
openthread,2018-12-04,65,1,65,65,65,
openthread,2018-12-05,66,1,66,66,66,3
openthread,2018-12-06,67,1,67,67,67,7
openthread,2018-12-07,68,1,68,68,68,1
openthread,2018-12-08,69,1,69,69,69,5
openthread,2018-12-11,70,1,70,70,70,
openthread,2018-12-13,71,1,71,71,71,
openthread,2018-12-22,72,1,72,72,72,
openthread,2018-12-23,73,1,73,73,73,5
openthread,2018-12-25,74,1,74,74,74,
openthread,2018-12-28,75,1,75,75,75,
openthread,2018-12-29,76,1,76,76,76,5
openthread,2018-12-30,77,1,77,77,77,2
openthread,2019-01-03,78,1,78,78,78,
openthread,2019-01-04,79,1,79,79,79,7
openthread,2019-01-05,80,1,80,80,80,8
openthread,2019-01-08,81,1,81,81,81,
openthread,2019-01-10,82,1,82,82,82,
openthread,2019-01-11,83,1,83,83,83,7
openthread,2019-01-12,84,1,84,84,84,2
openthread,2019-01-15,85,1,85,85,85,
openthread,2019-01-16,86,1,86,86,86,3
openthread,2019-01-17,87,1,87,87,87,2
openthread,2019-01-18,88,1,88,88,88,6
openthread,2019-01-19,89,1,89,89,89,6
openthread,2019-01-23,90,1,90,90,90,
openthread,2019-01-24,91,1,91,91,91,5
openthread,2019-01-25,92,1,92,92,92,11
openthread,2019-01-26,93,1,93,93,93,10
openthread,2019-01-29,94,1,94,94,94,
openthread,2019-01-30,95,1,95,95,95,8
openthread,2019-01-31,96,1,96,96,96,6
openthread,2019-02-01,97,1,97,97,97,3
openthread,2019-02-02,98,1,98,98,98,6
openthread,2019-02-03,99,1,99,99,99,4
openthread,2019-02-05,100,1,100,100,100,
openthread,2019-02-06,101,1,101,101,101,6
openthread,2019-02-07,102,1,102,102,102,15
openthread,2019-02-08,103,1,103,103,103,4
openthread,2019-02-09,104,1,104,104,104,2
