project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
php,2019-03-07,1,1,1,1,1,
php,2019-03-08,2,1,2,2,2,10
php,2019-03-09,3,1,3,3,3,27
php,2019-03-11,4,1,4,4,4,
php,2019-03-12,5,1,5,5,5,11
php,2019-03-13,6,1,6,6,6,42
php,2019-03-14,7,1,7,7,7,31
php,2019-03-16,8,1,8,8,8,
php,2019-03-17,9,1,9,9,9,16
php,2019-03-18,10,1,10,10,10,18
php,2019-03-19,11,1,11,11,11,19
php,2019-03-20,12,1,12,12,12,61
php,2019-03-21,13,1,13,13,13,49
php,2019-03-22,14,1,14,14,14,17
php,2019-03-23,15,1,15,15,15,9
php,2019-03-24,16,1,16,16,16,21
php,2019-03-25,17,1,17,17,17,9
php,2019-04-03,18,1,18,18,18,
php,2019-04-04,19,1,19,19,19,34
php,2019-04-05,20,1,20,20,20,19
php,2019-04-06,21,1,21,21,21,12
php,2019-04-07,22,1,22,22,22,18
php,2019-04-08,23,1,23,23,23,4
php,2019-04-09,24,1,24,24,24,20
php,2019-04-10,25,1,25,25,25,32
php,2019-04-11,26,1,26,26,26,15
php,2019-04-12,27,1,27,27,27,34
php,2019-04-13,28,1,28,28,28,54
php,2019-04-14,29,1,29,29,29,51
php,2019-04-15,30,1,30,30,30,4
php,2019-04-16,31,1,31,31,31,2
php,2019-04-17,32,1,32,32,32,45
php,2019-04-18,33,1,33,33,33,24
php,2019-04-22,34,1,34,34,34,
php,2019-04-23,35,1,35,35,35,14
php,2019-04-24,36,1,36,36,36,13
php,2019-04-25,37,1,37,37,37,28
php,2019-04-26,38,1,38,38,38,19
php,2019-04-27,39,1,39,39,39,12
php,2019-04-28,40,1,40,40,40,6
php,2019-04-29,41,1,41,41,41,16
php,2019-04-30,42,1,42,42,42,19
php,2019-05-01,43,1,43,43,43,39
php,2019-05-02,44,1,44,44,44,18
php,2019-05-03,45,1,45,45,45,9
php,2019-05-04,46,1,46,46,46,14
php,2019-05-05,47,1,47,47,47,8
php,2019-05-06,48,1,48,48,48,4
php,2019-05-07,49,1,49,49,49,16
php,2019-05-08,50,1,50,50,50,9
php,2019-05-09,51,1,51,51,51,27
php,2019-05-10,52,1,52,52,52,28
php,2019-05-11,53,1,53,53,53,36
php,2019-05-12,54,1,54,54,54,8
php,2019-05-13,55,1,55,55,55,33
php,2019-05-14,56,1,56,56,56,20
php,2019-05-15,57,1,57,57,57,34
php,2019-05-16,58,1,58,58,58,34
php,2019-05-17,59,1,59,59,59,16
php,2019-05-18,60,1,60,60,60,5
php,2019-05-19,61,1,61,61,61,18
php,2019-05-20,62,1,62,62,62,9
php,2019-05-21,63,1,63,63,63,2
php,2019-05-22,64,1,64,64,64,12
php,2019-05-23,65,1,65,65,65,35
php,2019-05-24,66,1,66,66,66,29
php,2019-05-25,67,1,67,67,67,21
php,2019-05-26,68,1,68,68,68,9
php,2019-05-27,69,1,69,69,69,6
php,2019-05-28,70,1,70,70,70,4
php,2019-05-29,71,1,71,71,71,32
php,2019-05-30,72,1,72,72,72,51
php,2019-05-31,73,1,73,73,73,46
php,2019-06-01,74,1,74,74,74,33
php,2019-06-02,75,1,75,75,75,28
php,2019-06-03,76,1,76,76,76,24
php,2019-06-04,77,1,77,77,77,4
php,2019-06-05,78,1,78,78,78,29
php,2019-06-06,79,1,79,79,79,38
php,2019-06-07,80,1,80,80,80,35
php,2019-06-08,81,1,81,81,81,24
php,2019-06-09,82,1,82,82,82,21
php,2019-06-10,83,1,83,83,83,2
php,2019-06-11,84,1,84,84,84,10
