project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
poppler,2018-08-23,1,1,1,1,1,
poppler,2018-08-24,2,1,2,2,2,3
poppler,2018-08-25,3,1,3,3,3,8
poppler,2018-08-26,4,1,4,4,4,1
poppler,2018-09-03,5,1,5,5,5,
poppler,2018-09-05,6,1,6,6,6,
poppler,2018-09-06,7,1,7,7,7,1
poppler,2018-09-18,8,1,8,8,8,
poppler,2018-09-19,9,1,9,9,9,2
poppler,2018-09-20,10,1,10,10,10,4
poppler,2018-09-21,11,1,11,11,11,2
poppler,2018-09-22,12,1,12,12,12,6
poppler,2018-09-23,13,1,13,13,13,5
poppler,2018-09-24,14,1,14,14,14,28
poppler,2018-09-28,15,1,15,15,15,
poppler,2018-10-01,16,1,16,16,16,
poppler,2018-10-02,17,1,17,17,17,2
poppler,2018-10-03,18,1,18,18,18,2
poppler,2018-10-04,19,1,19,19,19,3
poppler,2018-10-05,20,1,20,20,20,4
poppler,2018-10-06,21,1,21,21,21,14
poppler,2018-10-07,22,1,22,22,22,14
poppler,2018-10-08,23,1,23,23,23,2
poppler,2018-10-09,24,1,24,24,24,4
poppler,2018-10-10,25,1,25,25,25,8
poppler,2018-10-11,26,1,26,26,26,3
poppler,2018-10-13,27,1,27,27,27,
poppler,2018-10-16,28,1,28,28,28,
poppler,2018-10-17,29,1,29,29,29,1
poppler,2018-10-18,30,1,30,30,30,3
poppler,2018-10-20,31,1,31,31,31,
poppler,2018-10-22,32,1,32,32,32,
poppler,2018-10-23,33,1,33,33,33,6
poppler,2018-10-24,34,1,34,34,34,3
poppler,2018-10-25,35,1,35,35,35,5
poppler,2018-10-26,36,1,36,36,36,1
poppler,2018-10-27,37,1,37,37,37,1
poppler,2018-10-30,38,1,38,38,38,
poppler,2018-11-01,39,1,39,39,39,
poppler,2018-11-02,40,1,40,40,40,4
poppler,2018-11-03,41,1,41,41,41,4
poppler,2018-11-04,42,1,42,42,42,3
poppler,2018-11-07,43,1,43,43,43,
poppler,2018-11-08,44,1,44,44,44,7
poppler,2018-11-09,45,1,45,45,45,2
poppler,2018-11-10,46,1,46,46,46,1
poppler,2018-11-12,47,1,47,47,47,
poppler,2018-11-13,48,1,48,48,48,3
poppler,2018-11-15,49,1,49,49,49,
poppler,2018-11-16,50,1,50,50,50,4
poppler,2018-11-17,51,1,51,51,51,2
poppler,2018-11-18,52,1,52,52,52,3
poppler,2018-11-19,53,1,53,53,53,1
poppler,2018-11-21,54,1,54,54,54,
poppler,2018-11-28,55,1,55,55,55,
poppler,2018-11-29,56,1,56,56,56,2
poppler,2018-12-02,57,1,57,57,57,
poppler,2018-12-07,58,1,58,58,58,
poppler,2018-12-08,59,1,59,59,59,12
poppler,2018-12-10,60,1,60,60,60,
poppler,2018-12-16,61,1,61,61,61,
poppler,2018-12-19,62,1,62,62,62,
poppler,2018-12-21,63,1,63,63,63,
poppler,2018-12-22,64,1,64,64,64,1
poppler,2018-12-23,65,1,65,65,65,3
poppler,2018-12-25,66,1,66,66,66,
poppler,2018-12-27,67,1,67,67,67,
poppler,2018-12-28,68,1,68,68,68,1
poppler,2018-12-30,69,1,69,69,69,
poppler,2018-12-31,70,1,70,70,70,1
poppler,2019-01-02,71,1,71,71,71,
poppler,2019-01-03,72,1,72,72,72,5
poppler,2019-01-04,73,1,73,73,73,3
poppler,2019-01-06,74,1,74,74,74,
poppler,2019-01-07,75,1,75,75,75,6
poppler,2019-01-08,76,1,76,76,76,10
poppler,2019-01-10,77,1,77,77,77,
poppler,2019-01-11,78,1,78,78,78,7
poppler,2019-01-12,79,1,79,79,79,2
poppler,2019-01-16,80,1,80,80,80,
poppler,2019-01-17,81,1,81,81,81,4
poppler,2019-01-19,82,1,82,82,82,
poppler,2019-01-20,83,1,83,83,83,2
poppler,2019-01-25,84,1,84,84,84,
poppler,2019-01-26,85,1,85,85,85,1
poppler,2019-01-27,86,1,86,86,86,3
poppler,2019-01-28,87,1,87,87,87,2
poppler,2019-01-29,88,1,88,88,88,2
poppler,2019-02-02,89,1,89,89,89,
poppler,2019-02-03,90,1,90,90,90,1
poppler,2019-02-04,91,1,91,91,91,3
poppler,2019-02-05,92,1,92,92,92,1
poppler,2019-02-07,93,1,93,93,93,
poppler,2019-02-08,94,1,94,94,94,3
poppler,2019-02-11,95,1,95,95,95,
poppler,2019-02-13,96,1,96,96,96,
poppler,2019-02-14,97,1,97,97,97,1
poppler,2019-02-17,98,1,98,98,98,
poppler,2019-02-20,99,1,99,99,99,
poppler,2019-02-28,100,1,100,100,100,
poppler,2019-03-01,101,1,101,101,101,13
poppler,2019-03-02,102,1,102,102,102,13
poppler,2019-03-03,103,1,103,103,103,2
poppler,2019-03-05,104,1,104,104,104,
poppler,2019-03-13,105,1,105,105,105,
poppler,2019-03-17,106,1,106,106,106,
poppler,2019-03-18,107,1,107,107,107,1
poppler,2019-03-19,108,1,108,108,108,1
poppler,2019-03-20,109,1,109,109,109,1
poppler,2019-03-21,110,1,110,110,110,2
poppler,2019-03-22,111,1,111,111,111,2
poppler,2019-03-23,112,1,112,112,112,14
poppler,2019-03-25,113,1,113,113,113,
poppler,2019-04-02,114,1,114,114,114,
poppler,2019-04-04,115,1,115,115,115,
poppler,2019-04-06,116,1,116,116,116,
poppler,2019-04-08,117,1,117,117,117,
poppler,2019-04-11,118,1,118,118,118,
poppler,2019-04-14,119,1,119,119,119,
poppler,2019-04-18,120,1,120,120,120,
poppler,2019-04-22,121,1,121,121,121,
poppler,2019-04-23,122,1,122,122,122,1
poppler,2019-04-26,123,1,123,123,123,
poppler,2019-04-29,124,1,124,124,124,
poppler,2019-05-01,125,1,125,125,125,
poppler,2019-05-04,126,1,126,126,126,
poppler,2019-05-11,127,1,127,127,127,
poppler,2019-05-14,128,1,128,128,128,
poppler,2019-05-15,129,1,129,129,129,1
poppler,2019-05-16,130,1,130,130,130,2
