project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
arrow,2025-06-01,1680,1,1,1680,1680,
c-blosc2,2025-05-15,443,1,1,443,443,
ghostscript,2025-05-31,1041,1,1,1041,1041,
harfbuzz,2025-06-02,1500,1,1,1500,1500,
icu,2025-05-30,1124,1,1,1124,1124,
libjxl,2025-05-29,765,1,1,765,765,
libxml2,2025-05-29,622,1,1,622,622,
mruby,2025-06-02,1611,1,1,1611,1611,
ndpi,2025-05-29,1086,1,1,1086,1086,
openthread,2025-05-31,1560,1,1,1560,1560,
php,2025-06-02,2059,1,1,2059,2059,
poppler,2025-06-02,854,1,1,854,854,
serenity,2025-03-05,1396,1,1,1396,1396,
wireshark,2025-05-20,2266,1,1,2266,2266,
wolfssl,2025-02-20,1702,1,1,1702,1702,
