project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
wireshark,2018-08-24,1,1,1,1,1,
wireshark,2018-08-28,2,1,2,2,2,
wireshark,2018-08-29,3,1,3,3,3,7
wireshark,2018-08-30,4,1,4,4,4,2
wireshark,2018-08-31,5,1,5,5,5,11
wireshark,2018-09-01,6,1,6,6,6,10
wireshark,2018-09-02,7,1,7,7,7,18
wireshark,2018-09-03,8,1,8,8,8,7
wireshark,2018-09-04,9,1,9,9,9,6
wireshark,2018-09-05,10,1,10,10,10,14
wireshark,2018-09-06,11,1,11,11,11,6
wireshark,2018-09-07,12,1,12,12,12,14
wireshark,2018-09-13,13,1,13,13,13,
wireshark,2018-09-14,14,1,14,14,14,15
wireshark,2018-09-15,15,1,15,15,15,12
wireshark,2018-09-16,16,1,16,16,16,7
wireshark,2018-09-17,17,1,17,17,17,8
wireshark,2018-09-18,18,1,18,18,18,11
wireshark,2018-09-19,19,1,19,19,19,20
wireshark,2018-09-20,20,1,20,20,20,9
wireshark,2018-09-21,21,1,21,21,21,14
wireshark,2018-09-22,22,1,22,22,22,18
wireshark,2018-09-23,23,1,23,23,23,9
wireshark,2018-09-24,24,1,24,24,24,6
wireshark,2018-09-25,25,1,25,25,25,6
wireshark,2018-09-26,26,1,26,26,26,21
wireshark,2018-09-27,27,1,27,27,27,18
wireshark,2018-09-29,28,1,28,28,28,
wireshark,2018-09-30,29,1,29,29,29,12
wireshark,2018-10-01,30,1,30,30,30,13
wireshark,2018-10-02,31,1,31,31,31,12
wireshark,2018-10-03,32,1,32,32,32,14
wireshark,2018-10-04,33,1,33,33,33,9
wireshark,2018-10-05,34,1,34,34,34,21
wireshark,2018-10-06,35,1,35,35,35,15
wireshark,2018-10-07,36,1,36,36,36,12
wireshark,2018-10-08,37,1,37,37,37,8
wireshark,2018-10-09,38,1,38,38,38,10
wireshark,2018-10-10,39,1,39,39,39,13
wireshark,2018-10-11,40,1,40,40,40,5
wireshark,2018-10-12,41,1,41,41,41,15
wireshark,2018-10-13,42,1,42,42,42,5
wireshark,2018-10-14,43,1,43,43,43,26
wireshark,2018-10-15,44,1,44,44,44,5
wireshark,2018-10-16,45,1,45,45,45,10
wireshark,2018-10-17,46,1,46,46,46,6
wireshark,2018-10-18,47,1,47,47,47,3
wireshark,2018-10-19,48,1,48,48,48,4
wireshark,2018-10-20,49,1,49,49,49,16
wireshark,2018-10-24,50,1,50,50,50,
wireshark,2018-10-25,51,1,51,51,51,9
wireshark,2018-10-26,52,1,52,52,52,11
wireshark,2018-10-27,53,1,53,53,53,11
wireshark,2018-10-28,54,1,54,54,54,6
wireshark,2018-11-01,55,1,55,55,55,
wireshark,2018-11-02,56,1,56,56,56,14
wireshark,2018-11-03,57,1,57,57,57,23
wireshark,2018-11-04,58,1,58,58,58,10
wireshark,2018-11-05,59,1,59,59,59,7
wireshark,2018-11-06,60,1,60,60,60,7
