project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
wolfssl,2018-08-23,1,1,1,1,1,
wolfssl,2018-08-24,2,1,2,2,2,15
wolfssl,2018-08-25,3,1,3,3,3,12
wolfssl,2018-08-28,4,1,4,4,4,
wolfssl,2018-08-29,5,1,5,5,5,2
wolfssl,2018-08-30,6,1,6,6,6,3
wolfssl,2018-08-31,7,1,7,7,7,10
wolfssl,2018-09-01,8,1,8,8,8,9
wolfssl,2018-09-03,9,1,9,9,9,
wolfssl,2018-09-04,10,1,10,10,10,2
wolfssl,2018-09-05,11,1,11,11,11,1
wolfssl,2018-09-06,12,1,12,12,12,8
wolfssl,2018-09-07,13,1,13,13,13,4
wolfssl,2018-09-08,14,1,14,14,14,12
wolfssl,2018-09-09,15,1,15,15,15,8
wolfssl,2018-09-10,16,1,16,16,16,2
wolfssl,2018-09-11,17,1,17,17,17,2
wolfssl,2018-09-12,18,1,18,18,18,7
wolfssl,2018-09-13,19,1,19,19,19,11
wolfssl,2018-09-14,20,1,20,20,20,12
wolfssl,2018-09-15,21,1,21,21,21,8
wolfssl,2018-09-18,22,1,22,22,22,
wolfssl,2018-09-19,23,1,23,23,23,1
wolfssl,2018-09-20,24,1,24,24,24,8
wolfssl,2018-09-21,25,1,25,25,25,8
wolfssl,2018-09-22,26,1,26,26,26,7
wolfssl,2018-09-24,27,1,27,27,27,
wolfssl,2018-09-25,28,1,28,28,28,6
wolfssl,2018-09-26,29,1,29,29,29,7
wolfssl,2018-09-27,30,1,30,30,30,55
wolfssl,2018-09-28,31,1,31,31,31,9
wolfssl,2018-09-29,32,1,32,32,32,1
wolfssl,2018-10-02,33,1,33,33,33,
wolfssl,2018-10-03,34,1,34,34,34,3
wolfssl,2018-10-04,35,1,35,35,35,5
wolfssl,2018-10-05,36,1,36,36,36,6
wolfssl,2018-10-06,37,1,37,37,37,5
wolfssl,2018-10-09,38,1,38,38,38,
wolfssl,2018-10-10,39,1,39,39,39,3
wolfssl,2018-10-11,40,1,40,40,40,3
wolfssl,2018-10-12,41,1,41,41,41,4
wolfssl,2018-10-13,42,1,42,42,42,6
wolfssl,2018-10-16,43,1,43,43,43,
wolfssl,2018-10-17,44,1,44,44,44,13
wolfssl,2018-10-18,45,1,45,45,45,4
wolfssl,2018-10-19,46,1,46,46,46,9
wolfssl,2018-10-20,47,1,47,47,47,6
wolfssl,2018-10-21,48,1,48,48,48,5
wolfssl,2018-10-23,49,1,49,49,49,
wolfssl,2018-10-24,50,1,50,50,50,6
wolfssl,2018-10-25,51,1,51,51,51,3
wolfssl,2018-10-26,52,1,52,52,52,2
wolfssl,2018-10-27,53,1,53,53,53,6
wolfssl,2018-10-30,54,1,54,54,54,
wolfssl,2018-10-31,55,1,55,55,55,1
wolfssl,2018-11-01,56,1,56,56,56,8
wolfssl,2018-11-02,57,1,57,57,57,1
wolfssl,2018-11-03,58,1,58,58,58,3
wolfssl,2018-11-06,59,1,59,59,59,
wolfssl,2018-11-07,60,1,60,60,60,2
wolfssl,2018-11-08,61,1,61,61,61,7
wolfssl,2018-11-09,62,1,62,62,62,66
wolfssl,2018-11-10,63,1,63,63,63,9
wolfssl,2018-11-13,64,1,64,64,64,
wolfssl,2018-11-14,65,1,65,65,65,6
wolfssl,2018-11-15,66,1,66,66,66,1
