feature,importance,project
patch_coverage_recalculated,0.17407568634795897,ghostscript
project_total_branch_percent,0.06449897703584,ghostscript
project_total_branch_percent_delta,0.06177286260352177,ghostscript
project_total_function_percent,0.09357618297760946,ghostscript
project_total_function_percent_delta,0.0657195516626603,ghostscript
project_total_instantiation_percent,0.10569377268624695,ghostscript
project_total_instantiation_percent_delta,0.07227889272519553,ghostscript
project_total_line_percent,0.09147580606771147,ghostscript
project_total_line_percent_delta,0.08184226408678692,ghostscript
project_total_region_percent,0.10555037279406278,ghostscript
project_total_region_percent_delta,0.08351563101240583,ghostscript
