feature,importance,project
VCC_f10_nb_added_line,0.019243021873691504,harfbuzz
VCC_f11_nb_removed_line,0.01654576572888807,harfbuzz
VCC_f12_diff_line,0.018307903288912707,harfbuzz
VCC_f13_sum_line,0.019556231857826626,harfbuzz
VCC_f14_nb_added_paren,0.018934851136163406,harfbuzz
VCC_f15_nb_removed_paren,0.014249600611720946,harfbuzz
VCC_f16_diff_paren,0.01710415716217509,harfbuzz
VCC_f17_sum_paren,0.018783078991111868,harfbuzz
VCC_f18_nb_added_bool,0.011306009965493241,harfbuzz
VCC_f19_nb_removed_bool,0.009709679664034793,harfbuzz
VCC_f1_sum_file_change,0.015709991309557622,harfbuzz
VCC_f20_diff_bool,0.01091986611573084,harfbuzz
VCC_f21_sum_bool,0.012178232041659819,harfbuzz
VCC_f22_nb_added_assignement,0.018020089621767526,harfbuzz
VCC_f23_nb_removed_assignement,0.013050810789433782,harfbuzz
VCC_f24_diff_assignement,0.015307704021941338,harfbuzz
VCC_f25_sum_assignement,0.01858815662005029,harfbuzz
VCC_f26_nb_added_function,0.007292683179366556,harfbuzz
VCC_f27_nb_removed_function,0.0060564440671884105,harfbuzz
VCC_f28_diff_function,0.007359564699113678,harfbuzz
VCC_f29_sum_function,0.008019824865001806,harfbuzz
VCC_f2_nb_added_loop,0.007771399672101725,harfbuzz
VCC_f3_nb_removed_loop,0.005518528878490264,harfbuzz
VCC_f4_diff_loop,0.007011629868255043,harfbuzz
VCC_f5_sum_loop,0.008121490335683051,harfbuzz
VCC_f6_nb_added_if,0.017813143147850447,harfbuzz
VCC_f7_nb_removed_if,0.010870267533187263,harfbuzz
VCC_f8_diff_if,0.014796112083663278,harfbuzz
VCC_f9_sum_if,0.017301625893607835,harfbuzz
VCC_s10_nb_removed_INTMAX,0.0004636163922204054,harfbuzz
VCC_s11_nb_added_goto,0.008168534827893125,harfbuzz
VCC_s12_nb_removed_goto,0.003735378874518602,harfbuzz
VCC_s13_nb_added_define,0.008869766859431921,harfbuzz
VCC_s14_nb_removed_define,0.005416511410818761,harfbuzz
VCC_s15_nb_added_struct,0.004409864823492222,harfbuzz
VCC_s16_nb_removed_struct,0.002463177045746762,harfbuzz
VCC_s17_diff_struct,0.005524782804231063,harfbuzz
VCC_s18_sum_struct,0.004956405939415004,harfbuzz
VCC_s19_nb_added_offset,0.004446976280534675,harfbuzz
VCC_s1_nb_added_sizeof,0.010229623363180763,harfbuzz
VCC_s20_nb_removed_offset,0.002883376526950092,harfbuzz
VCC_s21_nb_added_void,0.007182516170053805,harfbuzz
VCC_s22_nb_removed_void,0.005369252090588244,harfbuzz
VCC_s23_diff_void,0.007435832587135632,harfbuzz
VCC_s24_sum_void,0.007777934931018699,harfbuzz
VCC_s2_nb_removed_sizeof,0.0064952057409190765,harfbuzz
VCC_s3_diff_sizeof,0.009686822668592011,harfbuzz
VCC_s4_sum_sizeof,0.01180856110461658,harfbuzz
VCC_s5_nb_added_continue,0.0037607448705898926,harfbuzz
VCC_s6_nb_removed_continue,0.003329482725088145,harfbuzz
VCC_s7_nb_added_break,0.010416467999888187,harfbuzz
VCC_s8_nb_removed_break,0.005822714864863871,harfbuzz
VCC_s9_nb_added_INTMAX,0.001043164288672122,harfbuzz
VCC_w1,0.01268348625057313,harfbuzz
VCC_w10,0.009176428716439687,harfbuzz
VCC_w2,0.01218797742308227,harfbuzz
VCC_w3,0.010212935092594966,harfbuzz
VCC_w4,0.011976507729237883,harfbuzz
VCC_w5,0.011592666724441062,harfbuzz
VCC_w6,0.013856446754150561,harfbuzz
VCC_w7,0.013609001867297943,harfbuzz
VCC_w8,0.008788209623298366,harfbuzz
VCC_w9,0.00796195287765181,harfbuzz
patch_coverage_recalculated,0.07325250582872128,harfbuzz
project_total_branch_percent,0.01834715965488026,harfbuzz
project_total_branch_percent_delta,0.025883113004755466,harfbuzz
project_total_function_percent,0.02969453219829209,harfbuzz
project_total_function_percent_delta,0.026395520216817424,harfbuzz
project_total_instantiation_percent,0.03551715160420058,harfbuzz
project_total_instantiation_percent_delta,0.026474540816819735,harfbuzz
project_total_line_percent,0.029412483054381926,harfbuzz
project_total_line_percent_delta,0.03229271638215851,harfbuzz
project_total_region_percent,0.02917118004854156,harfbuzz
project_total_region_percent_delta,0.034368903917535006,harfbuzz
