feature,importance,project
patch_coverage_recalculated,0.1803090108099261,libxml2
project_total_branch_percent,0.059848974329762404,libxml2
project_total_branch_percent_delta,0.06499072114065217,libxml2
project_total_function_percent,0.09552733742979687,libxml2
project_total_function_percent_delta,0.06733379941237298,libxml2
project_total_instantiation_percent,0.09860524894116275,libxml2
project_total_instantiation_percent_delta,0.07325969546121297,libxml2
project_total_line_percent,0.09178399438253525,libxml2
project_total_line_percent_delta,0.08466880438313261,libxml2
project_total_region_percent,0.09588615387339675,libxml2
project_total_region_percent_delta,0.0877862598360492,libxml2
