feature,importance,project
age,0.03978314688109861,ndpi
directories_changed,0.026642923779901274,ndpi
entropy,0.029569396975147155,ndpi
exp,0.04262548623765747,ndpi
files_changed,0.030199571473902606,ndpi
is_bug_fix,0.02475201124876864,ndpi
lines_added,0.03780934265888004,ndpi
lines_deleted,0.031640486661389175,ndpi
ndev,0.04382805254451905,ndpi
nuc,0.027249358322140257,ndpi
patch_coverage_recalculated,0.10263784553379435,ndpi
project_total_branch_percent,0.027351821410711758,ndpi
project_total_branch_percent_delta,0.03446721892182322,ndpi
project_total_function_percent,0.04445091432991313,ndpi
project_total_function_percent_delta,0.032988373588757204,ndpi
project_total_instantiation_percent,0.04396932250231116,ndpi
project_total_instantiation_percent_delta,0.035451687455016,ndpi
project_total_line_percent,0.04369065615855448,ndpi
project_total_line_percent_delta,0.043260446649835894,ndpi
project_total_region_percent,0.04700909343985583,ndpi
project_total_region_percent_delta,0.04626915443476431,ndpi
rexp,0.051775131600996165,ndpi
sexp,0.03894550983974194,ndpi
subsystems_changed,0.02923335633462516,ndpi
total_prev_loc,0.04439969101589514,ndpi
