feature,importance,project
VCC_f10_nb_added_line,0.018483130493433916,openthread
VCC_f11_nb_removed_line,0.015408653979964018,openthread
VCC_f12_diff_line,0.016737983665327128,openthread
VCC_f13_sum_line,0.018904491931470768,openthread
VCC_f14_nb_added_paren,0.01952554726305452,openthread
VCC_f15_nb_removed_paren,0.014435937328627114,openthread
VCC_f16_diff_paren,0.016000609203725563,openthread
VCC_f17_sum_paren,0.019476106819557904,openthread
VCC_f18_nb_added_bool,0.014076461285490805,openthread
VCC_f19_nb_removed_bool,0.010277269436577644,openthread
VCC_f1_sum_file_change,0.014530616572097048,openthread
VCC_f20_diff_bool,0.011200089069920687,openthread
VCC_f21_sum_bool,0.013350199191084908,openthread
VCC_f22_nb_added_assignement,0.01884389880203287,openthread
VCC_f23_nb_removed_assignement,0.013773501928739402,openthread
VCC_f24_diff_assignement,0.014579628736598982,openthread
VCC_f25_sum_assignement,0.020087559980808224,openthread
VCC_f26_nb_added_function,0.0076550948836751785,openthread
VCC_f27_nb_removed_function,0.006332692463282993,openthread
VCC_f28_diff_function,0.007548656589727394,openthread
VCC_f29_sum_function,0.008385539368813399,openthread
VCC_f2_nb_added_loop,0.00878602648104468,openthread
VCC_f3_nb_removed_loop,0.005900230360828384,openthread
VCC_f4_diff_loop,0.007371419561049938,openthread
VCC_f5_sum_loop,0.00923330026466445,openthread
VCC_f6_nb_added_if,0.02035250231636806,openthread
VCC_f7_nb_removed_if,0.011290946670826581,openthread
VCC_f8_diff_if,0.014739338780185515,openthread
VCC_f9_sum_if,0.01899783468048587,openthread
VCC_s10_nb_removed_INTMAX,0.000522504260235009,openthread
VCC_s11_nb_added_goto,0.0069900144523465,openthread
VCC_s12_nb_removed_goto,0.0034772322470636593,openthread
VCC_s13_nb_added_define,0.007973088690083894,openthread
VCC_s14_nb_removed_define,0.00508813708555879,openthread
VCC_s15_nb_added_struct,0.0039888115104482254,openthread
VCC_s16_nb_removed_struct,0.002319663655480024,openthread
VCC_s17_diff_struct,0.004550703764161403,openthread
VCC_s18_sum_struct,0.00438418907408232,openthread
VCC_s19_nb_added_offset,0.004301565133672091,openthread
VCC_s1_nb_added_sizeof,0.011164655223572325,openthread
VCC_s20_nb_removed_offset,0.0028649198999656663,openthread
VCC_s21_nb_added_void,0.006589295767034166,openthread
VCC_s22_nb_removed_void,0.005265123467147709,openthread
VCC_s23_diff_void,0.0071640395240943075,openthread
VCC_s24_sum_void,0.007278439564613836,openthread
VCC_s2_nb_removed_sizeof,0.005572299198944754,openthread
VCC_s3_diff_sizeof,0.009476207826517674,openthread
VCC_s4_sum_sizeof,0.011489648753737912,openthread
VCC_s5_nb_added_continue,0.004074055407850225,openthread
VCC_s6_nb_removed_continue,0.0031848145591736256,openthread
VCC_s7_nb_added_break,0.010833785720995385,openthread
VCC_s8_nb_removed_break,0.00568928051803774,openthread
VCC_s9_nb_added_INTMAX,0.0009557133236736701,openthread
VCC_w1,0.0112837736060391,openthread
VCC_w10,0.008660750399672271,openthread
VCC_w2,0.011790193241979387,openthread
VCC_w3,0.009292361526192828,openthread
VCC_w4,0.01269347959410166,openthread
VCC_w5,0.011648562815226558,openthread
VCC_w6,0.013374357038225083,openthread
VCC_w7,0.015120770429107113,openthread
VCC_w8,0.010049002428645867,openthread
VCC_w9,0.00786678870022492,openthread
patch_coverage_recalculated,0.07326815262532696,openthread
project_total_branch_percent,0.017727666186050796,openthread
project_total_branch_percent_delta,0.025461777396414278,openthread
project_total_function_percent,0.034668437596161776,openthread
project_total_function_percent_delta,0.02237171456863795,openthread
project_total_instantiation_percent,0.03889328048077641,openthread
project_total_instantiation_percent_delta,0.023433340600373383,openthread
project_total_line_percent,0.030069322581051255,openthread
project_total_line_percent_delta,0.02956570761443622,openthread
project_total_region_percent,0.031081645161083207,openthread
project_total_region_percent_delta,0.03019545867231815,openthread
