feature,importance,project
VCC_f10_nb_added_line,0.03025088665551626,php
VCC_f11_nb_removed_line,0.02750011230096732,php
VCC_f12_diff_line,0.02692798808036446,php
VCC_f13_sum_line,0.032252326695333296,php
VCC_f14_nb_added_paren,0.02886937790376375,php
VCC_f15_nb_removed_paren,0.023253970872159666,php
VCC_f16_diff_paren,0.024422552983686032,php
VCC_f17_sum_paren,0.029743499392380805,php
VCC_f18_nb_added_bool,0.02068235864702201,php
VCC_f19_nb_removed_bool,0.01788790727849838,php
VCC_f1_sum_file_change,0.022433173187055476,php
VCC_f20_diff_bool,0.016384422992420374,php
VCC_f21_sum_bool,0.021810223161310035,php
VCC_f22_nb_added_assignement,0.02728861029329864,php
VCC_f23_nb_removed_assignement,0.02144711323405855,php
VCC_f24_diff_assignement,0.02274461244898681,php
VCC_f25_sum_assignement,0.0290105350700921,php
VCC_f26_nb_added_function,0.01104985239397027,php
VCC_f27_nb_removed_function,0.009294829658529064,php
VCC_f28_diff_function,0.011076998506213197,php
VCC_f29_sum_function,0.012458321146050975,php
VCC_f2_nb_added_loop,0.013930721029737437,php
VCC_f3_nb_removed_loop,0.00856668792920694,php
VCC_f4_diff_loop,0.012434935059949831,php
VCC_f5_sum_loop,0.014176606072568841,php
VCC_f6_nb_added_if,0.027350336993061514,php
VCC_f7_nb_removed_if,0.01752504967805566,php
VCC_f8_diff_if,0.02185126642030686,php
VCC_f9_sum_if,0.027656837444312566,php
VCC_s10_nb_removed_INTMAX,0.0007751390897362078,php
VCC_s11_nb_added_goto,0.013751601200084637,php
VCC_s12_nb_removed_goto,0.0037617544782937956,php
VCC_s13_nb_added_define,0.01171796744388331,php
VCC_s14_nb_removed_define,0.007859085851907812,php
VCC_s15_nb_added_struct,0.006457838939082114,php
VCC_s16_nb_removed_struct,0.0038052839818958927,php
VCC_s17_diff_struct,0.006881076624733023,php
VCC_s18_sum_struct,0.007606501656117219,php
VCC_s19_nb_added_offset,0.006799507334726766,php
VCC_s1_nb_added_sizeof,0.016744911307409165,php
VCC_s20_nb_removed_offset,0.004144691984330414,php
VCC_s21_nb_added_void,0.010642542859067175,php
VCC_s22_nb_removed_void,0.008405307869663144,php
VCC_s23_diff_void,0.010116143137809237,php
VCC_s24_sum_void,0.01219325739305593,php
VCC_s2_nb_removed_sizeof,0.009247584094707197,php
VCC_s3_diff_sizeof,0.01416894036760773,php
VCC_s4_sum_sizeof,0.018175659534675002,php
VCC_s5_nb_added_continue,0.006499641787939614,php
VCC_s6_nb_removed_continue,0.0040786693993994485,php
VCC_s7_nb_added_break,0.013688926234091459,php
VCC_s8_nb_removed_break,0.008279986460159653,php
VCC_s9_nb_added_INTMAX,0.0009937047601891553,php
VCC_w1,0.019552804812763724,php
VCC_w10,0.019025875519688942,php
VCC_w2,0.0221816320490304,php
VCC_w3,0.017631410616222358,php
VCC_w4,0.0209530273077419,php
VCC_w5,0.01649341457845854,php
VCC_w6,0.017495252055929375,php
VCC_w7,0.020494341931814163,php
VCC_w8,0.016675564072098917,php
VCC_w9,0.012418839736809444,php
