feature,importance,project
age,0.03985480442564094,poppler
directories_changed,0.02825587842694127,poppler
entropy,0.029091015958895638,poppler
exp,0.03962687366830195,poppler
files_changed,0.029638591746025306,poppler
is_bug_fix,0.023841831122077974,poppler
lines_added,0.03936005058146371,poppler
lines_deleted,0.03157559026546891,poppler
ndev,0.039544295356792096,poppler
nuc,0.027997389179767015,poppler
patch_coverage_recalculated,0.10475802027457762,poppler
project_total_branch_percent,0.027743034283094953,poppler
project_total_branch_percent_delta,0.033798168511386666,poppler
project_total_function_percent,0.04651734049862099,poppler
project_total_function_percent_delta,0.03276780592758093,poppler
project_total_instantiation_percent,0.05224673983557518,poppler
project_total_instantiation_percent_delta,0.03755422922533517,poppler
project_total_line_percent,0.042350265389160854,poppler
project_total_line_percent_delta,0.04444407731034971,poppler
project_total_region_percent,0.04813694092164399,poppler
project_total_region_percent_delta,0.04601373902914021,poppler
rexp,0.0461340821148935,poppler
sexp,0.036961554933507175,poppler
subsystems_changed,0.028320282918680346,poppler
total_prev_loc,0.04346739809507791,poppler
