feature,importance,project
patch_coverage_recalculated,0.18408828165158103,serenity
project_total_branch_percent,0.05904362756501597,serenity
project_total_branch_percent_delta,0.06316526634141648,serenity
project_total_function_percent,0.09724455952612086,serenity
project_total_function_percent_delta,0.06651437278269186,serenity
project_total_instantiation_percent,0.09619886214905513,serenity
project_total_instantiation_percent_delta,0.07400480997024358,serenity
project_total_line_percent,0.08633349374703424,serenity
project_total_line_percent_delta,0.08796687104281607,serenity
project_total_region_percent,0.09523015547111637,serenity
project_total_region_percent_delta,0.09020969975290843,serenity
