feature,importance,project
patch_coverage_recalculated,0.18177953384114107,wireshark
project_total_branch_percent,0.060701537920598035,wireshark
project_total_branch_percent_delta,0.06354140202711465,wireshark
project_total_function_percent,0.08856701160792481,wireshark
project_total_function_percent_delta,0.07350839658832516,wireshark
project_total_instantiation_percent,0.10173583972830848,wireshark
project_total_instantiation_percent_delta,0.07931203407677573,wireshark
project_total_line_percent,0.08451857261655987,wireshark
project_total_line_percent_delta,0.08584400417304207,wireshark
project_total_region_percent,0.09357202436567542,wireshark
project_total_region_percent_delta,0.08691964305453473,wireshark
