feature,importance,project
VCC_f10_nb_added_line,0.019420719975808905,wolfssl
VCC_f11_nb_removed_line,0.01638941090642327,wolfssl
VCC_f12_diff_line,0.017325976769729308,wolfssl
VCC_f13_sum_line,0.019868344233090383,wolfssl
VCC_f14_nb_added_paren,0.019937770418141595,wolfssl
VCC_f15_nb_removed_paren,0.01467994057920108,wolfssl
VCC_f16_diff_paren,0.017263199648920948,wolfssl
VCC_f17_sum_paren,0.01989544578082436,wolfssl
VCC_f18_nb_added_bool,0.015184034434635917,wolfssl
VCC_f19_nb_removed_bool,0.011461757380314819,wolfssl
VCC_f1_sum_file_change,0.014461353998684994,wolfssl
VCC_f20_diff_bool,0.012096541091077894,wolfssl
VCC_f21_sum_bool,0.014873442260928548,wolfssl
VCC_f22_nb_added_assignement,0.01954340127378842,wolfssl
VCC_f23_nb_removed_assignement,0.013277451516378238,wolfssl
VCC_f24_diff_assignement,0.015189735992535255,wolfssl
VCC_f25_sum_assignement,0.020386356517899048,wolfssl
VCC_f26_nb_added_function,0.007485684262508332,wolfssl
VCC_f27_nb_removed_function,0.006307008262411957,wolfssl
VCC_f28_diff_function,0.00767204012820306,wolfssl
VCC_f29_sum_function,0.008389630368179328,wolfssl
VCC_f2_nb_added_loop,0.009774462716100187,wolfssl
VCC_f3_nb_removed_loop,0.005857627813492648,wolfssl
VCC_f4_diff_loop,0.008662752138293584,wolfssl
VCC_f5_sum_loop,0.009979126750265778,wolfssl
VCC_f6_nb_added_if,0.020209928295040477,wolfssl
VCC_f7_nb_removed_if,0.011019847521646087,wolfssl
VCC_f8_diff_if,0.017206108656834408,wolfssl
VCC_f9_sum_if,0.01874388552178393,wolfssl
VCC_s10_nb_removed_INTMAX,0.0005080576545963682,wolfssl
VCC_s11_nb_added_goto,0.00818591698698145,wolfssl
VCC_s12_nb_removed_goto,0.0030816732245383363,wolfssl
VCC_s13_nb_added_define,0.007201181714761351,wolfssl
VCC_s14_nb_removed_define,0.004881859664253676,wolfssl
VCC_s15_nb_added_struct,0.0038356794302951977,wolfssl
VCC_s16_nb_removed_struct,0.0023518431626846194,wolfssl
VCC_s17_diff_struct,0.004483352886057329,wolfssl
VCC_s18_sum_struct,0.004401406895015476,wolfssl
VCC_s19_nb_added_offset,0.0039958062860942336,wolfssl
VCC_s1_nb_added_sizeof,0.012961559851229133,wolfssl
VCC_s20_nb_removed_offset,0.002753169272558689,wolfssl
VCC_s21_nb_added_void,0.007010028960522723,wolfssl
VCC_s22_nb_removed_void,0.005840441565067616,wolfssl
VCC_s23_diff_void,0.007097254912252731,wolfssl
VCC_s24_sum_void,0.008127266509450637,wolfssl
VCC_s2_nb_removed_sizeof,0.005554937601208725,wolfssl
VCC_s3_diff_sizeof,0.011278161251134686,wolfssl
VCC_s4_sum_sizeof,0.013385147619907242,wolfssl
VCC_s5_nb_added_continue,0.004184253731736023,wolfssl
VCC_s6_nb_removed_continue,0.003043184855510909,wolfssl
VCC_s7_nb_added_break,0.009910031593918824,wolfssl
VCC_s8_nb_removed_break,0.005737353333714794,wolfssl
VCC_s9_nb_added_INTMAX,0.000843110406582523,wolfssl
VCC_w1,0.012045610531214352,wolfssl
VCC_w10,0.009446371461527055,wolfssl
VCC_w2,0.011330607688904681,wolfssl
VCC_w3,0.010492501974800969,wolfssl
VCC_w4,0.012450177035417231,wolfssl
VCC_w5,0.010570970932573578,wolfssl
VCC_w6,0.011568940678810547,wolfssl
VCC_w7,0.015955071138857715,wolfssl
VCC_w8,0.01005909068162031,wolfssl
VCC_w9,0.007872544293395622,wolfssl
patch_coverage_recalculated,0.06428289218073298,wolfssl
project_total_branch_percent,0.017409497842836685,wolfssl
project_total_branch_percent_delta,0.023606514818632816,wolfssl
project_total_function_percent,0.029108776512283423,wolfssl
project_total_function_percent_delta,0.022245139869907563,wolfssl
project_total_instantiation_percent,0.03804815500808328,wolfssl
project_total_instantiation_percent_delta,0.02386379513848316,wolfssl
project_total_line_percent,0.028710517101525137,wolfssl
project_total_line_percent_delta,0.028811054282119573,wolfssl
project_total_region_percent,0.029215253242668875,wolfssl
project_total_region_percent_delta,0.029690853002388405,wolfssl
