feature,importance,project
VCC_f10_nb_added_line,0.01298515,arrow
VCC_f11_nb_removed_line,0.01308451,arrow
VCC_f12_diff_line,0.013217029,arrow
VCC_f13_sum_line,0.012889544,arrow
VCC_f14_nb_added_paren,0.014670082,arrow
VCC_f15_nb_removed_paren,0.011251478,arrow
VCC_f16_diff_paren,0.015447702,arrow
VCC_f17_sum_paren,0.0133781545,arrow
VCC_f18_nb_added_bool,0.013488099,arrow
VCC_f19_nb_removed_bool,0.012559835,arrow
VCC_f1_sum_file_change,0.011432339,arrow
VCC_f20_diff_bool,0.012488335,arrow
VCC_f21_sum_bool,0.0128630595,arrow
VCC_f22_nb_added_assignement,0.01588535,arrow
VCC_f23_nb_removed_assignement,0.011596578,arrow
VCC_f24_diff_assignement,0.014146114,arrow
VCC_f25_sum_assignement,0.014678934,arrow
VCC_f26_nb_added_function,0.012090599,arrow
VCC_f27_nb_removed_function,0.0113303615,arrow
VCC_f28_diff_function,0.011617786,arrow
VCC_f29_sum_function,0.013647185,arrow
VCC_f2_nb_added_loop,0.01895095,arrow
VCC_f3_nb_removed_loop,0.013237842,arrow
VCC_f4_diff_loop,0.018818492,arrow
VCC_f5_sum_loop,0.016209634,arrow
VCC_f6_nb_added_if,0.016319714,arrow
VCC_f7_nb_removed_if,0.0108438125,arrow
VCC_f8_diff_if,0.016012844,arrow
VCC_f9_sum_if,0.013556753,arrow
VCC_s10_nb_removed_INTMAX,0.00019137087,arrow
VCC_s11_nb_added_goto,0.018286565,arrow
VCC_s12_nb_removed_goto,0.011291092,arrow
VCC_s13_nb_added_define,0.01177955,arrow
VCC_s14_nb_removed_define,0.010472708,arrow
VCC_s15_nb_added_struct,0.011091546,arrow
VCC_s16_nb_removed_struct,0.009553099,arrow
VCC_s17_diff_struct,0.012567461,arrow
VCC_s18_sum_struct,0.011311627,arrow
VCC_s19_nb_added_offset,0.011452006,arrow
VCC_s1_nb_added_sizeof,0.020071562,arrow
VCC_s20_nb_removed_offset,0.011088029,arrow
VCC_s21_nb_added_void,0.011854227,arrow
VCC_s22_nb_removed_void,0.0118164,arrow
VCC_s23_diff_void,0.011190131,arrow
VCC_s24_sum_void,0.013151572,arrow
VCC_s2_nb_removed_sizeof,0.010432746,arrow
VCC_s3_diff_sizeof,0.014703685,arrow
VCC_s4_sum_sizeof,0.017040137,arrow
VCC_s5_nb_added_continue,0.013747587,arrow
VCC_s6_nb_removed_continue,0.012368594,arrow
VCC_s7_nb_added_break,0.015613512,arrow
VCC_s8_nb_removed_break,0.011486096,arrow
VCC_s9_nb_added_INTMAX,0.00399166,arrow
VCC_w1,0.011591455,arrow
VCC_w10,0.011071315,arrow
VCC_w2,0.010914694,arrow
VCC_w3,0.011194048,arrow
VCC_w4,0.01148571,arrow
VCC_w5,0.012185519,arrow
VCC_w6,0.013385123,arrow
VCC_w7,0.014146174,arrow
VCC_w8,0.014821629,arrow
VCC_w9,0.01121904,arrow
patch_coverage_recalculated,0.038546797,arrow
project_total_branch_percent,0.012434452,arrow
project_total_branch_percent_delta,0.013871363,arrow
project_total_function_percent,0.01495737,arrow
project_total_function_percent_delta,0.014066399,arrow
project_total_instantiation_percent,0.015358969,arrow
project_total_instantiation_percent_delta,0.01646679,arrow
project_total_line_percent,0.0164615,arrow
project_total_line_percent_delta,0.01605453,arrow
project_total_region_percent,0.01649849,arrow
project_total_region_percent_delta,0.018017393,arrow
