feature,importance,project
VCC_f10_nb_added_line,0.014118233,c-blosc2
VCC_f11_nb_removed_line,0.016581915,c-blosc2
VCC_f12_diff_line,0.014586208,c-blosc2
VCC_f13_sum_line,0.014679724,c-blosc2
VCC_f14_nb_added_paren,0.02160932,c-blosc2
VCC_f15_nb_removed_paren,0.014357502,c-blosc2
VCC_f16_diff_paren,0.01525493,c-blosc2
VCC_f17_sum_paren,0.01725131,c-blosc2
VCC_f18_nb_added_bool,0.018240057,c-blosc2
VCC_f19_nb_removed_bool,0.016765611,c-blosc2
VCC_f1_sum_file_change,0.012853891,c-blosc2
VCC_f20_diff_bool,0.013695536,c-blosc2
VCC_f21_sum_bool,0.016542803,c-blosc2
VCC_f22_nb_added_assignement,0.022716276,c-blosc2
VCC_f23_nb_removed_assignement,0.014632771,c-blosc2
VCC_f24_diff_assignement,0.014373755,c-blosc2
VCC_f25_sum_assignement,0.020921087,c-blosc2
VCC_f26_nb_added_function,0.014544636,c-blosc2
VCC_f27_nb_removed_function,0.014442408,c-blosc2
VCC_f28_diff_function,0.01336432,c-blosc2
VCC_f29_sum_function,0.01509251,c-blosc2
VCC_f2_nb_added_loop,0.021469064,c-blosc2
VCC_f3_nb_removed_loop,0.015210884,c-blosc2
VCC_f4_diff_loop,0.014324669,c-blosc2
VCC_f5_sum_loop,0.016173003,c-blosc2
VCC_f6_nb_added_if,0.02256043,c-blosc2
VCC_f7_nb_removed_if,0.015213721,c-blosc2
VCC_f8_diff_if,0.01534855,c-blosc2
VCC_f9_sum_if,0.02202672,c-blosc2
VCC_s10_nb_removed_INTMAX,0.0014102403,c-blosc2
VCC_s11_nb_added_goto,0.022474397,c-blosc2
VCC_s12_nb_removed_goto,0.013981198,c-blosc2
VCC_s13_nb_added_define,0.014046058,c-blosc2
VCC_s14_nb_removed_define,0.013192904,c-blosc2
VCC_s15_nb_added_struct,0.013365977,c-blosc2
VCC_s16_nb_removed_struct,0.013426709,c-blosc2
VCC_s17_diff_struct,0.014251335,c-blosc2
VCC_s18_sum_struct,0.015508921,c-blosc2
VCC_s19_nb_added_offset,0.014421061,c-blosc2
VCC_s1_nb_added_sizeof,0.025586152,c-blosc2
VCC_s20_nb_removed_offset,0.014543479,c-blosc2
VCC_s21_nb_added_void,0.015091618,c-blosc2
VCC_s22_nb_removed_void,0.015470209,c-blosc2
VCC_s23_diff_void,0.014297779,c-blosc2
VCC_s24_sum_void,0.015486281,c-blosc2
VCC_s2_nb_removed_sizeof,0.015440522,c-blosc2
VCC_s3_diff_sizeof,0.017229157,c-blosc2
VCC_s4_sum_sizeof,0.023604844,c-blosc2
VCC_s5_nb_added_continue,0.014317978,c-blosc2
VCC_s6_nb_removed_continue,0.013352504,c-blosc2
VCC_s7_nb_added_break,0.02142798,c-blosc2
VCC_s8_nb_removed_break,0.016695227,c-blosc2
VCC_s9_nb_added_INTMAX,0.005319369,c-blosc2
VCC_w1,0.014011011,c-blosc2
VCC_w10,0.013803704,c-blosc2
VCC_w2,0.015193897,c-blosc2
VCC_w3,0.015454093,c-blosc2
VCC_w4,0.017857254,c-blosc2
VCC_w5,0.014451136,c-blosc2
VCC_w6,0.015716154,c-blosc2
VCC_w7,0.01954547,c-blosc2
VCC_w8,0.017256597,c-blosc2
VCC_w9,0.013816935,c-blosc2
