feature,importance,project
VCC_f10_nb_added_line,0.014614487,ghostscript
VCC_f11_nb_removed_line,0.015861392,ghostscript
VCC_f12_diff_line,0.0152008245,ghostscript
VCC_f13_sum_line,0.014115548,ghostscript
VCC_f14_nb_added_paren,0.020303626,ghostscript
VCC_f15_nb_removed_paren,0.013631503,ghostscript
VCC_f16_diff_paren,0.014838447,ghostscript
VCC_f17_sum_paren,0.016563838,ghostscript
VCC_f18_nb_added_bool,0.019623388,ghostscript
VCC_f19_nb_removed_bool,0.019207362,ghostscript
VCC_f1_sum_file_change,0.013842084,ghostscript
VCC_f20_diff_bool,0.013393731,ghostscript
VCC_f21_sum_bool,0.020637685,ghostscript
VCC_f22_nb_added_assignement,0.02050341,ghostscript
VCC_f23_nb_removed_assignement,0.014405597,ghostscript
VCC_f24_diff_assignement,0.013542195,ghostscript
VCC_f25_sum_assignement,0.01793672,ghostscript
VCC_f26_nb_added_function,0.014288995,ghostscript
VCC_f27_nb_removed_function,0.013670611,ghostscript
VCC_f28_diff_function,0.013271907,ghostscript
VCC_f29_sum_function,0.014503628,ghostscript
VCC_f2_nb_added_loop,0.0242631,ghostscript
VCC_f3_nb_removed_loop,0.015263527,ghostscript
VCC_f4_diff_loop,0.016859412,ghostscript
VCC_f5_sum_loop,0.017332042,ghostscript
VCC_f6_nb_added_if,0.021126766,ghostscript
VCC_f7_nb_removed_if,0.014950182,ghostscript
VCC_f8_diff_if,0.014062905,ghostscript
VCC_f9_sum_if,0.019122291,ghostscript
VCC_s10_nb_removed_INTMAX,0.0007008386,ghostscript
VCC_s11_nb_added_goto,0.019488955,ghostscript
VCC_s12_nb_removed_goto,0.013343564,ghostscript
VCC_s13_nb_added_define,0.013426246,ghostscript
VCC_s14_nb_removed_define,0.012945492,ghostscript
VCC_s15_nb_added_struct,0.016561385,ghostscript
VCC_s16_nb_removed_struct,0.011626565,ghostscript
VCC_s17_diff_struct,0.014606854,ghostscript
VCC_s18_sum_struct,0.015893536,ghostscript
VCC_s19_nb_added_offset,0.015181013,ghostscript
VCC_s1_nb_added_sizeof,0.027428586,ghostscript
VCC_s20_nb_removed_offset,0.015046428,ghostscript
VCC_s21_nb_added_void,0.015317004,ghostscript
VCC_s22_nb_removed_void,0.015542595,ghostscript
VCC_s23_diff_void,0.014516724,ghostscript
VCC_s24_sum_void,0.015637312,ghostscript
VCC_s2_nb_removed_sizeof,0.0143269785,ghostscript
VCC_s3_diff_sizeof,0.018319214,ghostscript
VCC_s4_sum_sizeof,0.028770683,ghostscript
VCC_s5_nb_added_continue,0.012551093,ghostscript
VCC_s6_nb_removed_continue,0.012079299,ghostscript
VCC_s7_nb_added_break,0.018565962,ghostscript
VCC_s8_nb_removed_break,0.017003689,ghostscript
VCC_s9_nb_added_INTMAX,0.008813956,ghostscript
VCC_w1,0.01393928,ghostscript
VCC_w10,0.016093615,ghostscript
VCC_w2,0.014214618,ghostscript
VCC_w3,0.014258039,ghostscript
VCC_w4,0.016297363,ghostscript
VCC_w5,0.013896054,ghostscript
VCC_w6,0.014917405,ghostscript
VCC_w7,0.019573888,ghostscript
VCC_w8,0.017094163,ghostscript
VCC_w9,0.01508443,ghostscript
