feature,importance,project
VCC_f10_nb_added_line,0.014014473,harfbuzz
VCC_f11_nb_removed_line,0.012832214,harfbuzz
VCC_f12_diff_line,0.014304027,harfbuzz
VCC_f13_sum_line,0.013144924,harfbuzz
VCC_f14_nb_added_paren,0.01478318,harfbuzz
VCC_f15_nb_removed_paren,0.011506958,harfbuzz
VCC_f16_diff_paren,0.01509291,harfbuzz
VCC_f17_sum_paren,0.013554385,harfbuzz
VCC_f18_nb_added_bool,0.011871594,harfbuzz
VCC_f19_nb_removed_bool,0.0124024395,harfbuzz
VCC_f1_sum_file_change,0.012541476,harfbuzz
VCC_f20_diff_bool,0.011923173,harfbuzz
VCC_f21_sum_bool,0.012900391,harfbuzz
VCC_f22_nb_added_assignement,0.015116155,harfbuzz
VCC_f23_nb_removed_assignement,0.011414761,harfbuzz
VCC_f24_diff_assignement,0.012944776,harfbuzz
VCC_f25_sum_assignement,0.013769562,harfbuzz
VCC_f26_nb_added_function,0.011319095,harfbuzz
VCC_f27_nb_removed_function,0.011209418,harfbuzz
VCC_f28_diff_function,0.01182087,harfbuzz
VCC_f29_sum_function,0.013010148,harfbuzz
VCC_f2_nb_added_loop,0.0146986265,harfbuzz
VCC_f3_nb_removed_loop,0.012191002,harfbuzz
VCC_f4_diff_loop,0.013691726,harfbuzz
VCC_f5_sum_loop,0.013030635,harfbuzz
VCC_f6_nb_added_if,0.017756112,harfbuzz
VCC_f7_nb_removed_if,0.0122243855,harfbuzz
VCC_f8_diff_if,0.015143848,harfbuzz
VCC_f9_sum_if,0.01467424,harfbuzz
VCC_s10_nb_removed_INTMAX,0.0,harfbuzz
VCC_s11_nb_added_goto,0.016910167,harfbuzz
VCC_s12_nb_removed_goto,0.01220632,harfbuzz
VCC_s13_nb_added_define,0.012384012,harfbuzz
VCC_s14_nb_removed_define,0.01111831,harfbuzz
VCC_s15_nb_added_struct,0.012634924,harfbuzz
VCC_s16_nb_removed_struct,0.010153811,harfbuzz
VCC_s17_diff_struct,0.013191004,harfbuzz
VCC_s18_sum_struct,0.011802998,harfbuzz
VCC_s19_nb_added_offset,0.011561827,harfbuzz
VCC_s1_nb_added_sizeof,0.018083716,harfbuzz
VCC_s20_nb_removed_offset,0.01171188,harfbuzz
VCC_s21_nb_added_void,0.011788476,harfbuzz
VCC_s22_nb_removed_void,0.011485534,harfbuzz
VCC_s23_diff_void,0.011299219,harfbuzz
VCC_s24_sum_void,0.011996473,harfbuzz
VCC_s2_nb_removed_sizeof,0.0130478125,harfbuzz
VCC_s3_diff_sizeof,0.013583862,harfbuzz
VCC_s4_sum_sizeof,0.018352896,harfbuzz
VCC_s5_nb_added_continue,0.012257306,harfbuzz
VCC_s6_nb_removed_continue,0.015301159,harfbuzz
VCC_s7_nb_added_break,0.016073933,harfbuzz
VCC_s8_nb_removed_break,0.013392926,harfbuzz
VCC_s9_nb_added_INTMAX,0.0027197532,harfbuzz
VCC_w1,0.011621045,harfbuzz
VCC_w10,0.01234876,harfbuzz
VCC_w2,0.011427641,harfbuzz
VCC_w3,0.012057489,harfbuzz
VCC_w4,0.012664734,harfbuzz
VCC_w5,0.012691041,harfbuzz
VCC_w6,0.015979689,harfbuzz
VCC_w7,0.013973102,harfbuzz
VCC_w8,0.011615379,harfbuzz
VCC_w9,0.011208635,harfbuzz
patch_coverage_recalculated,0.04042883,harfbuzz
project_total_branch_percent,0.011473322,harfbuzz
project_total_branch_percent_delta,0.013682568,harfbuzz
project_total_function_percent,0.014962894,harfbuzz
project_total_function_percent_delta,0.015599051,harfbuzz
project_total_instantiation_percent,0.016609708,harfbuzz
project_total_instantiation_percent_delta,0.018415632,harfbuzz
project_total_line_percent,0.014852452,harfbuzz
project_total_line_percent_delta,0.016343832,harfbuzz
project_total_region_percent,0.014026286,harfbuzz
project_total_region_percent_delta,0.02007208,harfbuzz
