feature,importance,project
VCC_f10_nb_added_line,0.014209789,libxml2
VCC_f11_nb_removed_line,0.016720576,libxml2
VCC_f12_diff_line,0.0147503,libxml2
VCC_f13_sum_line,0.015296654,libxml2
VCC_f14_nb_added_paren,0.017757004,libxml2
VCC_f15_nb_removed_paren,0.013737086,libxml2
VCC_f16_diff_paren,0.01752951,libxml2
VCC_f17_sum_paren,0.015157059,libxml2
VCC_f18_nb_added_bool,0.01949604,libxml2
VCC_f19_nb_removed_bool,0.017147385,libxml2
VCC_f1_sum_file_change,0.01347508,libxml2
VCC_f20_diff_bool,0.014375141,libxml2
VCC_f21_sum_bool,0.017873472,libxml2
VCC_f22_nb_added_assignement,0.021547368,libxml2
VCC_f23_nb_removed_assignement,0.01468086,libxml2
VCC_f24_diff_assignement,0.015228426,libxml2
VCC_f25_sum_assignement,0.021728784,libxml2
VCC_f26_nb_added_function,0.01477628,libxml2
VCC_f27_nb_removed_function,0.014546798,libxml2
VCC_f28_diff_function,0.012842914,libxml2
VCC_f29_sum_function,0.014778332,libxml2
VCC_f2_nb_added_loop,0.022706177,libxml2
VCC_f3_nb_removed_loop,0.014935358,libxml2
VCC_f4_diff_loop,0.016199023,libxml2
VCC_f5_sum_loop,0.015909337,libxml2
VCC_f6_nb_added_if,0.02030869,libxml2
VCC_f7_nb_removed_if,0.014321529,libxml2
VCC_f8_diff_if,0.017179143,libxml2
VCC_f9_sum_if,0.018476626,libxml2
VCC_s10_nb_removed_INTMAX,0.0005728068,libxml2
VCC_s11_nb_added_goto,0.019910675,libxml2
VCC_s12_nb_removed_goto,0.014055837,libxml2
VCC_s13_nb_added_define,0.014308383,libxml2
VCC_s14_nb_removed_define,0.013089498,libxml2
VCC_s15_nb_added_struct,0.014894405,libxml2
VCC_s16_nb_removed_struct,0.011878049,libxml2
VCC_s17_diff_struct,0.0152999,libxml2
VCC_s18_sum_struct,0.014752213,libxml2
VCC_s19_nb_added_offset,0.014923555,libxml2
VCC_s1_nb_added_sizeof,0.024213705,libxml2
VCC_s20_nb_removed_offset,0.014780875,libxml2
VCC_s21_nb_added_void,0.015375691,libxml2
VCC_s22_nb_removed_void,0.015733158,libxml2
VCC_s23_diff_void,0.013855105,libxml2
VCC_s24_sum_void,0.015740247,libxml2
VCC_s2_nb_removed_sizeof,0.015098303,libxml2
VCC_s3_diff_sizeof,0.017605284,libxml2
VCC_s4_sum_sizeof,0.022900993,libxml2
VCC_s5_nb_added_continue,0.017385278,libxml2
VCC_s6_nb_removed_continue,0.013113469,libxml2
VCC_s7_nb_added_break,0.025661381,libxml2
VCC_s8_nb_removed_break,0.017291073,libxml2
VCC_s9_nb_added_INTMAX,0.00496022,libxml2
VCC_w1,0.014177227,libxml2
VCC_w10,0.014305981,libxml2
VCC_w2,0.014966095,libxml2
VCC_w3,0.015102491,libxml2
VCC_w4,0.018576762,libxml2
VCC_w5,0.014554679,libxml2
VCC_w6,0.014226118,libxml2
VCC_w7,0.02004496,libxml2
VCC_w8,0.015919657,libxml2
VCC_w9,0.013035183,libxml2
