feature,importance,project
age,0.030963479,mruby
directories_changed,0.03529817,mruby
entropy,0.034331623,mruby
exp,0.030425046,mruby
files_changed,0.042099044,mruby
is_bug_fix,0.028457796,mruby
lines_added,0.037318382,mruby
lines_deleted,0.029785099,mruby
ndev,0.036134906,mruby
nuc,0.029866429,mruby
patch_coverage_recalculated,0.1114927,mruby
project_total_branch_percent,0.03385087,mruby
project_total_branch_percent_delta,0.038641665,mruby
project_total_function_percent,0.03907365,mruby
project_total_function_percent_delta,0.035171732,mruby
project_total_instantiation_percent,0.04353439,mruby
project_total_instantiation_percent_delta,0.04641385,mruby
project_total_line_percent,0.037325833,mruby
project_total_line_percent_delta,0.046265014,mruby
project_total_region_percent,0.041076627,mruby
project_total_region_percent_delta,0.047551494,mruby
rexp,0.03693811,mruby
sexp,0.032543384,mruby
subsystems_changed,0.04056568,mruby
total_prev_loc,0.034875013,mruby
