feature,importance,project
VCC_f10_nb_added_line,0.012420257,ndpi
VCC_f11_nb_removed_line,0.013433557,ndpi
VCC_f12_diff_line,0.012208278,ndpi
VCC_f13_sum_line,0.013585829,ndpi
VCC_f14_nb_added_paren,0.012688509,ndpi
VCC_f15_nb_removed_paren,0.011858036,ndpi
VCC_f16_diff_paren,0.012816567,ndpi
VCC_f17_sum_paren,0.0125946505,ndpi
VCC_f18_nb_added_bool,0.012769012,ndpi
VCC_f19_nb_removed_bool,0.014414233,ndpi
VCC_f1_sum_file_change,0.012119857,ndpi
VCC_f20_diff_bool,0.010519536,ndpi
VCC_f21_sum_bool,0.013231067,ndpi
VCC_f22_nb_added_assignement,0.012668088,ndpi
VCC_f23_nb_removed_assignement,0.011517289,ndpi
VCC_f24_diff_assignement,0.012126817,ndpi
VCC_f25_sum_assignement,0.015159259,ndpi
VCC_f26_nb_added_function,0.012147357,ndpi
VCC_f27_nb_removed_function,0.011887936,ndpi
VCC_f28_diff_function,0.010476971,ndpi
VCC_f29_sum_function,0.012836,ndpi
VCC_f2_nb_added_loop,0.02149729,ndpi
VCC_f3_nb_removed_loop,0.014329362,ndpi
VCC_f4_diff_loop,0.014176448,ndpi
VCC_f5_sum_loop,0.01622116,ndpi
VCC_f6_nb_added_if,0.02693174,ndpi
VCC_f7_nb_removed_if,0.01378353,ndpi
VCC_f8_diff_if,0.015470483,ndpi
VCC_f9_sum_if,0.023858838,ndpi
VCC_s10_nb_removed_INTMAX,0.00021752737,ndpi
VCC_s11_nb_added_goto,0.019491546,ndpi
VCC_s12_nb_removed_goto,0.013478582,ndpi
VCC_s13_nb_added_define,0.011637797,ndpi
VCC_s14_nb_removed_define,0.010608973,ndpi
VCC_s15_nb_added_struct,0.010788151,ndpi
VCC_s16_nb_removed_struct,0.008644715,ndpi
VCC_s17_diff_struct,0.011977235,ndpi
VCC_s18_sum_struct,0.010847089,ndpi
VCC_s19_nb_added_offset,0.010747435,ndpi
VCC_s1_nb_added_sizeof,0.014857336,ndpi
VCC_s20_nb_removed_offset,0.008870992,ndpi
VCC_s21_nb_added_void,0.012025551,ndpi
VCC_s22_nb_removed_void,0.012943148,ndpi
VCC_s23_diff_void,0.011926632,ndpi
VCC_s24_sum_void,0.0143218525,ndpi
VCC_s2_nb_removed_sizeof,0.011250601,ndpi
VCC_s3_diff_sizeof,0.012086078,ndpi
VCC_s4_sum_sizeof,0.01374414,ndpi
VCC_s5_nb_added_continue,0.01557893,ndpi
VCC_s6_nb_removed_continue,0.011361578,ndpi
VCC_s7_nb_added_break,0.014371947,ndpi
VCC_s8_nb_removed_break,0.012755911,ndpi
VCC_s9_nb_added_INTMAX,0.0011975158,ndpi
VCC_w1,0.011508583,ndpi
VCC_w10,0.011569083,ndpi
VCC_w2,0.011978498,ndpi
VCC_w3,0.011099325,ndpi
VCC_w4,0.01367707,ndpi
VCC_w5,0.013181173,ndpi
VCC_w6,0.013869385,ndpi
VCC_w7,0.014216943,ndpi
VCC_w8,0.014981582,ndpi
VCC_w9,0.010862234,ndpi
patch_coverage_recalculated,0.037824996,ndpi
project_total_branch_percent,0.012347759,ndpi
project_total_branch_percent_delta,0.014748726,ndpi
project_total_function_percent,0.014559631,ndpi
project_total_function_percent_delta,0.014844952,ndpi
project_total_instantiation_percent,0.013689111,ndpi
project_total_instantiation_percent_delta,0.015592604,ndpi
project_total_line_percent,0.0151708,ndpi
project_total_line_percent_delta,0.01523172,ndpi
project_total_region_percent,0.016001945,ndpi
project_total_region_percent_delta,0.017564652,ndpi
