feature,importance,project
age,0.03293318,openthread
directories_changed,0.03847228,openthread
entropy,0.032568477,openthread
exp,0.032609735,openthread
files_changed,0.043609448,openthread
is_bug_fix,0.030270582,openthread
lines_added,0.03614747,openthread
lines_deleted,0.029738393,openthread
ndev,0.036217626,openthread
nuc,0.030414006,openthread
patch_coverage_recalculated,0.10746432,openthread
project_total_branch_percent,0.033554573,openthread
project_total_branch_percent_delta,0.03790959,openthread
project_total_function_percent,0.042901166,openthread
project_total_function_percent_delta,0.03358255,openthread
project_total_instantiation_percent,0.045728028,openthread
project_total_instantiation_percent_delta,0.041479588,openthread
project_total_line_percent,0.038133383,openthread
project_total_line_percent_delta,0.045061573,openthread
project_total_region_percent,0.038580887,openthread
project_total_region_percent_delta,0.045811776,openthread
rexp,0.037688363,openthread
sexp,0.03155337,openthread
subsystems_changed,0.041832756,openthread
total_prev_loc,0.035736885,openthread
