feature,importance,project
VCC_f10_nb_added_line,0.014161455,poppler
VCC_f11_nb_removed_line,0.01219365,poppler
VCC_f12_diff_line,0.013112335,poppler
VCC_f13_sum_line,0.013413205,poppler
VCC_f14_nb_added_paren,0.015233901,poppler
VCC_f15_nb_removed_paren,0.011891713,poppler
VCC_f16_diff_paren,0.014739336,poppler
VCC_f17_sum_paren,0.013671052,poppler
VCC_f18_nb_added_bool,0.014719997,poppler
VCC_f19_nb_removed_bool,0.013765027,poppler
VCC_f1_sum_file_change,0.011079756,poppler
VCC_f20_diff_bool,0.010889032,poppler
VCC_f21_sum_bool,0.01369785,poppler
VCC_f22_nb_added_assignement,0.016175192,poppler
VCC_f23_nb_removed_assignement,0.011312599,poppler
VCC_f24_diff_assignement,0.013173515,poppler
VCC_f25_sum_assignement,0.016857062,poppler
VCC_f26_nb_added_function,0.012408985,poppler
VCC_f27_nb_removed_function,0.011700138,poppler
VCC_f28_diff_function,0.010033864,poppler
VCC_f29_sum_function,0.01208851,poppler
VCC_f2_nb_added_loop,0.018046562,poppler
VCC_f3_nb_removed_loop,0.015708048,poppler
VCC_f4_diff_loop,0.014634216,poppler
VCC_f5_sum_loop,0.015429434,poppler
VCC_f6_nb_added_if,0.018489929,poppler
VCC_f7_nb_removed_if,0.011728342,poppler
VCC_f8_diff_if,0.0154287005,poppler
VCC_f9_sum_if,0.015782386,poppler
VCC_s10_nb_removed_INTMAX,0.0,poppler
VCC_s11_nb_added_goto,0.016648175,poppler
VCC_s12_nb_removed_goto,0.012754807,poppler
VCC_s13_nb_added_define,0.011555984,poppler
VCC_s14_nb_removed_define,0.010487134,poppler
VCC_s15_nb_added_struct,0.012200036,poppler
VCC_s16_nb_removed_struct,0.010625439,poppler
VCC_s17_diff_struct,0.011419964,poppler
VCC_s18_sum_struct,0.01126008,poppler
VCC_s19_nb_added_offset,0.011775862,poppler
VCC_s1_nb_added_sizeof,0.020458635,poppler
VCC_s20_nb_removed_offset,0.009725163,poppler
VCC_s21_nb_added_void,0.011668813,poppler
VCC_s22_nb_removed_void,0.011791619,poppler
VCC_s23_diff_void,0.010255643,poppler
VCC_s24_sum_void,0.013400261,poppler
VCC_s2_nb_removed_sizeof,0.011733706,poppler
VCC_s3_diff_sizeof,0.012298178,poppler
VCC_s4_sum_sizeof,0.017803827,poppler
VCC_s5_nb_added_continue,0.011734558,poppler
VCC_s6_nb_removed_continue,0.014725888,poppler
VCC_s7_nb_added_break,0.01521164,poppler
VCC_s8_nb_removed_break,0.012375744,poppler
VCC_s9_nb_added_INTMAX,0.0020723687,poppler
VCC_w1,0.011664595,poppler
VCC_w10,0.010656363,poppler
VCC_w2,0.010960088,poppler
VCC_w3,0.011433955,poppler
VCC_w4,0.012874101,poppler
VCC_w5,0.012251526,poppler
VCC_w6,0.013474719,poppler
VCC_w7,0.013424119,poppler
VCC_w8,0.013854067,poppler
VCC_w9,0.01061185,poppler
patch_coverage_recalculated,0.04036134,poppler
project_total_branch_percent,0.011985496,poppler
project_total_branch_percent_delta,0.01417831,poppler
project_total_function_percent,0.014380987,poppler
project_total_function_percent_delta,0.013509589,poppler
project_total_instantiation_percent,0.015508067,poppler
project_total_instantiation_percent_delta,0.017723482,poppler
project_total_line_percent,0.014827498,poppler
project_total_line_percent_delta,0.016353756,poppler
project_total_region_percent,0.016040266,poppler
project_total_region_percent_delta,0.018376518,poppler
