feature,importance,project
VCC_f10_nb_added_line,0.012783727,serenity
VCC_f11_nb_removed_line,0.01249619,serenity
VCC_f12_diff_line,0.01399431,serenity
VCC_f13_sum_line,0.013334247,serenity
VCC_f14_nb_added_paren,0.01608676,serenity
VCC_f15_nb_removed_paren,0.01130556,serenity
VCC_f16_diff_paren,0.014901729,serenity
VCC_f17_sum_paren,0.014066347,serenity
VCC_f18_nb_added_bool,0.01467411,serenity
VCC_f19_nb_removed_bool,0.014779385,serenity
VCC_f1_sum_file_change,0.011073116,serenity
VCC_f20_diff_bool,0.011869445,serenity
VCC_f21_sum_bool,0.013857531,serenity
VCC_f22_nb_added_assignement,0.017230185,serenity
VCC_f23_nb_removed_assignement,0.011195381,serenity
VCC_f24_diff_assignement,0.01397864,serenity
VCC_f25_sum_assignement,0.016449962,serenity
VCC_f26_nb_added_function,0.011627176,serenity
VCC_f27_nb_removed_function,0.0117723495,serenity
VCC_f28_diff_function,0.012222423,serenity
VCC_f29_sum_function,0.01123923,serenity
VCC_f2_nb_added_loop,0.018793194,serenity
VCC_f3_nb_removed_loop,0.010856028,serenity
VCC_f4_diff_loop,0.016226143,serenity
VCC_f5_sum_loop,0.014356021,serenity
VCC_f6_nb_added_if,0.018428732,serenity
VCC_f7_nb_removed_if,0.011473032,serenity
VCC_f8_diff_if,0.014265553,serenity
VCC_f9_sum_if,0.015167705,serenity
VCC_s10_nb_removed_INTMAX,0.00022251708,serenity
VCC_s11_nb_added_goto,0.01656024,serenity
VCC_s12_nb_removed_goto,0.012507989,serenity
VCC_s13_nb_added_define,0.011871238,serenity
VCC_s14_nb_removed_define,0.010486508,serenity
VCC_s15_nb_added_struct,0.009898632,serenity
VCC_s16_nb_removed_struct,0.0080121085,serenity
VCC_s17_diff_struct,0.011090737,serenity
VCC_s18_sum_struct,0.010886936,serenity
VCC_s19_nb_added_offset,0.011389105,serenity
VCC_s1_nb_added_sizeof,0.019585792,serenity
VCC_s20_nb_removed_offset,0.009974998,serenity
VCC_s21_nb_added_void,0.011279184,serenity
VCC_s22_nb_removed_void,0.011749657,serenity
VCC_s23_diff_void,0.0108217485,serenity
VCC_s24_sum_void,0.012868373,serenity
VCC_s2_nb_removed_sizeof,0.011747414,serenity
VCC_s3_diff_sizeof,0.013845595,serenity
VCC_s4_sum_sizeof,0.01795822,serenity
VCC_s5_nb_added_continue,0.012614278,serenity
VCC_s6_nb_removed_continue,0.016864637,serenity
VCC_s7_nb_added_break,0.015679052,serenity
VCC_s8_nb_removed_break,0.012998705,serenity
VCC_s9_nb_added_INTMAX,0.0018678919,serenity
VCC_w1,0.011676722,serenity
VCC_w10,0.010646531,serenity
VCC_w2,0.011097663,serenity
VCC_w3,0.011593651,serenity
VCC_w4,0.013220153,serenity
VCC_w5,0.011241705,serenity
VCC_w6,0.013316508,serenity
VCC_w7,0.011648914,serenity
VCC_w8,0.012434133,serenity
VCC_w9,0.011643963,serenity
patch_coverage_recalculated,0.04208738,serenity
project_total_branch_percent,0.012385742,serenity
project_total_branch_percent_delta,0.014536341,serenity
project_total_function_percent,0.014735467,serenity
project_total_function_percent_delta,0.013724127,serenity
project_total_instantiation_percent,0.015926288,serenity
project_total_instantiation_percent_delta,0.01752701,serenity
project_total_line_percent,0.015141844,serenity
project_total_line_percent_delta,0.018551022,serenity
project_total_region_percent,0.015279054,serenity
project_total_region_percent_delta,0.018300034,serenity
