feature,importance,project
VCC_f10_nb_added_line,0.014770375,wireshark
VCC_f11_nb_removed_line,0.015029377,wireshark
VCC_f12_diff_line,0.015205201,wireshark
VCC_f13_sum_line,0.015563435,wireshark
VCC_f14_nb_added_paren,0.02226098,wireshark
VCC_f15_nb_removed_paren,0.014560191,wireshark
VCC_f16_diff_paren,0.0147867305,wireshark
VCC_f17_sum_paren,0.018660251,wireshark
VCC_f18_nb_added_bool,0.016095359,wireshark
VCC_f19_nb_removed_bool,0.01641408,wireshark
VCC_f1_sum_file_change,0.014260655,wireshark
VCC_f20_diff_bool,0.014876517,wireshark
VCC_f21_sum_bool,0.015613938,wireshark
VCC_f22_nb_added_assignement,0.024580916,wireshark
VCC_f23_nb_removed_assignement,0.015347112,wireshark
VCC_f24_diff_assignement,0.014196714,wireshark
VCC_f25_sum_assignement,0.024678715,wireshark
VCC_f26_nb_added_function,0.014430594,wireshark
VCC_f27_nb_removed_function,0.014602401,wireshark
VCC_f28_diff_function,0.014300713,wireshark
VCC_f29_sum_function,0.015023007,wireshark
VCC_f2_nb_added_loop,0.017763862,wireshark
VCC_f3_nb_removed_loop,0.015650557,wireshark
VCC_f4_diff_loop,0.0136661865,wireshark
VCC_f5_sum_loop,0.01577189,wireshark
VCC_f6_nb_added_if,0.023883944,wireshark
VCC_f7_nb_removed_if,0.015231361,wireshark
VCC_f8_diff_if,0.01650128,wireshark
VCC_f9_sum_if,0.019547962,wireshark
VCC_s10_nb_removed_INTMAX,0.00063193304,wireshark
VCC_s11_nb_added_goto,0.022721646,wireshark
VCC_s12_nb_removed_goto,0.01467335,wireshark
VCC_s13_nb_added_define,0.0145516675,wireshark
VCC_s14_nb_removed_define,0.013827624,wireshark
VCC_s15_nb_added_struct,0.013410467,wireshark
VCC_s16_nb_removed_struct,0.01357559,wireshark
VCC_s17_diff_struct,0.014075379,wireshark
VCC_s18_sum_struct,0.015556535,wireshark
VCC_s19_nb_added_offset,0.016123107,wireshark
VCC_s1_nb_added_sizeof,0.020748565,wireshark
VCC_s20_nb_removed_offset,0.015094708,wireshark
VCC_s21_nb_added_void,0.015005717,wireshark
VCC_s22_nb_removed_void,0.015794002,wireshark
VCC_s23_diff_void,0.013720199,wireshark
VCC_s24_sum_void,0.015298372,wireshark
VCC_s2_nb_removed_sizeof,0.014796082,wireshark
VCC_s3_diff_sizeof,0.015565205,wireshark
VCC_s4_sum_sizeof,0.018635837,wireshark
VCC_s5_nb_added_continue,0.014139941,wireshark
VCC_s6_nb_removed_continue,0.013379925,wireshark
VCC_s7_nb_added_break,0.023751138,wireshark
VCC_s8_nb_removed_break,0.018120652,wireshark
VCC_s9_nb_added_INTMAX,0.0032836825,wireshark
VCC_w1,0.014178571,wireshark
VCC_w10,0.013866429,wireshark
VCC_w2,0.0155982515,wireshark
VCC_w3,0.015430303,wireshark
VCC_w4,0.018505218,wireshark
VCC_w5,0.014196353,wireshark
VCC_w6,0.017144384,wireshark
VCC_w7,0.021598129,wireshark
VCC_w8,0.015968867,wireshark
VCC_w9,0.013757844,wireshark
