feature,importance,project
age,0.03538808,wolfssl
directories_changed,0.04104917,wolfssl
entropy,0.033216387,wolfssl
exp,0.033498373,wolfssl
files_changed,0.0381123,wolfssl
is_bug_fix,0.029492538,wolfssl
lines_added,0.037266012,wolfssl
lines_deleted,0.031083466,wolfssl
ndev,0.036751214,wolfssl
nuc,0.031350173,wolfssl
patch_coverage_recalculated,0.09552865,wolfssl
project_total_branch_percent,0.032252137,wolfssl
project_total_branch_percent_delta,0.0366276,wolfssl
project_total_function_percent,0.039455175,wolfssl
project_total_function_percent_delta,0.034364514,wolfssl
project_total_instantiation_percent,0.046879325,wolfssl
project_total_instantiation_percent_delta,0.044256218,wolfssl
project_total_line_percent,0.037745833,wolfssl
project_total_line_percent_delta,0.042882595,wolfssl
project_total_region_percent,0.039961707,wolfssl
project_total_region_percent_delta,0.047091004,wolfssl
rexp,0.038807638,wolfssl
sexp,0.03239896,wolfssl
subsystems_changed,0.04598617,wolfssl
total_prev_loc,0.038554743,wolfssl
