project,builds_per_day
osquery,1
teleport,1
gobgp,1
openvswitch,1
netdata,1
apache-commons-beanutils,1
toml_edit,1
assimp,1
zeek,1
sacremoses,1
rapidjson,1
hibernate-orm,1
libsndfile,1
importlib_metadata,1
libxlsxwriter,1
hdrhistogram,1
kafka,1
httplib2,1
hive,1
kyverno,1
opencv,1
nbformat,1
janino,1
zxing,1
pyrsistent,1
markupsafe,1
jackson-dataformats-text,1
junrar,1
libredwg,1
go-json-iterator,1
gateway,1
gpsd,1
flex,1
ipaddress,1
golang,1
libsrtp,1
alembic,1
spring-webflow,1
ffms2,1
s2geometry,1
autoflake,1
dateparser,1
linkerd2-proxy,1
libtheora,1
libheif,1
h11,1
python-graphviz,1
quick-xml,1
networkmanager,1
serde_json,1
unblob,1
g-py-bigquery,1
pistache,1
bad_example,1
libcoap,1
hunspell,1
quic-go,1
json-java,1
opencensus-python,1
nokogiri,1
h5py,1
libhtp,1
unicorn,1
jerryscript,1
ntpsec,1
spring-security,1
openkruise,1
tinysparql,1
krb5,1
proxygen,1
mako,1
argo,1
bitcoin-core,1
cmark,1
inchi,1
mdit-py-plugins,1
rnp,1
antlr4-java,1
filesystem_spec,1
ots,1
go-ethereum,1
cglib,1
univocity-parsers,1
exiv2,1
apache-commons-validator,1
dng_sdk,1
libteken,1
swc,1
libstdcpp,1
filelock,1
itext7,1
gfwx,1
pyasn1,1
oniguruma,1
textdistance,1
catapult,1
http-pattern-matcher,1
monero,1
powerdns,1
tailscale,1
stax,1
clickhouse,1
re2,1
opencensus-go,1
casync,1
libyal,1
opentelemetry,1
vulnerable-project,1
cjson,1
jsign,1
demangle,1
metallb,1
oauthlib,1
stringtemplate4,1
moby,1
expr,1
gss-ntlmssp,1
python-nameparser,1
jsonpath,1
attrs,1
spring-retry,1
cryptography,1
libgd,1
strongswan,1
racket,1
orjson,1
frr,1
openpyxl,1
nom,1
exprtk,1
gitoxide,1
mercurial,1
snappy-java,1
git,1
g-api-resource-manager,1
opendds,1
njs,1
woff2,1
apache-commons-logging,1
pyjwt,1
distlib,1
spotify-json,1
mysql-server,1
slf4j-api,1
bs4,1
eigen,1
zip4j,1
libspng,1
tomcat,1
twelve-monkeys,1
libwebsockets,1
msquic,1
gitea,1
gnutls,1
networkx,1
httparse,1
pdfplumber,1
g-api-python-bigquery-storage,1
spidermonkey-ufi,1
prometheus,1
pillow,1
hsqldb,1
dovecot,1
caddy,1
rust-coreutils,1
wget,1
lua,1
hikaricp,1
leveldb,1
qubes-os,1
opensk,1
yoga,1
dlplibs,1
libxaac,1
blackfriday,1
checker-framework,1
spidermonkey,1
spring-framework,1
javy,1
clamav,1
json-sanitizer,1
samba,1
cpuinfo,1
dnspython,1
babel,1
fuzztest-example,1
rtpproxy,1
xerces,1
urllib3,1
usrsctp,1
clock,1
memcached,1
libmodbus,1
bincode,1
apache-commons-math,1
opt_einsum,1
soupsieve,1
neqo,1
influxdb,1
redis-py,1
libavif,1
pendulum,1
apache-commons-net,1
numactl,1
hpn-ssh,1
h2o,1
liboqs,1
woodstox,1
date,1
ms-tpm-20-ref,1
freeradius,1
gcp-python-cloud-storage,1
dpp,1
ostree,1
vulkan-loader,1
go-dns,1
freetype2,1
tdengine,1
libcups,1
pikepdf,1
libressl,1
genshi,1
flask,1
msgpack-python,1
nestegg,1
zlib,1
cmake,1
kubearmor,1
ossf-scorecard,1
go-cmp,1
jaxb,1
hibernate-validator,1
jline3,1
pycrypto,1
brunsli,1
pyzmq,1
istio,1
calcite-avatica,1
jpegoptim,1
net-snmp,1
civetweb,1
fsnotify,1
guava,1
uwebsockets,4
dropwizard,1
pdfminersix,1
libigl,1
spring-shell,1
hostap,1
python-fastjsonschema,1
dom4j,1
rekor,1
postgis,1
pest,1
decorator,1
cubefs,1
grpc-go,1
yara,1
libphonenumber,1
brpc,1
simdjson,1
libplist,1
jpeg-js,1
swift-protobuf,1
bind9,1
python-lz4,1
libra,1
scikit-learn,1
html2text,1
magic-enum,1
fastify,1
cpython3,1
quantlib,1
libxslt,1
go-yaml,1
zydis,1
archaius-core,1
jflex,1
mvel,1
pdf-js,1
resiprocate,1
fabric,1
kcodecs,1
joni,1
psqlparse,1
mutagen,1
libtasn1,1
hamcrest,1
opensips,1
ntopng,1
brotli-java,1
ujson,1
httpcomponents-client,1
geos,1
file,1
jettison,1
muparser,1
pybind11,1
connectedhomeip,1
xlsxwriter,1
nimbus-jwt,1
unirest-java,1
g-api-py-oauthlib,1
unit,1
gimli,1
apache-commons-lang,1
atomic,1
gnucobol,1
ipython,1
aiohttp,1
mongo-go-driver,1
websocket-client,1
neomutt,1
gosnmp,1
xmldom,1
pycryptodome,1
spirv-cross,1
pacemaker,1
protobuf-java,1
flask-jwt-extended,1
icalendar,1
h3,1
g-api-secret-manager,1
go-ldap,1
gogo-protobuf,1
jstl-api,1
spring-data-jpa,1
oracle-py-cx,1
gitpython,1
javascript-example,1
skcms,1
double-conversion,1
linkerd2,1
open62541,1
aspectj,1
jsemver,1
astroid,1
ndpi,1
numexpr,1
gluon,1
libass,1
libcacard,1
lzo,1
capstone,1
gast,1
vitess,1
libsodium,1
fluent-bit,1
ogre,1
msal,1
pngquant,1
typescript-example,1
spring-ldap,1
closure-compiler,1
